"date";"value"
"1";"2012-11-01 00:00:00";4.255
"2";"2012-11-01 00:01:00";6.355
"3";"2012-11-01 00:02:00";5.106
"4";"2012-11-01 00:03:00";6.355
"5";"2012-11-01 00:04:00";6.582
"6";"2012-11-01 00:05:00";6.468
"7";"2012-11-01 00:06:00";6.355
"8";"2012-11-01 00:07:00";8.51
"9";"2012-11-01 00:08:00";6.468
"10";"2012-11-01 00:09:00";7.433
"11";"2012-11-01 00:10:00";6.695
"12";"2012-11-01 00:11:00";6.354
"13";"2012-11-01 00:12:00";5.957
"14";"2012-11-01 00:13:00";2.326
"15";"2012-11-01 00:14:00";1.872
"16";"2012-11-01 00:15:00";1.589
"17";"2012-11-01 00:16:00";1.589
"18";"2012-11-01 00:17:00";5.56
"19";"2012-11-01 00:18:00";1.475
"20";"2012-11-01 00:19:00";1.362
"21";"2012-11-01 00:20:00";3.461
"22";"2012-11-01 00:21:00";5.106
"23";"2012-11-01 00:22:00";3.518
"24";"2012-11-01 00:23:00";3.518
"25";"2012-11-01 00:24:00";1.362
"26";"2012-11-01 00:25:00";5.56
"27";"2012-11-01 00:26:00";3.518
"28";"2012-11-01 00:27:00";3.461
"29";"2012-11-01 00:28:00";5.674
"30";"2012-11-01 00:29:00";3.291
"31";"2012-11-01 00:30:00";1.362
"32";"2012-11-01 00:31:00";6.695
"33";"2012-11-01 00:32:00";3.858
"34";"2012-11-01 00:33:00";3.461
"35";"2012-11-01 00:34:00";6.241
"36";"2012-11-01 00:35:00";3.461
"37";"2012-11-01 00:36:00";5.56
"38";"2012-11-01 00:37:00";1.362
"39";"2012-11-01 00:38:00";5.56
"40";"2012-11-01 00:39:00";3.631
"41";"2012-11-01 00:40:00";3.688
"42";"2012-11-01 00:41:00";3.461
"43";"2012-11-01 00:42:00";3.348
"44";"2012-11-01 00:43:00";3.461
"45";"2012-11-01 00:44:00";5.56
"46";"2012-11-01 00:45:00";5.333
"47";"2012-11-01 00:46:00";3.461
"48";"2012-11-01 00:47:00";5.56
"49";"2012-11-01 00:48:00";5.56
"50";"2012-11-01 00:49:00";3.518
"51";"2012-11-01 00:50:00";1.362
"52";"2012-11-01 00:51:00";2.95
"53";"2012-11-01 00:52:00";3.461
"54";"2012-11-01 00:53:00";1.362
"55";"2012-11-01 00:54:00";5.56
"56";"2012-11-01 00:55:00";5.73
"57";"2012-11-01 00:56:00";1.362
"58";"2012-11-01 00:57:00";3.461
"59";"2012-11-01 00:58:00";5.73
"60";"2012-11-01 00:59:00";7.943
"61";"2012-11-01 01:00:00";5.957
"62";"2012-11-01 01:01:00";6.014
"63";"2012-11-01 01:02:00";3.972
"64";"2012-11-01 01:03:00";1.532
"65";"2012-11-01 01:04:00";5.56
"66";"2012-11-01 01:05:00";7.603
"67";"2012-11-01 01:06:00";5.56
"68";"2012-11-01 01:07:00";5.56
"69";"2012-11-01 01:08:00";5.56
"70";"2012-11-01 01:09:00";5.56
"71";"2012-11-01 01:10:00";3.461
"72";"2012-11-01 01:11:00";3.461
"73";"2012-11-01 01:12:00";1.362
"74";"2012-11-01 01:13:00";3.461
"75";"2012-11-01 01:14:00";1.589
"76";"2012-11-01 01:15:00";5.844
"77";"2012-11-01 01:16:00";3.972
"78";"2012-11-01 01:17:00";5.787
"79";"2012-11-01 01:18:00";1.702
"80";"2012-11-01 01:19:00";6.241
"81";"2012-11-01 01:20:00";3.745
"82";"2012-11-01 01:21:00";5.901
"83";"2012-11-01 01:22:00";4.085
"84";"2012-11-01 01:23:00";1.589
"85";"2012-11-01 01:24:00";5.73
"86";"2012-11-01 01:25:00";3.631
"87";"2012-11-01 01:26:00";3.688
"88";"2012-11-01 01:27:00";1.589
"89";"2012-11-01 01:28:00";7.262
"90";"2012-11-01 01:29:00";6.128
"91";"2012-11-01 01:30:00";3.915
"92";"2012-11-01 01:31:00";5.787
"93";"2012-11-01 01:32:00";1.872
"94";"2012-11-01 01:33:00";2.043
"95";"2012-11-01 01:34:00";4.255
"96";"2012-11-01 01:35:00";7.943
"97";"2012-11-01 01:36:00";1.702
"98";"2012-11-01 01:37:00";7.603
"99";"2012-11-01 01:38:00";3.574
"100";"2012-11-01 01:39:00";3.631
"101";"2012-11-01 01:40:00";3.461
"102";"2012-11-01 01:41:00";1.589
