"date";"value"
"1";"2013-08-01 00:00:00";3.86
"2";"2013-08-01 00:01:00";1.846
"3";"2013-08-01 00:02:00";6.433
"4";"2013-08-01 00:03:00";4.083
"5";"2013-08-01 00:04:00";1.79
"6";"2013-08-01 00:05:00";1.678
"7";"2013-08-01 00:06:00";4.307
"8";"2013-08-01 00:07:00";1.958
"9";"2013-08-01 00:08:00";4.195
"10";"2013-08-01 00:09:00";1.622
"11";"2013-08-01 00:10:00";1.902
"12";"2013-08-01 00:11:00";2.07
"13";"2013-08-01 00:12:00";6.601
"14";"2013-08-01 00:13:00";4.195
"15";"2013-08-01 00:14:00";1.902
"16";"2013-08-01 00:15:00";6.601
"17";"2013-08-01 00:16:00";1.678
"18";"2013-08-01 00:17:00";8.84
"19";"2013-08-01 00:18:00";8.95
"20";"2013-08-01 00:19:00";3.972
"21";"2013-08-01 00:20:00";1.79
"22";"2013-08-01 00:21:00";4.139
"23";"2013-08-01 00:22:00";1.51
"24";"2013-08-01 00:23:00";1.734
"25";"2013-08-01 00:24:00";1.678
"26";"2013-08-01 00:25:00";1.79
"27";"2013-08-01 00:26:00";1.678
"28";"2013-08-01 00:27:00";1.846
"29";"2013-08-01 00:28:00";4.028
"30";"2013-08-01 00:29:00";4.083
"31";"2013-08-01 00:30:00";1.734
"32";"2013-08-01 00:31:00";6.489
"33";"2013-08-01 00:32:00";1.678
"34";"2013-08-01 00:33:00";4.139
"35";"2013-08-01 00:34:00";6.489
"36";"2013-08-01 00:35:00";4.139
"37";"2013-08-01 00:36:00";3.972
"38";"2013-08-01 00:37:00";3.021
"39";"2013-08-01 00:38:00";3.748
"40";"2013-08-01 00:39:00";2.965
"41";"2013-08-01 00:40:00";1.622
"42";"2013-08-01 00:41:00";1.734
"43";"2013-08-01 00:42:00";6.377
"44";"2013-08-01 00:43:00";1.622
"45";"2013-08-01 00:44:00";4.028
"46";"2013-08-01 00:45:00";1.622
"47";"2013-08-01 00:46:00";1.734
"48";"2013-08-01 00:47:00";4.028
"49";"2013-08-01 00:48:00";1.622
"50";"2013-08-01 00:49:00";6.209
"51";"2013-08-01 00:50:00";1.454
"52";"2013-08-01 00:51:00";1.678
"53";"2013-08-01 00:52:00";1.566
"54";"2013-08-01 00:53:00";6.377
"55";"2013-08-01 00:54:00";1.51
"56";"2013-08-01 00:55:00";1.51
"57";"2013-08-01 00:56:00";1.51
"58";"2013-08-01 00:57:00";1.734
"59";"2013-08-01 00:58:00";6.265
"60";"2013-08-01 00:59:00";1.566
"61";"2013-08-01 01:00:00";1.51
"62";"2013-08-01 01:01:00";1.734
"63";"2013-08-01 01:02:00";4.307
"64";"2013-08-01 01:03:00";4.195
"65";"2013-08-01 01:04:00";3.86
"66";"2013-08-01 01:05:00";1.734
"67";"2013-08-01 01:06:00";1.454
"68";"2013-08-01 01:07:00";3.804
"69";"2013-08-01 01:08:00";4.028
"70";"2013-08-01 01:09:00";1.734
"71";"2013-08-01 01:10:00";3.972
"72";"2013-08-01 01:11:00";1.566
"73";"2013-08-01 01:12:00";4.139
"74";"2013-08-01 01:13:00";3.748
"75";"2013-08-01 01:14:00";6.321
"76";"2013-08-01 01:15:00";1.454
"77";"2013-08-01 01:16:00";6.321
"78";"2013-08-01 01:17:00";3.86
"79";"2013-08-01 01:18:00";1.454
"80";"2013-08-01 01:19:00";4.139
"81";"2013-08-01 01:20:00";1.566
"82";"2013-08-01 01:21:00";4.028
"83";"2013-08-01 01:22:00";6.097
"84";"2013-08-01 01:23:00";6.153
"85";"2013-08-01 01:24:00";6.209
"86";"2013-08-01 01:25:00";3.524
