"date";"value"
"1";"2013-09-01 00:01:00";3.077
"2";"2013-09-01 00:02:00";3.077
"3";"2013-09-01 00:03:00";5.484
"4";"2013-09-01 00:04:00";3.077
"5";"2013-09-01 00:05:00";5.484
"6";"2013-09-01 00:06:00";3.078
"7";"2013-09-01 00:07:00";5.484
"8";"2013-09-01 00:08:00";5.54
"9";"2013-09-01 00:09:00";0.671
"10";"2013-09-01 00:10:00";5.484
"11";"2013-09-01 00:11:00";3.078
"12";"2013-09-01 00:12:00";5.484
"13";"2013-09-01 00:13:00";5.54
"14";"2013-09-01 00:14:00";3.134
"15";"2013-09-01 00:15:00";3.078
"16";"2013-09-01 00:16:00";5.54
"17";"2013-09-01 00:17:00";7.89
"18";"2013-09-01 00:18:00";3.078
"19";"2013-09-01 00:19:00";7.89
"20";"2013-09-01 00:20:00";0.671
"21";"2013-09-01 00:21:00";5.484
"22";"2013-09-01 00:22:00";3.078
"23";"2013-09-01 00:23:00";7.834
"24";"2013-09-01 00:24:00";3.078
"25";"2013-09-01 00:25:00";3.19
"26";"2013-09-01 00:26:00";3.078
"27";"2013-09-01 00:27:00";3.078
"28";"2013-09-01 00:28:00";5.484
"29";"2013-09-01 00:29:00";3.078
"30";"2013-09-01 00:30:00";3.078
"31";"2013-09-01 00:31:00";3.078
"32";"2013-09-01 00:32:00";3.134
"33";"2013-09-01 00:33:00";6.043
"34";"2013-09-01 00:34:00";3.078
"35";"2013-09-01 00:35:00";3.022
"36";"2013-09-01 00:36:00";8.45
"37";"2013-09-01 00:37:00";3.078
"38";"2013-09-01 00:38:00";3.078
"39";"2013-09-01 00:39:00";1.735
"40";"2013-09-01 00:40:00";3.078
"41";"2013-09-01 00:41:00";3.078
"42";"2013-09-01 00:42:00";3.078
"43";"2013-09-01 00:43:00";3.078
"44";"2013-09-01 00:44:00";3.078
"45";"2013-09-01 00:45:00";3.078
"46";"2013-09-01 00:46:00";4.924
"47";"2013-09-01 00:47:00";3.078
"48";"2013-09-01 00:48:00";0.671
"49";"2013-09-01 00:49:00";3.078
"50";"2013-09-01 00:50:00";5.484
"51";"2013-09-01 00:51:00";5.484
"52";"2013-09-01 00:52:00";3.078
"53";"2013-09-01 00:53:00";3.078
"54";"2013-09-01 00:54:00";5.484
"55";"2013-09-01 00:55:00";5.484
"56";"2013-09-01 00:56:00";3.078
"57";"2013-09-01 00:57:00";3.078
"58";"2013-09-01 00:58:00";8.23
"59";"2013-09-01 00:59:00";5.484
"60";"2013-09-01 01:00:00";5.484
"61";"2013-09-01 01:01:00";0.671
"62";"2013-09-01 01:02:00";3.078
"63";"2013-09-01 01:03:00";7.946
"64";"2013-09-01 01:04:00";0.727
"65";"2013-09-01 01:05:00";3.357
"66";"2013-09-01 01:06:00";5.819
"67";"2013-09-01 01:07:00";3.134
"68";"2013-09-01 01:08:00";5.484
"69";"2013-09-01 01:09:00";0.727
"70";"2013-09-01 01:10:00";5.484
"71";"2013-09-01 01:11:00";5.484
"72";"2013-09-01 01:12:00";3.078
"73";"2013-09-01 01:13:00";3.078
"74";"2013-09-01 01:14:00";5.484
"75";"2013-09-01 01:15:00";3.637
"76";"2013-09-01 01:16:00";5.484
"77";"2013-09-01 01:17:00";5.484
"78";"2013-09-01 01:18:00";3.078
"79";"2013-09-01 01:19:00";5.484
"80";"2013-09-01 01:20:00";0.671
"81";"2013-09-01 01:21:00";3.078
"82";"2013-09-01 01:22:00";5.596
"83";"2013-09-01 01:23:00";3.078
"84";"2013-09-01 01:24:00";5.372
"85";"2013-09-01 01:25:00";3.078
"86";"2013-09-01 01:26:00";3.078
"87";"2013-09-01 01:27:00";3.078
"88";"2013-09-01 01:28:00";5.484
"89";"2013-09-01 01:29:00";7.89
"90";"2013-09-01 01:30:00";3.078
"91";"2013-09-01 01:31:00";3.078
"92";"2013-09-01 01:32:00";5.484
"93";"2013-09-01 01:33:00";3.078
"94";"2013-09-01 01:34:00";5.484
"95";"2013-09-01 01:35:00";3.022
"96";"2013-09-01 01:36:00";5.484
"97";"2013-09-01 01:37:00";3.078
"98";"2013-09-01 01:38:00";5.484
"99";"2013-09-01 01:39:00";0.727
"100";"2013-09-01 01:40:00";3.078
"101";"2013-09-01 01:41:00";5.484
"102";"2013-09-01 01:42:00";3.134
"103";"2013-09-01 01:43:00";3.078
"104";"2013-09-01 01:44:00";2.014
"105";"2013-09-01 01:45:00";5.484
"106";"2013-09-01 01:46:00";3.19
"107";"2013-09-01 01:47:00";3.078
"108";"2013-09-01 01:48:00";5.428
"109";"2013-09-01 01:49:00";3.078
"110";"2013-09-01 01:50:00";0.671
"111";"2013-09-01 01:51:00";3.078
"112";"2013-09-01 01:52:00";5.54
"113";"2013-09-01 01:53:00";3.078
"114";"2013-09-01 01:54:00";3.078
"115";"2013-09-01 01:55:00";3.078
"116";"2013-09-01 01:56:00";3.078
"117";"2013-09-01 01:57:00";5.316
"118";"2013-09-01 01:58:00";4.141
"119";"2013-09-01 01:59:00";3.022
"120";"2013-09-01 02:00:00";5.596
"121";"2013-09-01 02:01:00";0.671
"122";"2013-09-01 02:02:00";3.134
"123";"2013-09-01 02:03:00";3.078
"124";"2013-09-01 02:04:00";3.134
"125";"2013-09-01 02:05:00";0.671
"126";"2013-09-01 02:06:00";3.078
"127";"2013-09-01 02:07:00";3.078
"128";"2013-09-01 02:08:00";0.671
"129";"2013-09-01 02:09:00";5.484
"130";"2013-09-01 02:10:00";0.671
"131";"2013-09-01 02:11:00";5.484
"132";"2013-09-01 02:12:00";3.078
"133";"2013-09-01 02:13:00";3.134
"134";"2013-09-01 02:14:00";7.498
"135";"2013-09-01 02:15:00";3.078
"136";"2013-09-01 02:16:00";3.078
"137";"2013-09-01 02:17:00";5.484
"138";"2013-09-01 02:18:00";3.134
"139";"2013-09-01 02:19:00";5.484
"140";"2013-09-01 02:20:00";0.671
"141";"2013-09-01 02:21:00";5.484
"142";"2013-09-01 02:22:00";5.428
"143";"2013-09-01 02:23:00";0.671
"144";"2013-09-01 02:24:00";3.134
"145";"2013-09-01 02:25:00";5.484
"146";"2013-09-01 02:26:00";3.078
"147";"2013-09-01 02:27:00";6.827
"148";"2013-09-01 02:28:00";0.727
"149";"2013-09-01 02:29:00";3.078
"150";"2013-09-01 02:30:00";0.671
"151";"2013-09-01 02:31:00";3.581
"152";"2013-09-01 02:32:00";5.483
"153";"2013-09-01 02:33:00";5.483
"154";"2013-09-01 02:34:00";3.133
"155";"2013-09-01 02:35:00";3.077
"156";"2013-09-01 02:36:00";5.427
"157";"2013-09-01 02:37:00";3.189
"158";"2013-09-01 02:38:00";5.483
"159";"2013-09-01 02:39:00";0.727
"160";"2013-09-01 02:40:00";3.133
"161";"2013-09-01 02:41:00";5.426
"162";"2013-09-01 02:42:00";5.594
"163";"2013-09-01 02:43:00";3.077
"164";"2013-09-01 02:44:00";0.727
"165";"2013-09-01 02:45:00";3.077
"166";"2013-09-01 02:46:00";5.538
"167";"2013-09-01 02:47:00";3.133
"168";"2013-09-01 02:48:00";3.189
"169";"2013-09-01 02:49:00";3.245
"170";"2013-09-01 02:50:00";4.811
"171";"2013-09-01 02:51:00";3.189
"172";"2013-09-01 02:52:00";0.727
"173";"2013-09-01 02:53:00";5.482
"174";"2013-09-01 02:54:00";3.077
"175";"2013-09-01 02:55:00";3.077
"176";"2013-09-01 02:56:00";5.538
"177";"2013-09-01 02:57:00";5.594
"178";"2013-09-01 02:58:00";3.188
"179";"2013-09-01 02:59:00";3.3
"180";"2013-09-01 03:00:00";3.077
"181";"2013-09-01 03:01:00";3.133
"182";"2013-09-01 03:02:00";3.188
"183";"2013-09-01 03:03:00";1.343
"184";"2013-09-01 03:04:00";3.077
"185";"2013-09-01 03:05:00";0.671
"186";"2013-09-01 03:06:00";3.133
"187";"2013-09-01 03:07:00";3.188
"188";"2013-09-01 03:08:00";5.426
"189";"2013-09-01 03:09:00";3.021
"190";"2013-09-01 03:10:00";5.538
"191";"2013-09-01 03:11:00";3.189
"192";"2013-09-01 03:12:00";3.133
"193";"2013-09-01 03:13:00";3.244
"194";"2013-09-01 03:14:00";5.482
"195";"2013-09-01 03:15:00";0.671
"196";"2013-09-01 03:16:00";5.482
"197";"2013-09-01 03:17:00";0.727
"198";"2013-09-01 03:18:00";5.538
"199";"2013-09-01 03:19:00";3.133
"200";"2013-09-01 03:20:00";3.133
"201";"2013-09-01 03:21:00";0.671
"202";"2013-09-01 03:22:00";3.244
"203";"2013-09-01 03:23:00";3.077
"204";"2013-09-01 03:24:00";3.188
"205";"2013-09-01 03:25:00";0.671
"206";"2013-09-01 03:26:00";5.426
"207";"2013-09-01 03:27:00";3.133
"208";"2013-09-01 03:28:00";3.133
"209";"2013-09-01 03:29:00";3.133
"210";"2013-09-01 03:30:00";3.188
"211";"2013-09-01 03:31:00";5.594
"212";"2013-09-01 03:32:00";3.077
"213";"2013-09-01 03:33:00";0.671
"214";"2013-09-01 03:34:00";5.538
"215";"2013-09-01 03:35:00";5.538
"216";"2013-09-01 03:36:00";3.188
"217";"2013-09-01 03:37:00";3.188
"218";"2013-09-01 03:38:00";0.671
"219";"2013-09-01 03:39:00";3.077
"220";"2013-09-01 03:40:00";3.077
"221";"2013-09-01 03:41:00";3.077
"222";"2013-09-01 03:42:00";0.895
"223";"2013-09-01 03:43:00";5.146
"224";"2013-09-01 03:44:00";3.077
"225";"2013-09-01 03:45:00";5.538
"226";"2013-09-01 03:46:00";3.133
"227";"2013-09-01 03:47:00";4.867
"228";"2013-09-01 03:48:00";5.65
"229";"2013-09-01 03:49:00";3.077
"230";"2013-09-01 03:50:00";3.133
"231";"2013-09-01 03:51:00";5.538
"232";"2013-09-01 03:52:00";0.727
"233";"2013-09-01 03:53:00";5.482
"234";"2013-09-01 03:54:00";0.727
"235";"2013-09-01 03:55:00";0.783
"236";"2013-09-01 03:56:00";3.077
