"date";"value"
"1";"2013-09-01 00:01:00";2.909
"2";"2013-09-01 00:02:00";7.608
"3";"2013-09-01 00:03:00";5.146
"4";"2013-09-01 00:04:00";5.146
"5";"2013-09-01 00:05:00";4.587
"6";"2013-09-01 00:06:00";9.62
"7";"2013-09-01 00:07:00";5.146
"8";"2013-09-01 00:08:00";9.62
"9";"2013-09-01 00:09:00";2.909
"10";"2013-09-01 00:10:00";2.909
"11";"2013-09-01 00:11:00";2.909
"12";"2013-09-01 00:12:00";7.384
"13";"2013-09-01 00:13:00";5.146
"14";"2013-09-01 00:14:00";5.202
"15";"2013-09-01 00:15:00";4.475
"16";"2013-09-01 00:16:00";2.909
"17";"2013-09-01 00:17:00";2.909
"18";"2013-09-01 00:18:00";5.146
"19";"2013-09-01 00:19:00";5.146
"20";"2013-09-01 00:20:00";5.146
"21";"2013-09-01 00:21:00";2.909
"22";"2013-09-01 00:22:00";2.853
"23";"2013-09-01 00:23:00";7.328
"24";"2013-09-01 00:24:00";0.671
"25";"2013-09-01 00:25:00";0.671
"26";"2013-09-01 00:26:00";5.146
"27";"2013-09-01 00:27:00";2.909
"28";"2013-09-01 00:28:00";2.909
"29";"2013-09-01 00:29:00";2.909
"30";"2013-09-01 00:30:00";2.909
"31";"2013-09-01 00:31:00";9.4
"32";"2013-09-01 00:32:00";0.671
"33";"2013-09-01 00:33:00";3.133
"34";"2013-09-01 00:34:00";2.965
"35";"2013-09-01 00:35:00";2.909
"36";"2013-09-01 00:36:00";3.356
"37";"2013-09-01 00:37:00";5.37
"38";"2013-09-01 00:38:00";3.133
"39";"2013-09-01 00:39:00";2.909
"40";"2013-09-01 00:40:00";5.146
"41";"2013-09-01 00:41:00";0.671
"42";"2013-09-01 00:42:00";9.62
"43";"2013-09-01 00:43:00";3.021
"44";"2013-09-01 00:44:00";7.384
"45";"2013-09-01 00:45:00";5.146
"46";"2013-09-01 00:46:00";5.146
"47";"2013-09-01 00:47:00";2.909
"48";"2013-09-01 00:48:00";2.909
"49";"2013-09-01 00:49:00";5.146
"50";"2013-09-01 00:50:00";5.146
"51";"2013-09-01 00:51:00";0.671
"52";"2013-09-01 00:52:00";2.909
"53";"2013-09-01 00:53:00";2.909
"54";"2013-09-01 00:54:00";5.146
"55";"2013-09-01 00:55:00";2.909
"56";"2013-09-01 00:56:00";3.188
"57";"2013-09-01 00:57:00";5.37
"58";"2013-09-01 00:58:00";5.314
"59";"2013-09-01 00:59:00";5.37
"60";"2013-09-01 01:00:00";3.133
"61";"2013-09-01 01:01:00";5.146
"62";"2013-09-01 01:02:00";5.09
"63";"2013-09-01 01:03:00";2.909
"64";"2013-09-01 01:04:00";3.244
"65";"2013-09-01 01:05:00";2.909
"66";"2013-09-01 01:06:00";2.909
"67";"2013-09-01 01:07:00";2.909
"68";"2013-09-01 01:08:00";5.65
"69";"2013-09-01 01:09:00";7.384
"70";"2013-09-01 01:10:00";3.133
"71";"2013-09-01 01:11:00";2.909
"72";"2013-09-01 01:12:00";5.146
"73";"2013-09-01 01:13:00";5.146
"74";"2013-09-01 01:14:00";7.384
"75";"2013-09-01 01:15:00";0.671
"76";"2013-09-01 01:16:00";2.909
"77";"2013-09-01 01:17:00";0.839
"78";"2013-09-01 01:18:00";3.133
"79";"2013-09-01 01:19:00";3.133
"80";"2013-09-01 01:20:00";0.839
"81";"2013-09-01 01:21:00";7.943
"82";"2013-09-01 01:22:00";3.133
"83";"2013-09-01 01:23:00";9.62
"84";"2013-09-01 01:24:00";2.909
"85";"2013-09-01 01:25:00";2.909
"86";"2013-09-01 01:26:00";5.146
"87";"2013-09-01 01:27:00";5.146
"88";"2013-09-01 01:28:00";2.965
"89";"2013-09-01 01:29:00";5.146
"90";"2013-09-01 01:30:00";2.909
"91";"2013-09-01 01:31:00";14.04
"92";"2013-09-01 01:32:00";5.146
"93";"2013-09-01 01:33:00";5.146
"94";"2013-09-01 01:34:00";2.909
"95";"2013-09-01 01:35:00";5.146
"96";"2013-09-01 01:36:00";0.671
"97";"2013-09-01 01:37:00";0.671
"98";"2013-09-01 01:38:00";5.146
"99";"2013-09-01 01:39:00";2.909
"100";"2013-09-01 01:40:00";0.671
"101";"2013-09-01 01:41:00";4.978
"102";"2013-09-01 01:42:00";2.909
"103";"2013-09-01 01:43:00";2.909
"104";"2013-09-01 01:44:00";5.146
"105";"2013-09-01 01:45:00";2.909
"106";"2013-09-01 01:46:00";5.146
"107";"2013-09-01 01:47:00";5.146
"108";"2013-09-01 01:48:00";3.077
"109";"2013-09-01 01:49:00";3.133
"110";"2013-09-01 01:50:00";3.3
"111";"2013-09-01 01:51:00";3.133
"112";"2013-09-01 01:52:00";5.37
"113";"2013-09-01 01:53:00";5.37
"114";"2013-09-01 01:54:00";2.909
"115";"2013-09-01 01:55:00";5.37
"116";"2013-09-01 01:56:00";3.133
"117";"2013-09-01 01:57:00";2.909
"118";"2013-09-01 01:58:00";5.146
"119";"2013-09-01 01:59:00";5.146
"120";"2013-09-01 02:00:00";5.09
"121";"2013-09-01 02:01:00";2.909
"122";"2013-09-01 02:02:00";2.909
"123";"2013-09-01 02:03:00";7.384
"124";"2013-09-01 02:04:00";2.909
"125";"2013-09-01 02:05:00";9.62
"126";"2013-09-01 02:06:00";0.671
"127";"2013-09-01 02:07:00";2.909
"128";"2013-09-01 02:08:00";5.146
"129";"2013-09-01 02:09:00";2.909
"130";"2013-09-01 02:10:00";2.909
"131";"2013-09-01 02:11:00";2.909
"132";"2013-09-01 02:12:00";5.146
"133";"2013-09-01 02:13:00";2.909
"134";"2013-09-01 02:14:00";7.384
"135";"2013-09-01 02:15:00";3.133
"136";"2013-09-01 02:16:00";5.37
"137";"2013-09-01 02:17:00";5.37
"138";"2013-09-01 02:18:00";1.119
"139";"2013-09-01 02:19:00";5.594
"140";"2013-09-01 02:20:00";5.594
"141";"2013-09-01 02:21:00";5.37
"142";"2013-09-01 02:22:00";3.133
"143";"2013-09-01 02:23:00";2.909
"144";"2013-09-01 02:24:00";5.482
"145";"2013-09-01 02:25:00";3.133
"146";"2013-09-01 02:26:00";3.133
"147";"2013-09-01 02:27:00";2.909
"148";"2013-09-01 02:28:00";2.965
"149";"2013-09-01 02:29:00";5.37
"150";"2013-09-01 02:30:00";5.146
"151";"2013-09-01 02:31:00";2.909
"152";"2013-09-01 02:32:00";5.146
"153";"2013-09-01 02:33:00";5.146
"154";"2013-09-01 02:34:00";5.146
"155";"2013-09-01 02:35:00";1.119
"156";"2013-09-01 02:36:00";3.133
"157";"2013-09-01 02:37:00";1.063
"158";"2013-09-01 02:38:00";0.895
"159";"2013-09-01 02:39:00";5.146
"160";"2013-09-01 02:40:00";3.356
"161";"2013-09-01 02:41:00";3.133
"162";"2013-09-01 02:42:00";7.44
"163";"2013-09-01 02:43:00";3.133
"164";"2013-09-01 02:44:00";5.146
"165";"2013-09-01 02:45:00";3.356
"166";"2013-09-01 02:46:00";5.146
"167";"2013-09-01 02:47:00";2.909
"168";"2013-09-01 02:48:00";9.62
"169";"2013-09-01 02:49:00";0.671
"170";"2013-09-01 02:50:00";7.384
"171";"2013-09-01 02:51:00";2.909
"172";"2013-09-01 02:52:00";2.909
"173";"2013-09-01 02:53:00";5.146
"174";"2013-09-01 02:54:00";2.909
"175";"2013-09-01 02:55:00";5.258
"176";"2013-09-01 02:56:00";9.34
"177";"2013-09-01 02:57:00";3.356
"178";"2013-09-01 02:58:00";0.671
"179";"2013-09-01 02:59:00";2.909
"180";"2013-09-01 03:00:00";9.62
"181";"2013-09-01 03:01:00";5.146
"182";"2013-09-01 03:02:00";5.146
"183";"2013-09-01 03:03:00";5.146
"184";"2013-09-01 03:04:00";0.839
"185";"2013-09-01 03:05:00";0.671
"186";"2013-09-01 03:06:00";5.146
"187";"2013-09-01 03:07:00";5.09
"188";"2013-09-01 03:08:00";0.671
"189";"2013-09-01 03:09:00";0.671
"190";"2013-09-01 03:10:00";2.909
"191";"2013-09-01 03:11:00";7.384
"192";"2013-09-01 03:12:00";2.909
"193";"2013-09-01 03:13:00";5.146
"194";"2013-09-01 03:14:00";0.671
"195";"2013-09-01 03:15:00";2.909
"196";"2013-09-01 03:16:00";5.146
"197";"2013-09-01 03:17:00";0.783
"198";"2013-09-01 03:18:00";2.909
"199";"2013-09-01 03:19:00";7.384
"200";"2013-09-01 03:20:00";5.146
"201";"2013-09-01 03:21:00";5.09
