"date";"value"
"1";"2013-09-01 00:01:00";4.029
"2";"2013-09-01 00:02:00";1.511
"3";"2013-09-01 00:03:00";3.917
"4";"2013-09-01 00:04:00";3.693
"5";"2013-09-01 00:05:00";1.343
"6";"2013-09-01 00:06:00";3.805
"7";"2013-09-01 00:07:00";4.029
"8";"2013-09-01 00:08:00";1.567
"9";"2013-09-01 00:09:00";3.805
"10";"2013-09-01 00:10:00";3.861
"11";"2013-09-01 00:11:00";2.742
"12";"2013-09-01 00:12:00";4.029
"13";"2013-09-01 00:13:00";1.623
"14";"2013-09-01 00:14:00";3.917
"15";"2013-09-01 00:15:00";3.805
"16";"2013-09-01 00:16:00";1.343
"17";"2013-09-01 00:17:00";1.455
"18";"2013-09-01 00:18:00";3.749
"19";"2013-09-01 00:19:00";1.455
"20";"2013-09-01 00:20:00";3.749
"21";"2013-09-01 00:21:00";1.791
"22";"2013-09-01 00:22:00";6.155
"23";"2013-09-01 00:23:00";3.805
"24";"2013-09-01 00:24:00";3.861
"25";"2013-09-01 00:25:00";1.511
"26";"2013-09-01 00:26:00";1.567
"27";"2013-09-01 00:27:00";4.029
"28";"2013-09-01 00:28:00";3.861
"29";"2013-09-01 00:29:00";3.973
"30";"2013-09-01 00:30:00";3.917
"31";"2013-09-01 00:31:00";1.455
"32";"2013-09-01 00:32:00";1.511
"33";"2013-09-01 00:33:00";3.805
"34";"2013-09-01 00:34:00";3.805
"35";"2013-09-01 00:35:00";1.511
"36";"2013-09-01 00:36:00";1.455
"37";"2013-09-01 00:37:00";6.323
"38";"2013-09-01 00:38:00";3.973
"39";"2013-09-01 00:39:00";3.917
"40";"2013-09-01 00:40:00";4.029
"41";"2013-09-01 00:41:00";6.043
"42";"2013-09-01 00:42:00";3.693
"43";"2013-09-01 00:43:00";1.343
"44";"2013-09-01 00:44:00";1.455
"45";"2013-09-01 00:45:00";3.693
"46";"2013-09-01 00:46:00";3.805
"47";"2013-09-01 00:47:00";1.343
"48";"2013-09-01 00:48:00";3.693
"49";"2013-09-01 00:49:00";3.749
"50";"2013-09-01 00:50:00";1.399
