"date";"value"
"1";"2014-08-01 00:01:00";4.218
"2";"2014-08-01 00:02:00";4.218
"3";"2014-08-01 00:03:00";4.217
"4";"2014-08-01 00:04:00";6.269
"5";"2014-08-01 00:05:00";9.86
"6";"2014-08-01 00:06:00";4.161
"7";"2014-08-01 00:07:00";7.01
"8";"2014-08-01 00:08:00";4.161
"9";"2014-08-01 00:09:00";9.8
"10";"2014-08-01 00:10:00";7.01
"11";"2014-08-01 00:11:00";4.218
"12";"2014-08-01 00:12:00";4.218
"13";"2014-08-01 00:13:00";9.92
"14";"2014-08-01 00:14:00";4.161
"15";"2014-08-01 00:15:00";7.068
"16";"2014-08-01 00:16:00";1.368
"17";"2014-08-01 00:17:00";12.54
"18";"2014-08-01 00:18:00";1.368
"19";"2014-08-01 00:19:00";7.068
"20";"2014-08-01 00:20:00";4.161
"21";"2014-08-01 00:21:00";7.011
"22";"2014-08-01 00:22:00";9.75
"23";"2014-08-01 00:23:00";4.218
"24";"2014-08-01 00:24:00";7.011
"25";"2014-08-01 00:25:00";1.425
"26";"2014-08-01 00:26:00";7.011
"27";"2014-08-01 00:27:00";7.012
"28";"2014-08-01 00:28:00";1.368
"29";"2014-08-01 00:29:00";7.012
"30";"2014-08-01 00:30:00";4.161
"31";"2014-08-01 00:31:00";7.012
"32";"2014-08-01 00:32:00";9.8
"33";"2014-08-01 00:33:00";4.218
"34";"2014-08-01 00:34:00";4.161
"35";"2014-08-01 00:35:00";6.955
"36";"2014-08-01 00:36:00";7.012
"37";"2014-08-01 00:37:00";1.368
"38";"2014-08-01 00:38:00";7.012
"39";"2014-08-01 00:39:00";1.368
"40";"2014-08-01 00:40:00";7.012
"41";"2014-08-01 00:41:00";4.161
"42";"2014-08-01 00:42:00";7.069
"43";"2014-08-01 00:43:00";1.368
"44";"2014-08-01 00:44:00";12.03
"45";"2014-08-01 00:45:00";4.105
"46";"2014-08-01 00:46:00";4.162
"47";"2014-08-01 00:47:00";4.162
"48";"2014-08-01 00:48:00";9.86
"49";"2014-08-01 00:49:00";4.219
"50";"2014-08-01 00:50:00";4.162
"51";"2014-08-01 00:51:00";9.86
"52";"2014-08-01 00:52:00";1.368
"53";"2014-08-01 00:53:00";7.012
"54";"2014-08-01 00:54:00";4.219
"55";"2014-08-01 00:55:00";9.86
"56";"2014-08-01 00:56:00";1.368
"57";"2014-08-01 00:57:00";4.219
"58";"2014-08-01 00:58:00";7.069
"59";"2014-08-01 00:59:00";4.219
"60";"2014-08-01 01:00:00";7.012
"61";"2014-08-01 01:01:00";4.219
"62";"2014-08-01 01:02:00";9.81
"63";"2014-08-01 01:03:00";1.368
"64";"2014-08-01 01:04:00";4.162
"65";"2014-08-01 01:05:00";9.92
"66";"2014-08-01 01:06:00";1.368
"67";"2014-08-01 01:07:00";7.012
