"date";"value"
"1";"2014-02-01 00:01:00";4.539
"2";"2014-02-01 00:02:00";4.652
"3";"2014-02-01 00:03:00";4.255
"4";"2014-02-01 00:04:00";6.468
"5";"2014-02-01 00:05:00";4.369
"6";"2014-02-01 00:06:00";4.255
"7";"2014-02-01 00:07:00";2.269
"8";"2014-02-01 00:08:00";6.355
"9";"2014-02-01 00:09:00";6.695
"10";"2014-02-01 00:10:00";6.355
"11";"2014-02-01 00:11:00";4.709
"12";"2014-02-01 00:12:00";4.255
"13";"2014-02-01 00:13:00";1.872
"14";"2014-02-01 00:14:00";4.142
"15";"2014-02-01 00:15:00";1.759
"16";"2014-02-01 00:16:00";1.759
"17";"2014-02-01 00:17:00";3.915
"18";"2014-02-01 00:18:00";6.128
"19";"2014-02-01 00:19:00";4.085
"20";"2014-02-01 00:20:00";1.816
"21";"2014-02-01 00:21:00";6.411
"22";"2014-02-01 00:22:00";3.915
"23";"2014-02-01 00:23:00";1.929
"24";"2014-02-01 00:24:00";6.355
"25";"2014-02-01 00:25:00";2.043
"26";"2014-02-01 00:26:00";4.142
"27";"2014-02-01 00:27:00";1.759
"28";"2014-02-01 00:28:00";3.801
"29";"2014-02-01 00:29:00";3.801
"30";"2014-02-01 00:30:00";2.043
"31";"2014-02-01 00:31:00";3.745
"32";"2014-02-01 00:32:00";1.702
"33";"2014-02-01 00:33:00";3.915
"34";"2014-02-01 00:34:00";1.645
"35";"2014-02-01 00:35:00";3.972
"36";"2014-02-01 00:36:00";2.043
"37";"2014-02-01 00:37:00";6.071
"38";"2014-02-01 00:38:00";5.901
"39";"2014-02-01 00:39:00";1.645
"40";"2014-02-01 00:40:00";1.986
"41";"2014-02-01 00:41:00";5.957
"42";"2014-02-01 00:42:00";4.199
"43";"2014-02-01 00:43:00";6.411
"44";"2014-02-01 00:44:00";1.532
"45";"2014-02-01 00:45:00";1.929
"46";"2014-02-01 00:46:00";6.014
"47";"2014-02-01 00:47:00";1.702
"48";"2014-02-01 00:48:00";4.142
"49";"2014-02-01 00:49:00";1.702
"50";"2014-02-01 00:50:00";2.099
"51";"2014-02-01 00:51:00";1.986
"52";"2014-02-01 00:52:00";1.872
"53";"2014-02-01 00:53:00";4.028
"54";"2014-02-01 00:54:00";1.986
"55";"2014-02-01 00:55:00";6.411
"56";"2014-02-01 00:56:00";4.085
"57";"2014-02-01 00:57:00";6.638
"58";"2014-02-01 00:58:00";1.872
"59";"2014-02-01 00:59:00";4.426
"60";"2014-02-01 01:00:00";2.213
"61";"2014-02-01 01:01:00";2.043
"62";"2014-02-01 01:02:00";4.255
"63";"2014-02-01 01:03:00";4.482
"64";"2014-02-01 01:04:00";4.312
"65";"2014-02-01 01:05:00";2.156
"66";"2014-02-01 01:06:00";4.085
"67";"2014-02-01 01:07:00";6.411
"68";"2014-02-01 01:08:00";4.142
"69";"2014-02-01 01:09:00";3.915
"70";"2014-02-01 01:10:00";6.071
"71";"2014-02-01 01:11:00";4.652
"72";"2014-02-01 01:12:00";4.823
"73";"2014-02-01 01:13:00";2.383
"74";"2014-02-01 01:14:00";6.979
"75";"2014-02-01 01:15:00";4.199
"76";"2014-02-01 01:16:00";4.709
"77";"2014-02-01 01:17:00";4.652
"78";"2014-02-01 01:18:00";7.262
"79";"2014-02-01 01:19:00";6.922
"80";"2014-02-01 01:20:00";4.652
"81";"2014-02-01 01:21:00";8.11
"82";"2014-02-01 01:22:00";4.369
"83";"2014-02-01 01:23:00";8.91
"84";"2014-02-01 01:24:00";2.156
"85";"2014-02-01 01:25:00";4.652
"86";"2014-02-01 01:26:00";9.08
"87";"2014-02-01 01:27:00";4.369
"88";"2014-02-01 01:28:00";2.043
"89";"2014-02-01 01:29:00";2.043
"90";"2014-02-01 01:30:00";6.411
"91";"2014-02-01 01:31:00";6.638
"92";"2014-02-01 01:32:00";4.482
"93";"2014-02-01 01:33:00";4.539
"94";"2014-02-01 01:34:00";2.326
"95";"2014-02-01 01:35:00";6.638
"96";"2014-02-01 01:36:00";4.312
"97";"2014-02-01 01:37:00";6.468
"98";"2014-02-01 01:38:00";4.369
"99";"2014-02-01 01:39:00";3.915
"100";"2014-02-01 01:40:00";4.142
"101";"2014-02-01 01:41:00";3.915
"102";"2014-02-01 01:42:00";3.915
"103";"2014-02-01 01:43:00";4.085
"104";"2014-02-01 01:44:00";3.688
"105";"2014-02-01 01:45:00";1.986
"106";"2014-02-01 01:46:00";5.447
"107";"2014-02-01 01:47:00";4.199
"108";"2014-02-01 01:48:00";3.801
"109";"2014-02-01 01:49:00";7.433
"110";"2014-02-01 01:50:00";3.915
"111";"2014-02-01 01:51:00";1.475
"112";"2014-02-01 01:52:00";1.362
"113";"2014-02-01 01:53:00";6.128
"114";"2014-02-01 01:54:00";3.858
"115";"2014-02-01 01:55:00";3.688
"116";"2014-02-01 01:56:00";6.128
"117";"2014-02-01 01:57:00";5.787
"118";"2014-02-01 01:58:00";5.787
"119";"2014-02-01 01:59:00";5.787
"120";"2014-02-01 02:00:00";3.801
"121";"2014-02-01 02:01:00";1.475
"122";"2014-02-01 02:02:00";3.574
"123";"2014-02-01 02:03:00";3.688
"124";"2014-02-01 02:04:00";3.688
"125";"2014-02-01 02:05:00";1.475
"126";"2014-02-01 02:06:00";6.014
"127";"2014-02-01 02:07:00";1.589
"128";"2014-02-01 02:08:00";3.801
"129";"2014-02-01 02:09:00";3.688
"130";"2014-02-01 02:10:00";1.589
"131";"2014-02-01 02:11:00";1.362
"132";"2014-02-01 02:12:00";1.362
"133";"2014-02-01 02:13:00";1.475
"134";"2014-02-01 02:14:00";3.745
"135";"2014-02-01 02:15:00";3.915
"136";"2014-02-01 02:16:00";3.972
"137";"2014-02-01 02:17:00";3.688
"138";"2014-02-01 02:18:00";1.475
"139";"2014-02-01 02:19:00";1.986
"140";"2014-02-01 02:20:00";4.369
"141";"2014-02-01 02:21:00";1.986
"142";"2014-02-01 02:22:00";7.319
"143";"2014-02-01 02:23:00";5.277
"144";"2014-02-01 02:24:00";4.936
"145";"2014-02-01 02:25:00";2.383
"146";"2014-02-01 02:26:00";6.582
"147";"2014-02-01 02:27:00";4.028
"148";"2014-02-01 02:28:00";6.355
"149";"2014-02-01 02:29:00";5.901
"150";"2014-02-01 02:30:00";3.915
"151";"2014-02-01 02:31:00";6.014
"152";"2014-02-01 02:32:00";4.709
"153";"2014-02-01 02:33:00";1.702
"154";"2014-02-01 02:34:00";3.688
"155";"2014-02-01 02:35:00";3.745
"156";"2014-02-01 02:36:00";6.355
"157";"2014-02-01 02:37:00";6.525
"158";"2014-02-01 02:38:00";5.787
"159";"2014-02-01 02:39:00";6.355
"160";"2014-02-01 02:40:00";1.929
"161";"2014-02-01 02:41:00";6.355
"162";"2014-02-01 02:42:00";3.915
"163";"2014-02-01 02:43:00";6.355
"164";"2014-02-01 02:44:00";3.915
"165";"2014-02-01 02:45:00";4.199
"166";"2014-02-01 02:46:00";4.028
"167";"2014-02-01 02:47:00";6.071
"168";"2014-02-01 02:48:00";3.915
"169";"2014-02-01 02:49:00";1.816
"170";"2014-02-01 02:50:00";6.128
"171";"2014-02-01 02:51:00";1.532
"172";"2014-02-01 02:52:00";3.688
"173";"2014-02-01 02:53:00";3.688
"174";"2014-02-01 02:54:00";3.915
"175";"2014-02-01 02:55:00";4.028
"176";"2014-02-01 02:56:00";3.518
"177";"2014-02-01 02:57:00";1.475
"178";"2014-02-01 02:58:00";3.801
"179";"2014-02-01 02:59:00";4.028
"180";"2014-02-01 03:00:00";1.702
