"date";"value"
"1";"2016-01-01 00:01:00";1.342
"2";"2016-01-01 00:02:00";1.454
"3";"2016-01-01 00:03:00";3.802
"4";"2016-01-01 00:04:00";6.375
"5";"2016-01-01 00:05:00";1.342
"6";"2016-01-01 00:06:00";1.342
"7";"2016-01-01 00:07:00";4.026
"8";"2016-01-01 00:08:00";3.858
"9";"2016-01-01 00:09:00";1.398
"10";"2016-01-01 00:10:00";1.566
"11";"2016-01-01 00:11:00";1.678
"12";"2016-01-01 00:12:00";2.852
"13";"2016-01-01 00:13:00";6.654
"14";"2016-01-01 00:14:00";3.97
"15";"2016-01-01 00:15:00";3.802
"16";"2016-01-01 00:16:00";1.342
"17";"2016-01-01 00:17:00";4.082
"18";"2016-01-01 00:18:00";1.789
"19";"2016-01-01 00:19:00";4.418
"20";"2016-01-01 00:20:00";2.125
"21";"2016-01-01 00:21:00";4.641
"22";"2016-01-01 00:22:00";4.474
"23";"2016-01-01 00:23:00";4.921
"24";"2016-01-01 00:24:00";7.269
"25";"2016-01-01 00:25:00";7.773
"26";"2016-01-01 00:26:00";5.2
"27";"2016-01-01 00:27:00";5.256
"28";"2016-01-01 00:28:00";2.516
"29";"2016-01-01 00:29:00";4.697
"30";"2016-01-01 00:30:00";5.089
"31";"2016-01-01 00:31:00";2.572
"32";"2016-01-01 00:32:00";2.013
"33";"2016-01-01 00:33:00";1.957
"34";"2016-01-01 00:34:00";1.733
"35";"2016-01-01 00:35:00";1.398
"36";"2016-01-01 00:36:00";3.914
"37";"2016-01-01 00:37:00";3.914
"38";"2016-01-01 00:38:00";3.802
"39";"2016-01-01 00:39:00";1.342
"40";"2016-01-01 00:40:00";5.927
"41";"2016-01-01 00:41:00";6.263
"42";"2016-01-01 00:42:00";1.566
"43";"2016-01-01 00:43:00";4.138
"44";"2016-01-01 00:44:00";1.733
"45";"2016-01-01 00:45:00";1.51
"46";"2016-01-01 00:46:00";6.487
"47";"2016-01-01 00:47:00";3.858
"48";"2016-01-01 00:48:00";1.342
"49";"2016-01-01 00:49:00";1.342
"50";"2016-01-01 00:50:00";3.802
"51";"2016-01-01 00:51:00";6.543
"52";"2016-01-01 00:52:00";4.753
"53";"2016-01-01 00:53:00";2.516
"54";"2016-01-01 00:54:00";4.194
"55";"2016-01-01 00:55:00";3.914
"56";"2016-01-01 00:56:00";1.398
"57";"2016-01-01 00:57:00";3.97
"58";"2016-01-01 00:58:00";4.529
"59";"2016-01-01 00:59:00";4.809
"60";"2016-01-01 01:00:00";5.033
"61";"2016-01-01 01:01:00";1.845
"62";"2016-01-01 01:02:00";3.802
"63";"2016-01-01 01:03:00";6.039
"64";"2016-01-01 01:04:00";3.802
"65";"2016-01-01 01:05:00";3.802
"66";"2016-01-01 01:06:00";6.431
"67";"2016-01-01 01:07:00";2.181
"68";"2016-01-01 01:08:00";8.39
"69";"2016-01-01 01:09:00";5.76
"70";"2016-01-01 01:10:00";7.829
"71";"2016-01-01 01:11:00";2.628
"72";"2016-01-01 01:12:00";4.865
"73";"2016-01-01 01:13:00";4.921
"74";"2016-01-01 01:14:00";2.293
"75";"2016-01-01 01:15:00";2.572
"76";"2016-01-01 01:16:00";6.99
"77";"2016-01-01 01:17:00";1.901
"78";"2016-01-01 01:18:00";4.25
"79";"2016-01-01 01:19:00";1.566
"80";"2016-01-01 01:20:00";3.802
"81";"2016-01-01 01:21:00";3.802
"82";"2016-01-01 01:22:00";1.342
"83";"2016-01-01 01:23:00";3.802
"84";"2016-01-01 01:24:00";4.026
"85";"2016-01-01 01:25:00";1.678
"86";"2016-01-01 01:26:00";6.543
"87";"2016-01-01 01:27:00";6.263
"88";"2016-01-01 01:28:00";3.802
"89";"2016-01-01 01:29:00";2.349
"90";"2016-01-01 01:30:00";1.342
"91";"2016-01-01 01:31:00";1.342
"92";"2016-01-01 01:32:00";4.026
"93";"2016-01-01 01:33:00";3.802
"94";"2016-01-01 01:34:00";3.802
"95";"2016-01-01 01:35:00";3.97
"96";"2016-01-01 01:36:00";1.789
"97";"2016-01-01 01:37:00";3.97
"98";"2016-01-01 01:38:00";1.51
"99";"2016-01-01 01:39:00";1.342
"100";"2016-01-01 01:40:00";4.082
"101";"2016-01-01 01:41:00";6.71
"102";"2016-01-01 01:42:00";4.026
"103";"2016-01-01 01:43:00";1.733
"104";"2016-01-01 01:44:00";3.97
"105";"2016-01-01 01:45:00";1.566
"106";"2016-01-01 01:46:00";3.802
"107";"2016-01-01 01:47:00";3.747
"108";"2016-01-01 01:48:00";1.342
"109";"2016-01-01 01:49:00";1.566
"110";"2016-01-01 01:50:00";2.684
"111";"2016-01-01 01:51:00";3.467
"112";"2016-01-01 01:52:00";3.355
"113";"2016-01-01 01:53:00";2.572
"114";"2016-01-01 01:54:00";1.957
"115";"2016-01-01 01:55:00";1.51
"116";"2016-01-01 01:56:00";3.747
"117";"2016-01-01 01:57:00";3.802
"118";"2016-01-01 01:58:00";3.523
"119";"2016-01-01 01:59:00";3.802
"120";"2016-01-01 02:00:00";4.138
"121";"2016-01-01 02:01:00";4.865
"122";"2016-01-01 02:02:00";3.97
"123";"2016-01-01 02:03:00";4.306
"124";"2016-01-01 02:04:00";4.306
"125";"2016-01-01 02:05:00";1.622
"126";"2016-01-01 02:06:00";2.125
"127";"2016-01-01 02:07:00";5.145
"128";"2016-01-01 02:08:00";2.852
"129";"2016-01-01 02:09:00";5.256
"130";"2016-01-01 02:10:00";5.48
"131";"2016-01-01 02:11:00";4.753
"132";"2016-01-01 02:12:00";1.733
"133";"2016-01-01 02:13:00";3.97
"134";"2016-01-01 02:14:00";1.566
"135";"2016-01-01 02:15:00";4.25
"136";"2016-01-01 02:16:00";3.97
"137";"2016-01-01 02:17:00";1.454
"138";"2016-01-01 02:18:00";1.342
"139";"2016-01-01 02:19:00";3.802
"140";"2016-01-01 02:20:00";3.914
"141";"2016-01-01 02:21:00";1.342
"142";"2016-01-01 02:22:00";1.342
"143";"2016-01-01 02:23:00";1.342
"144";"2016-01-01 02:24:00";3.691
"145";"2016-01-01 02:25:00";6.095
"146";"2016-01-01 02:26:00";4.25
"147";"2016-01-01 02:27:00";4.082
"148";"2016-01-01 02:28:00";1.51
"149";"2016-01-01 02:29:00";1.398
"150";"2016-01-01 02:30:00";4.25
"151";"2016-01-01 02:31:00";6.766
"152";"2016-01-01 02:32:00";2.125
"153";"2016-01-01 02:33:00";2.796
"154";"2016-01-01 02:34:00";5.256
"155";"2016-01-01 02:35:00";4.977
"156";"2016-01-01 02:36:00";7.046
"157";"2016-01-01 02:37:00";2.349
"158";"2016-01-01 02:38:00";4.809
"159";"2016-01-01 02:39:00";4.809
"160";"2016-01-01 02:40:00";2.181
"161";"2016-01-01 02:41:00";1.733
"162";"2016-01-01 02:42:00";4.306
"163";"2016-01-01 02:43:00";1.622
"164";"2016-01-01 02:44:00";1.398
"165";"2016-01-01 02:45:00";1.51
"166";"2016-01-01 02:46:00";4.026
"167";"2016-01-01 02:47:00";6.319
"168";"2016-01-01 02:48:00";1.398
"169";"2016-01-01 02:49:00";3.802
"170";"2016-01-01 02:50:00";6.263
"171";"2016-01-01 02:51:00";3.914
"172";"2016-01-01 02:52:00";1.454
"173";"2016-01-01 02:53:00";3.802
"174";"2016-01-01 02:54:00";3.802
"175";"2016-01-01 02:55:00";3.914
"176";"2016-01-01 02:56:00";3.858
"177";"2016-01-01 02:57:00";3.802
"178";"2016-01-01 02:58:00";1.51
"179";"2016-01-01 02:59:00";1.51
"180";"2016-01-01 03:00:00";2.796
"181";"2016-01-01 03:01:00";5.704
"182";"2016-01-01 03:02:00";6.039
"183";"2016-01-01 03:03:00";3.467
"184";"2016-01-01 03:04:00";5.983
"185";"2016-01-01 03:05:00";3.187
"186";"2016-01-01 03:06:00";2.908
"187";"2016-01-01 03:07:00";7.325
"188";"2016-01-01 03:08:00";6.878
"189";"2016-01-01 03:09:00";4.306
"190";"2016-01-01 03:10:00";4.138
"191";"2016-01-01 03:11:00";4.194
"192";"2016-01-01 03:12:00";1.622
"193";"2016-01-01 03:13:00";1.51
"194";"2016-01-01 03:14:00";1.678
"195";"2016-01-01 03:15:00";1.454
"196";"2016-01-01 03:16:00";6.71
"197";"2016-01-01 03:17:00";3.914
"198";"2016-01-01 03:18:00";3.914
"199";"2016-01-01 03:19:00";1.398
"200";"2016-01-01 03:20:00";1.342
"201";"2016-01-01 03:21:00";4.306
"202";"2016-01-01 03:22:00";1.957
"203";"2016-01-01 03:23:00";4.082
"204";"2016-01-01 03:24:00";4.138
"205";"2016-01-01 03:25:00";1.845
"206";"2016-01-01 03:26:00";4.138
"207";"2016-01-01 03:27:00";6.654
"208";"2016-01-01 03:28:00";2.237
"209";"2016-01-01 03:29:00";1.622
"210";"2016-01-01 03:30:00";1.566
"211";"2016-01-01 03:31:00";1.566
"212";"2016-01-01 03:32:00";6.431
"213";"2016-01-01 03:33:00";3.802
"214";"2016-01-01 03:34:00";3.187
"215";"2016-01-01 03:35:00";7.102
"216";"2016-01-01 03:36:00";3.802
"217";"2016-01-01 03:37:00";1.342
"218";"2016-01-01 03:38:00";5.145
"219";"2016-01-01 03:39:00";6.319
"220";"2016-01-01 03:40:00";1.398
"221";"2016-01-01 03:41:00";6.487
"222";"2016-01-01 03:42:00";1.566
"223";"2016-01-01 03:43:00";3.467
"224";"2016-01-01 03:44:00";4.082
"225";"2016-01-01 03:45:00";3.914
"226";"2016-01-01 03:46:00";4.082
"227";"2016-01-01 03:47:00";4.026
"228";"2016-01-01 03:48:00";4.138
"229";"2016-01-01 03:49:00";1.51
"230";"2016-01-01 03:50:00";1.678
"231";"2016-01-01 03:51:00";3.802
"232";"2016-01-01 03:52:00";6.263
"233";"2016-01-01 03:53:00";6.263
"234";"2016-01-01 03:54:00";3.802
"235";"2016-01-01 03:55:00";3.802
"236";"2016-01-01 03:56:00";3.858
"237";"2016-01-01 03:57:00";1.342
"238";"2016-01-01 03:58:00";1.342
"239";"2016-01-01 03:59:00";1.342
"240";"2016-01-01 04:00:00";1.342
"241";"2016-01-01 04:01:00";1.286
"242";"2016-01-01 04:02:00";3.802
"243";"2016-01-01 04:03:00";3.802
"244";"2016-01-01 04:04:00";3.802
"245";"2016-01-01 04:05:00";1.342
"246";"2016-01-01 04:06:00";1.454
"247";"2016-01-01 04:07:00";1.286
"248";"2016-01-01 04:08:00";3.914
"249";"2016-01-01 04:09:00";1.398
"250";"2016-01-01 04:10:00";3.858
