"date";"value"
"1";"2016-07-01 00:01:00";4.791
"2";"2016-07-01 00:02:00";5.076
"3";"2016-07-01 00:03:00";4.562
"4";"2016-07-01 00:04:00";5.19
"5";"2016-07-01 00:05:00";14.49
"6";"2016-07-01 00:06:00";2.623
"7";"2016-07-01 00:07:00";2.737
"8";"2016-07-01 00:08:00";4.962
"9";"2016-07-01 00:09:00";4.905
"10";"2016-07-01 00:10:00";7.3
"11";"2016-07-01 00:11:00";4.334
"12";"2016-07-01 00:12:00";4.334
"13";"2016-07-01 00:13:00";10.27
"14";"2016-07-01 00:14:00";4.334
"15";"2016-07-01 00:15:00";4.391
"16";"2016-07-01 00:16:00";7.3
"17";"2016-07-01 00:17:00";7.3
"18";"2016-07-01 00:18:00";4.334
"19";"2016-07-01 00:19:00";1.369
"20";"2016-07-01 00:20:00";4.334
"21";"2016-07-01 00:21:00";7.3
"22";"2016-07-01 00:22:00";7.129
"23";"2016-07-01 00:23:00";1.369
"24";"2016-07-01 00:24:00";7.3
"25";"2016-07-01 00:25:00";7.3
"26";"2016-07-01 00:26:00";1.369
"27";"2016-07-01 00:27:00";4.733
"28";"2016-07-01 00:28:00";4.334
"29";"2016-07-01 00:29:00";13.29
"30";"2016-07-01 00:30:00";7.357
"31";"2016-07-01 00:31:00";4.334
"32";"2016-07-01 00:32:00";1.369
"33";"2016-07-01 00:33:00";4.334
"34";"2016-07-01 00:34:00";4.334
"35";"2016-07-01 00:35:00";13.23
"36";"2016-07-01 00:36:00";7.243
"37";"2016-07-01 00:37:00";7.3
"38";"2016-07-01 00:38:00";7.3
"39";"2016-07-01 00:39:00";4.334
"40";"2016-07-01 00:40:00";7.471
"41";"2016-07-01 00:41:00";4.334
"42";"2016-07-01 00:42:00";4.334
"43";"2016-07-01 00:43:00";10.27
"44";"2016-07-01 00:44:00";7.3
"45";"2016-07-01 00:45:00";4.334
"46";"2016-07-01 00:46:00";1.369
"47";"2016-07-01 00:47:00";7.243
"48";"2016-07-01 00:48:00";4.277
"49";"2016-07-01 00:49:00";7.243
"50";"2016-07-01 00:50:00";7.357
"51";"2016-07-01 00:51:00";1.369
"52";"2016-07-01 00:52:00";10.27
"53";"2016-07-01 00:53:00";1.426
"54";"2016-07-01 00:54:00";10.27
"55";"2016-07-01 00:55:00";4.277
"56";"2016-07-01 00:56:00";16.08
"57";"2016-07-01 00:57:00";4.334
"58";"2016-07-01 00:58:00";5.133
"59";"2016-07-01 00:59:00";4.562
"60";"2016-07-01 01:00:00";7.243
"61";"2016-07-01 01:01:00";16.2
"62";"2016-07-01 01:02:00";7.3
"63";"2016-07-01 01:03:00";4.334
"64";"2016-07-01 01:04:00";7.243
"65";"2016-07-01 01:05:00";4.334
"66";"2016-07-01 01:06:00";7.072
"67";"2016-07-01 01:07:00";10.21
"68";"2016-07-01 01:08:00";4.334
"69";"2016-07-01 01:09:00";19.05
"70";"2016-07-01 01:10:00";4.334
"71";"2016-07-01 01:11:00";10.21
"72";"2016-07-01 01:12:00";7.243
"73";"2016-07-01 01:13:00";7.3
"74";"2016-07-01 01:14:00";10.27
"75";"2016-07-01 01:15:00";7.243
"76";"2016-07-01 01:16:00";4.334
"77";"2016-07-01 01:17:00";7.243
"78";"2016-07-01 01:18:00";7.3
"79";"2016-07-01 01:19:00";7.243
"80";"2016-07-01 01:20:00";4.334
"81";"2016-07-01 01:21:00";4.334
"82";"2016-07-01 01:22:00";10.21
"83";"2016-07-01 01:23:00";7.243
"84";"2016-07-01 01:24:00";7.3
"85";"2016-07-01 01:25:00";6.73
"86";"2016-07-01 01:26:00";7.414
"87";"2016-07-01 01:27:00";4.334
"88";"2016-07-01 01:28:00";4.334
"89";"2016-07-01 01:29:00";7.3
"90";"2016-07-01 01:30:00";7.3
"91";"2016-07-01 01:31:00";7.3
"92";"2016-07-01 01:32:00";7.3
"93";"2016-07-01 01:33:00";1.369
"94";"2016-07-01 01:34:00";10.27
"95";"2016-07-01 01:35:00";7.3
"96";"2016-07-01 01:36:00";10.55
"97";"2016-07-01 01:37:00";4.791
"98";"2016-07-01 01:38:00";5.019
"99";"2016-07-01 01:39:00";7.3
"100";"2016-07-01 01:40:00";7.528
"101";"2016-07-01 01:41:00";10.61
"102";"2016-07-01 01:42:00";7.927
"103";"2016-07-01 01:43:00";4.562
"104";"2016-07-01 01:44:00";8.1
"105";"2016-07-01 01:45:00";10.95
"106";"2016-07-01 01:46:00";4.79
"107";"2016-07-01 01:47:00";7.471
"108";"2016-07-01 01:48:00";7.528
"109";"2016-07-01 01:49:00";4.562
"110";"2016-07-01 01:50:00";7.3
"111";"2016-07-01 01:51:00";7.3
"112";"2016-07-01 01:52:00";7.3
"113";"2016-07-01 01:53:00";7.699
"114";"2016-07-01 01:54:00";7.642
"115";"2016-07-01 01:55:00";7.927
"116";"2016-07-01 01:56:00";1.882
"117";"2016-07-01 01:57:00";13.23
"118";"2016-07-01 01:58:00";1.369
"119";"2016-07-01 01:59:00";4.334
"120";"2016-07-01 02:00:00";4.334
"121";"2016-07-01 02:01:00";4.334
"122";"2016-07-01 02:02:00";7.3
"123";"2016-07-01 02:03:00";4.334
"124";"2016-07-01 02:04:00";4.334
"125";"2016-07-01 02:05:00";7.471
"126";"2016-07-01 02:06:00";10.27
"127";"2016-07-01 02:07:00";7.243
"128";"2016-07-01 02:08:00";1.369
"129";"2016-07-01 02:09:00";10.21
"130";"2016-07-01 02:10:00";7.243
"131";"2016-07-01 02:11:00";1.369
"132";"2016-07-01 02:12:00";7.243
"133";"2016-07-01 02:13:00";7.3
"134";"2016-07-01 02:14:00";4.334
"135";"2016-07-01 02:15:00";10.15
"136";"2016-07-01 02:16:00";4.334
"137";"2016-07-01 02:17:00";7.243
"138";"2016-07-01 02:18:00";1.369
"139";"2016-07-01 02:19:00";4.334
"140";"2016-07-01 02:20:00";1.369
"141";"2016-07-01 02:21:00";7.3
"142";"2016-07-01 02:22:00";1.369
"143";"2016-07-01 02:23:00";7.3
"144";"2016-07-01 02:24:00";7.3
"145";"2016-07-01 02:25:00";4.562
"146";"2016-07-01 02:26:00";7.3
"147";"2016-07-01 02:27:00";4.562
"148";"2016-07-01 02:28:00";4.334
"149";"2016-07-01 02:29:00";1.597
"150";"2016-07-01 02:30:00";10.38
"151";"2016-07-01 02:31:00";7.927
"152";"2016-07-01 02:32:00";8.27
"153";"2016-07-01 02:33:00";8.1
"154";"2016-07-01 02:34:00";4.163
"155";"2016-07-01 02:35:00";10.49
"156";"2016-07-01 02:36:00";4.334
"157";"2016-07-01 02:37:00";4.391
"158";"2016-07-01 02:38:00";10.27
"159";"2016-07-01 02:39:00";10.27
"160";"2016-07-01 02:40:00";7.3
"161";"2016-07-01 02:41:00";7.3
"162";"2016-07-01 02:42:00";10.32
"163";"2016-07-01 02:43:00";4.334
"164";"2016-07-01 02:44:00";1.369
