"date";"value"
"1";"2016-07-01 00:01:00";6.045
"2";"2016-07-01 00:02:00";3.638
"3";"2016-07-01 00:03:00";3.75
"4";"2016-07-01 00:04:00";5.542
"5";"2016-07-01 00:05:00";1.399
"6";"2016-07-01 00:06:00";3.359
"7";"2016-07-01 00:07:00";5.486
"8";"2016-07-01 00:08:00";3.359
"9";"2016-07-01 00:09:00";5.15
"10";"2016-07-01 00:10:00";0.896
"11";"2016-07-01 00:11:00";3.191
"12";"2016-07-01 00:12:00";5.262
"13";"2016-07-01 00:13:00";1.12
"14";"2016-07-01 00:14:00";6.437
"15";"2016-07-01 00:15:00";4.926
"16";"2016-07-01 00:16:00";8.9
"17";"2016-07-01 00:17:00";4.646
"18";"2016-07-01 00:18:00";8
"19";"2016-07-01 00:19:00";5.15
"20";"2016-07-01 00:20:00";5.598
"21";"2016-07-01 00:21:00";9.91
"22";"2016-07-01 00:22:00";2.575
"23";"2016-07-01 00:23:00";9.57
"24";"2016-07-01 00:24:00";3.023
"25";"2016-07-01 00:25:00";4.478
"26";"2016-07-01 00:26:00";4.03
"27";"2016-07-01 00:27:00";4.142
"28";"2016-07-01 00:28:00";4.87
"29";"2016-07-01 00:29:00";4.03
"30";"2016-07-01 00:30:00";5.877
"31";"2016-07-01 00:31:00";6.213
"32";"2016-07-01 00:32:00";8
"33";"2016-07-01 00:33:00";3.75
"34";"2016-07-01 00:34:00";5.933
"35";"2016-07-01 00:35:00";3.918
"36";"2016-07-01 00:36:00";3.638
"37";"2016-07-01 00:37:00";5.765
"38";"2016-07-01 00:38:00";5.542
"39";"2016-07-01 00:39:00";5.933
"40";"2016-07-01 00:40:00";5.43
"41";"2016-07-01 00:41:00";3.247
"42";"2016-07-01 00:42:00";4.814
"43";"2016-07-01 00:43:00";2.855
"44";"2016-07-01 00:44:00";4.758
"45";"2016-07-01 00:45:00";7.893
"46";"2016-07-01 00:46:00";3.582
"47";"2016-07-01 00:47:00";3.75
"48";"2016-07-01 00:48:00";8.28
"49";"2016-07-01 00:49:00";3.47
"50";"2016-07-01 00:50:00";5.877
"51";"2016-07-01 00:51:00";5.989
"52";"2016-07-01 00:52:00";5.709
"53";"2016-07-01 00:53:00";1.231
"54";"2016-07-01 00:54:00";1.175
"55";"2016-07-01 00:55:00";5.654
"56";"2016-07-01 00:56:00";2.967
"57";"2016-07-01 00:57:00";2.967
"58";"2016-07-01 00:58:00";3.303
"59";"2016-07-01 00:59:00";3.191
"60";"2016-07-01 01:00:00";3.247
"61";"2016-07-01 01:01:00";5.094
"62";"2016-07-01 01:02:00";3.359
"63";"2016-07-01 01:03:00";1.064
"64";"2016-07-01 01:04:00";3.303
"65";"2016-07-01 01:05:00";1.343
"66";"2016-07-01 01:06:00";3.247
"67";"2016-07-01 01:07:00";8.23
"68";"2016-07-01 01:08:00";0.896
