"date";"value"
"1";"2016-07-01 00:01:00";4.502
"2";"2016-07-01 00:02:00";1.368
"3";"2016-07-01 00:03:00";1.311
"4";"2016-07-01 00:04:00";6.44
"5";"2016-07-01 00:05:00";1.539
"6";"2016-07-01 00:06:00";3.875
"7";"2016-07-01 00:07:00";4.046
"8";"2016-07-01 00:08:00";1.482
"9";"2016-07-01 00:09:00";1.596
"10";"2016-07-01 00:10:00";1.539
"11";"2016-07-01 00:11:00";1.824
"12";"2016-07-01 00:12:00";4.217
"13";"2016-07-01 00:13:00";4.274
"14";"2016-07-01 00:14:00";1.881
"15";"2016-07-01 00:15:00";4.388
"16";"2016-07-01 00:16:00";6.725
"17";"2016-07-01 00:17:00";4.046
"18";"2016-07-01 00:18:00";11.85
"19";"2016-07-01 00:19:00";9.18
"20";"2016-07-01 00:20:00";1.881
"21";"2016-07-01 00:21:00";1.425
"22";"2016-07-01 00:22:00";6.497
"23";"2016-07-01 00:23:00";1.653
"24";"2016-07-01 00:24:00";1.254
"25";"2016-07-01 00:25:00";1.368
"26";"2016-07-01 00:26:00";6.554
"27";"2016-07-01 00:27:00";6.44
"28";"2016-07-01 00:28:00";11.63
"29";"2016-07-01 00:29:00";1.368
"30";"2016-07-01 00:30:00";6.44
"31";"2016-07-01 00:31:00";6.554
"32";"2016-07-01 00:32:00";1.368
"33";"2016-07-01 00:33:00";1.311
"34";"2016-07-01 00:34:00";6.326
"35";"2016-07-01 00:35:00";3.761
"36";"2016-07-01 00:36:00";1.311
"37";"2016-07-01 00:37:00";3.875
"38";"2016-07-01 00:38:00";3.875
"39";"2016-07-01 00:39:00";3.875
"40";"2016-07-01 00:40:00";3.875
"41";"2016-07-01 00:41:00";6.383
"42";"2016-07-01 00:42:00";14.08
"43";"2016-07-01 00:43:00";6.497
"44";"2016-07-01 00:44:00";1.368
"45";"2016-07-01 00:45:00";6.44
"46";"2016-07-01 00:46:00";1.482
"47";"2016-07-01 00:47:00";1.254
"48";"2016-07-01 00:48:00";3.989
"49";"2016-07-01 00:49:00";6.497
"50";"2016-07-01 00:50:00";6.44
"51";"2016-07-01 00:51:00";7.523
"52";"2016-07-01 00:52:00";6.44
"53";"2016-07-01 00:53:00";9
"54";"2016-07-01 00:54:00";8.95
"55";"2016-07-01 00:55:00";1.254
"56";"2016-07-01 00:56:00";3.875
"57";"2016-07-01 00:57:00";3.989
"58";"2016-07-01 00:58:00";1.425
"59";"2016-07-01 00:59:00";11.57
"60";"2016-07-01 01:00:00";8.61
"61";"2016-07-01 01:01:00";1.311
"62";"2016-07-01 01:02:00";3.989
"63";"2016-07-01 01:03:00";3.875
"64";"2016-07-01 01:04:00";3.932
"65";"2016-07-01 01:05:00";3.932
"66";"2016-07-01 01:06:00";6.44
"67";"2016-07-01 01:07:00";9.06
"68";"2016-07-01 01:08:00";4.046
"69";"2016-07-01 01:09:00";6.44
"70";"2016-07-01 01:10:00";2.508
"71";"2016-07-01 01:11:00";1.368
"72";"2016-07-01 01:12:00";9.06
"73";"2016-07-01 01:13:00";3.989
"74";"2016-07-01 01:14:00";1.197
"75";"2016-07-01 01:15:00";9
"76";"2016-07-01 01:16:00";3.875
"77";"2016-07-01 01:17:00";1.539
"78";"2016-07-01 01:18:00";1.368
"79";"2016-07-01 01:19:00";6.497
"80";"2016-07-01 01:20:00";3.875
"81";"2016-07-01 01:21:00";1.311
"82";"2016-07-01 01:22:00";1.254
"83";"2016-07-01 01:23:00";1.482
"84";"2016-07-01 01:24:00";6.497
"85";"2016-07-01 01:25:00";1.368
"86";"2016-07-01 01:26:00";9.12
"87";"2016-07-01 01:27:00";1.311
"88";"2016-07-01 01:28:00";3.932
"89";"2016-07-01 01:29:00";4.046
"90";"2016-07-01 01:30:00";1.311
"91";"2016-07-01 01:31:00";3.932
"92";"2016-07-01 01:32:00";6.383
"93";"2016-07-01 01:33:00";3.875
"94";"2016-07-01 01:34:00";3.818
"95";"2016-07-01 01:35:00";3.932
"96";"2016-07-01 01:36:00";1.311
"97";"2016-07-01 01:37:00";2.678
"98";"2016-07-01 01:38:00";1.254
"99";"2016-07-01 01:39:00";6.212
"100";"2016-07-01 01:40:00";1.311
"101";"2016-07-01 01:41:00";3.818
"102";"2016-07-01 01:42:00";3.932
"103";"2016-07-01 01:43:00";6.44
"104";"2016-07-01 01:44:00";1.368
"105";"2016-07-01 01:45:00";1.482
"106";"2016-07-01 01:46:00";1.368
"107";"2016-07-01 01:47:00";6.439
"108";"2016-07-01 01:48:00";1.311
"109";"2016-07-01 01:49:00";3.932
"110";"2016-07-01 01:50:00";6.496
"111";"2016-07-01 01:51:00";3.989
"112";"2016-07-01 01:52:00";3.932
"113";"2016-07-01 01:53:00";1.368
"114";"2016-07-01 01:54:00";4.217
"115";"2016-07-01 01:55:00";5.071
"116";"2016-07-01 01:56:00";1.311
"117";"2016-07-01 01:57:00";4.445
"118";"2016-07-01 01:58:00";4.445
"119";"2016-07-01 01:59:00";4.9
"120";"2016-07-01 02:00:00";4.616
"121";"2016-07-01 02:01:00";4.103
"122";"2016-07-01 02:02:00";3.932
"123";"2016-07-01 02:03:00";3.932
"124";"2016-07-01 02:04:00";6.325
"125";"2016-07-01 02:05:00";6.382
"126";"2016-07-01 02:06:00";4.558
"127";"2016-07-01 02:07:00";1.311
"128";"2016-07-01 02:08:00";6.382
"129";"2016-07-01 02:09:00";1.311
"130";"2016-07-01 02:10:00";1.311
"131";"2016-07-01 02:11:00";14.13
"132";"2016-07-01 02:12:00";1.311
"133";"2016-07-01 02:13:00";6.382
"134";"2016-07-01 02:14:00";1.311
"135";"2016-07-01 02:15:00";3.818
"136";"2016-07-01 02:16:00";3.932
"137";"2016-07-01 02:17:00";3.932
"138";"2016-07-01 02:18:00";3.761
"139";"2016-07-01 02:19:00";6.496
"140";"2016-07-01 02:20:00";3.989
"141";"2016-07-01 02:21:00";3.818
"142";"2016-07-01 02:22:00";3.875
"143";"2016-07-01 02:23:00";3.932
"144";"2016-07-01 02:24:00";3.875
"145";"2016-07-01 02:25:00";1.197
"146";"2016-07-01 02:26:00";1.311
"147";"2016-07-01 02:27:00";1.425
"148";"2016-07-01 02:28:00";3.875
"149";"2016-07-01 02:29:00";1.368
"150";"2016-07-01 02:30:00";1.311
"151";"2016-07-01 02:31:00";1.368
"152";"2016-07-01 02:32:00";1.311
"153";"2016-07-01 02:33:00";1.595
"154";"2016-07-01 02:34:00";3.761
"155";"2016-07-01 02:35:00";1.368
"156";"2016-07-01 02:36:00";3.932
"157";"2016-07-01 02:37:00";6.439
"158";"2016-07-01 02:38:00";3.932
"159";"2016-07-01 02:39:00";3.875
"160";"2016-07-01 02:40:00";6.439
"161";"2016-07-01 02:41:00";3.932
"162";"2016-07-01 02:42:00";3.875
"163";"2016-07-01 02:43:00";3.875
"164";"2016-07-01 02:44:00";1.311
"165";"2016-07-01 02:45:00";1.31
"166";"2016-07-01 02:46:00";1.367
"167";"2016-07-01 02:47:00";9.17
"168";"2016-07-01 02:48:00";1.367
"169";"2016-07-01 02:49:00";4.045
"170";"2016-07-01 02:50:00";6.894
"171";"2016-07-01 02:51:00";6.666
"172";"2016-07-01 02:52:00";4.045
"173";"2016-07-01 02:53:00";1.31
"174";"2016-07-01 02:54:00";3.931
"175";"2016-07-01 02:55:00";1.481
"176";"2016-07-01 02:56:00";3.703
"177";"2016-07-01 02:57:00";3.931
