"date";"value"
"1";"2016-03-01 00:01:00";3.008
"2";"2016-03-01 00:02:00";0.681
"3";"2016-03-01 00:03:00";2.951
"4";"2016-03-01 00:04:00";3.008
"5";"2016-03-01 00:05:00";0.681
"6";"2016-03-01 00:06:00";3.178
"7";"2016-03-01 00:07:00";0.681
"8";"2016-03-01 00:08:00";3.008
"9";"2016-03-01 00:09:00";1.135
"10";"2016-03-01 00:10:00";0.738
"11";"2016-03-01 00:11:00";5.222
"12";"2016-03-01 00:12:00";5.278
"13";"2016-03-01 00:13:00";5.789
"14";"2016-03-01 00:14:00";3.122
"15";"2016-03-01 00:15:00";0.681
"16";"2016-03-01 00:16:00";1.362
"17";"2016-03-01 00:17:00";3.065
"18";"2016-03-01 00:18:00";3.008
"19";"2016-03-01 00:19:00";8
"20";"2016-03-01 00:20:00";3.235
"21";"2016-03-01 00:21:00";1.135
"22";"2016-03-01 00:22:00";3.689
"23";"2016-03-01 00:23:00";1.135
"24";"2016-03-01 00:24:00";0.908
"25";"2016-03-01 00:25:00";5.732
"26";"2016-03-01 00:26:00";3.235
"27";"2016-03-01 00:27:00";0.908
"28";"2016-03-01 00:28:00";3.065
"29";"2016-03-01 00:29:00";4.54
"30";"2016-03-01 00:30:00";5.562
"31";"2016-03-01 00:31:00";3.008
"32";"2016-03-01 00:32:00";3.349
"33";"2016-03-01 00:33:00";5.562
"34";"2016-03-01 00:34:00";5.562
"35";"2016-03-01 00:35:00";5.278
"36";"2016-03-01 00:36:00";3.065
"37";"2016-03-01 00:37:00";3.008
"38";"2016-03-01 00:38:00";0.681
"39";"2016-03-01 00:39:00";0.681
"40";"2016-03-01 00:40:00";3.178
"41";"2016-03-01 00:41:00";3.008
"42";"2016-03-01 00:42:00";0.738
"43";"2016-03-01 00:43:00";5.505
"44";"2016-03-01 00:44:00";2.951
"45";"2016-03-01 00:45:00";3.292
"46";"2016-03-01 00:46:00";5.335
"47";"2016-03-01 00:47:00";5.789
"48";"2016-03-01 00:48:00";0.908
"49";"2016-03-01 00:49:00";5.335
"50";"2016-03-01 00:50:00";3.065
"51";"2016-03-01 00:51:00";0.681
"52";"2016-03-01 00:52:00";3.008
"53";"2016-03-01 00:53:00";3.008
"54";"2016-03-01 00:54:00";0.681
"55";"2016-03-01 00:55:00";5.562
"56";"2016-03-01 00:56:00";2.951
"57";"2016-03-01 00:57:00";1.419
"58";"2016-03-01 00:58:00";2.951
"59";"2016-03-01 00:59:00";0.681
"60";"2016-03-01 01:00:00";7.549
"61";"2016-03-01 01:01:00";0.681
"62";"2016-03-01 01:02:00";0.681
"63";"2016-03-01 01:03:00";3.292
"64";"2016-03-01 01:04:00";0.681
"65";"2016-03-01 01:05:00";3.008
"66";"2016-03-01 01:06:00";3.462
"67";"2016-03-01 01:07:00";5.335
"68";"2016-03-01 01:08:00";3.235
"69";"2016-03-01 01:09:00";0.681
"70";"2016-03-01 01:10:00";5.335
"71";"2016-03-01 01:11:00";0.681
"72";"2016-03-01 01:12:00";5.335
"73";"2016-03-01 01:13:00";2.951
"74";"2016-03-01 01:14:00";3.008
"75";"2016-03-01 01:15:00";1.759
"76";"2016-03-01 01:16:00";5.335
"77";"2016-03-01 01:17:00";0.908
"78";"2016-03-01 01:18:00";3.803
"79";"2016-03-01 01:19:00";3.008
"80";"2016-03-01 01:20:00";5.335
"81";"2016-03-01 01:21:00";3.235
"82";"2016-03-01 01:22:00";3.008
"83";"2016-03-01 01:23:00";0.681
"84";"2016-03-01 01:24:00";2.781
"85";"2016-03-01 01:25:00";3.008
"86";"2016-03-01 01:26:00";2.951
"87";"2016-03-01 01:27:00";3.178
"88";"2016-03-01 01:28:00";0.795
"89";"2016-03-01 01:29:00";5.335
"90";"2016-03-01 01:30:00";3.292
"91";"2016-03-01 01:31:00";3.008
"92";"2016-03-01 01:32:00";0.681
"93";"2016-03-01 01:33:00";7.662
"94";"2016-03-01 01:34:00";0.681
"95";"2016-03-01 01:35:00";3.008
"96";"2016-03-01 01:36:00";3.008
"97";"2016-03-01 01:37:00";5.335
"98";"2016-03-01 01:38:00";3.008
"99";"2016-03-01 01:39:00";0.681
"100";"2016-03-01 01:40:00";3.008
"101";"2016-03-01 01:41:00";0.681
"102";"2016-03-01 01:42:00";5.335
"103";"2016-03-01 01:43:00";0.681
"104";"2016-03-01 01:44:00";5.335
"105";"2016-03-01 01:45:00";5.789
"106";"2016-03-01 01:46:00";0.908
"107";"2016-03-01 01:47:00";3.008
"108";"2016-03-01 01:48:00";1.93
"109";"2016-03-01 01:49:00";5.335
"110";"2016-03-01 01:50:00";1.249
"111";"2016-03-01 01:51:00";3.178
"112";"2016-03-01 01:52:00";5.335
"113";"2016-03-01 01:53:00";3.008
"114";"2016-03-01 01:54:00";3.008
"115";"2016-03-01 01:55:00";0.908
"116";"2016-03-01 01:56:00";3.008
"117";"2016-03-01 01:57:00";1.703
"118";"2016-03-01 01:58:00";0.908
"119";"2016-03-01 01:59:00";3.519
"120";"2016-03-01 02:00:00";0.908
"121";"2016-03-01 02:01:00";1.135
"122";"2016-03-01 02:02:00";1.135
"123";"2016-03-01 02:03:00";3.235
"124";"2016-03-01 02:04:00";3.405
"125";"2016-03-01 02:05:00";3.859
"126";"2016-03-01 02:06:00";2.043
"127";"2016-03-01 02:07:00";1.759
"128";"2016-03-01 02:08:00";2.497
"129";"2016-03-01 02:09:00";4.143
"130";"2016-03-01 02:10:00";2.043
"131";"2016-03-01 02:11:00";4.257
"132";"2016-03-01 02:12:00";6.414
"133";"2016-03-01 02:13:00";2.611
"134";"2016-03-01 02:14:00";3.632
"135";"2016-03-01 02:15:00";3.462
"136";"2016-03-01 02:16:00";5.732
"137";"2016-03-01 02:17:00";3.859
"138";"2016-03-01 02:18:00";3.576
"139";"2016-03-01 02:19:00";6.187
"140";"2016-03-01 02:20:00";5.562
"141";"2016-03-01 02:21:00";3.008
"142";"2016-03-01 02:22:00";0.681
"143";"2016-03-01 02:23:00";3.008
"144";"2016-03-01 02:24:00";3.008
"145";"2016-03-01 02:25:00";3.008
"146";"2016-03-01 02:26:00";3.008
"147";"2016-03-01 02:27:00";3.008
"148";"2016-03-01 02:28:00";0.681
"149";"2016-03-01 02:29:00";3.235
"150";"2016-03-01 02:30:00";5.278
"151";"2016-03-01 02:31:00";3.008
"152";"2016-03-01 02:32:00";0.681
"153";"2016-03-01 02:33:00";3.008
"154";"2016-03-01 02:34:00";2.951
"155";"2016-03-01 02:35:00";5.335
"156";"2016-03-01 02:36:00";3.008
"157";"2016-03-01 02:37:00";3.008
"158";"2016-03-01 02:38:00";3.008
"159";"2016-03-01 02:39:00";2.724
"160";"2016-03-01 02:40:00";5.335
"161";"2016-03-01 02:41:00";5.335
"162";"2016-03-01 02:42:00";0.681
"163";"2016-03-01 02:43:00";3.008
"164";"2016-03-01 02:44:00";3.235
"165";"2016-03-01 02:45:00";3.008
"166";"2016-03-01 02:46:00";0.681
"167";"2016-03-01 02:47:00";0.908
"168";"2016-03-01 02:48:00";5.051
"169";"2016-03-01 02:49:00";5.562
"170";"2016-03-01 02:50:00";3.405
"171";"2016-03-01 02:51:00";5.732
"172";"2016-03-01 02:52:00";3.008
"173";"2016-03-01 02:53:00";3.008
"174";"2016-03-01 02:54:00";3.065
"175";"2016-03-01 02:55:00";0.908
"176";"2016-03-01 02:56:00";0.681
"177";"2016-03-01 02:57:00";3.008
"178";"2016-03-01 02:58:00";3.008
"179";"2016-03-01 02:59:00";3.008
"180";"2016-03-01 03:00:00";5.165
"181";"2016-03-01 03:01:00";3.008
"182";"2016-03-01 03:02:00";0.681
"183";"2016-03-01 03:03:00";5.222
"184";"2016-03-01 03:04:00";3.008
"185";"2016-03-01 03:05:00";3.008
"186";"2016-03-01 03:06:00";3.008
"187";"2016-03-01 03:07:00";5.335
"188";"2016-03-01 03:08:00";0.681
"189";"2016-03-01 03:09:00";3.008
"190";"2016-03-01 03:10:00";2.951
"191";"2016-03-01 03:11:00";0.681
"192";"2016-03-01 03:12:00";7.662
"193";"2016-03-01 03:13:00";3.008
"194";"2016-03-01 03:14:00";0.908
"195";"2016-03-01 03:15:00";3.008
"196";"2016-03-01 03:16:00";3.235
"197";"2016-03-01 03:17:00";5.335
"198";"2016-03-01 03:18:00";3.178
"199";"2016-03-01 03:19:00";0.681
"200";"2016-03-01 03:20:00";0.681
"201";"2016-03-01 03:21:00";5.335
"202";"2016-03-01 03:22:00";3.008
"203";"2016-03-01 03:23:00";2.951
"204";"2016-03-01 03:24:00";3.008
"205";"2016-03-01 03:25:00";3.689
"206";"2016-03-01 03:26:00";0.681
"207";"2016-03-01 03:27:00";0.681
"208";"2016-03-01 03:28:00";5.335
"209";"2016-03-01 03:29:00";3.008
"210";"2016-03-01 03:30:00";3.235
"211";"2016-03-01 03:31:00";0.681
"212";"2016-03-01 03:32:00";3.122
"213";"2016-03-01 03:33:00";3.008
"214";"2016-03-01 03:34:00";5.335
"215";"2016-03-01 03:35:00";5.278
"216";"2016-03-01 03:36:00";0.681
"217";"2016-03-01 03:37:00";2.951
"218";"2016-03-01 03:38:00";3.008
"219";"2016-03-01 03:39:00";5.278
"220";"2016-03-01 03:40:00";5.335
"221";"2016-03-01 03:41:00";3.008
"222";"2016-03-01 03:42:00";0.681
"223";"2016-03-01 03:43:00";3.008
"224";"2016-03-01 03:44:00";0.681
"225";"2016-03-01 03:45:00";5.165
"226";"2016-03-01 03:46:00";3.008
"227";"2016-03-01 03:47:00";3.065
"228";"2016-03-01 03:48:00";0.681
"229";"2016-03-01 03:49:00";0.681
"230";"2016-03-01 03:50:00";7.662
"231";"2016-03-01 03:51:00";3.008
"232";"2016-03-01 03:52:00";0.681
"233";"2016-03-01 03:53:00";5.505
"234";"2016-03-01 03:54:00";0.681
"235";"2016-03-01 03:55:00";5.505
"236";"2016-03-01 03:56:00";5.335
"237";"2016-03-01 03:57:00";0.681
"238";"2016-03-01 03:58:00";0.681
"239";"2016-03-01 03:59:00";1.589
"240";"2016-03-01 04:00:00";5.278
"241";"2016-03-01 04:01:00";0.681
"242";"2016-03-01 04:02:00";3.008
"243";"2016-03-01 04:03:00";0.738
"244";"2016-03-01 04:04:00";3.008
"245";"2016-03-01 04:05:00";3.235
"246";"2016-03-01 04:06:00";3.008
"247";"2016-03-01 04:07:00";0.965
"248";"2016-03-01 04:08:00";3.008
"249";"2016-03-01 04:09:00";3.008
"250";"2016-03-01 04:10:00";0.681
"251";"2016-03-01 04:11:00";0.681
"252";"2016-03-01 04:12:00";3.235
"253";"2016-03-01 04:13:00";5.505
"254";"2016-03-01 04:14:00";0.681
"255";"2016-03-01 04:15:00";2.951
"256";"2016-03-01 04:16:00";3.008
"257";"2016-03-01 04:17:00";0.681
"258";"2016-03-01 04:18:00";3.008
"259";"2016-03-01 04:19:00";0.681
"260";"2016-03-01 04:20:00";3.008
