"date";"value"
"1";"2016-03-01 00:01:00";3.97
"2";"2016-03-01 00:02:00";4.026
"3";"2016-03-01 00:03:00";4.026
"4";"2016-03-01 00:04:00";1.678
"5";"2016-03-01 00:05:00";4.25
"6";"2016-03-01 00:06:00";1.454
"7";"2016-03-01 00:07:00";6.487
"8";"2016-03-01 00:08:00";1.454
"9";"2016-03-01 00:09:00";1.622
"10";"2016-03-01 00:10:00";3.914
"11";"2016-03-01 00:11:00";1.51
"12";"2016-03-01 00:12:00";1.622
"13";"2016-03-01 00:13:00";6.263
"14";"2016-03-01 00:14:00";3.97
"15";"2016-03-01 00:15:00";1.957
"16";"2016-03-01 00:16:00";4.194
"17";"2016-03-01 00:17:00";1.901
"18";"2016-03-01 00:18:00";1.566
"19";"2016-03-01 00:19:00";2.181
"20";"2016-03-01 00:20:00";4.362
"21";"2016-03-01 00:21:00";6.99
"22";"2016-03-01 00:22:00";4.082
"23";"2016-03-01 00:23:00";4.026
"24";"2016-03-01 00:24:00";2.181
"25";"2016-03-01 00:25:00";4.25
"26";"2016-03-01 00:26:00";4.138
"27";"2016-03-01 00:27:00";4.138
"28";"2016-03-01 00:28:00";3.914
"29";"2016-03-01 00:29:00";1.622
"30";"2016-03-01 00:30:00";4.25
"31";"2016-03-01 00:31:00";1.622
"32";"2016-03-01 00:32:00";1.566
"33";"2016-03-01 00:33:00";1.845
"34";"2016-03-01 00:34:00";6.598
"35";"2016-03-01 00:35:00";1.733
"36";"2016-03-01 00:36:00";6.598
"37";"2016-03-01 00:37:00";1.454
"38";"2016-03-01 00:38:00";1.454
"39";"2016-03-01 00:39:00";1.622
"40";"2016-03-01 00:40:00";1.342
"41";"2016-03-01 00:41:00";3.802
"42";"2016-03-01 00:42:00";1.566
"43";"2016-03-01 00:43:00";1.454
"44";"2016-03-01 00:44:00";1.622
"45";"2016-03-01 00:45:00";4.194
"46";"2016-03-01 00:46:00";4.194
"47";"2016-03-01 00:47:00";6.487
"48";"2016-03-01 00:48:00";1.622
"49";"2016-03-01 00:49:00";1.789
"50";"2016-03-01 00:50:00";4.082
"51";"2016-03-01 00:51:00";4.026
"52";"2016-03-01 00:52:00";6.319
"53";"2016-03-01 00:53:00";3.802
"54";"2016-03-01 00:54:00";3.97
"55";"2016-03-01 00:55:00";4.25
