"date";"value"
"1";"2016-03-01 00:01:00";7.662
"2";"2016-03-01 00:02:00";3.178
"3";"2016-03-01 00:03:00";3.462
"4";"2016-03-01 00:04:00";3.462
"5";"2016-03-01 00:05:00";3.405
"6";"2016-03-01 00:06:00";5.562
"7";"2016-03-01 00:07:00";3.122
"8";"2016-03-01 00:08:00";3.519
"9";"2016-03-01 00:09:00";2.895
"10";"2016-03-01 00:10:00";5.789
"11";"2016-03-01 00:11:00";1.135
"12";"2016-03-01 00:12:00";5.903
"13";"2016-03-01 00:13:00";6.357
"14";"2016-03-01 00:14:00";3.746
"15";"2016-03-01 00:15:00";1.816
"16";"2016-03-01 00:16:00";4.257
"17";"2016-03-01 00:17:00";1.532
"18";"2016-03-01 00:18:00";3.859
"19";"2016-03-01 00:19:00";3.746
"20";"2016-03-01 00:20:00";3.803
"21";"2016-03-01 00:21:00";4.143
"22";"2016-03-01 00:22:00";3.859
"23";"2016-03-01 00:23:00";4.143
"24";"2016-03-01 00:24:00";1.816
"25";"2016-03-01 00:25:00";1.703
"26";"2016-03-01 00:26:00";5.959
"27";"2016-03-01 00:27:00";1.476
"28";"2016-03-01 00:28:00";3.859
"29";"2016-03-01 00:29:00";4.086
"30";"2016-03-01 00:30:00";1.589
"31";"2016-03-01 00:31:00";5.789
"32";"2016-03-01 00:32:00";4.37
"33";"2016-03-01 00:33:00";1.532
"34";"2016-03-01 00:34:00";4.086
"35";"2016-03-01 00:35:00";1.476
"36";"2016-03-01 00:36:00";1.759
"37";"2016-03-01 00:37:00";6.243
"38";"2016-03-01 00:38:00";3.746
"39";"2016-03-01 00:39:00";3.632
"40";"2016-03-01 00:40:00";3.973
"41";"2016-03-01 00:41:00";1.476
"42";"2016-03-01 00:42:00";3.973
"43";"2016-03-01 00:43:00";3.746
"44";"2016-03-01 00:44:00";1.022
"45";"2016-03-01 00:45:00";3.746
"46";"2016-03-01 00:46:00";1.249
"47";"2016-03-01 00:47:00";3.632
"48";"2016-03-01 00:48:00";6.3
"49";"2016-03-01 00:49:00";1.135
"50";"2016-03-01 00:50:00";3.405
"51";"2016-03-01 00:51:00";3.405
"52";"2016-03-01 00:52:00";1.135
"53";"2016-03-01 00:53:00";1.419
"54";"2016-03-01 00:54:00";4.143
"55";"2016-03-01 00:55:00";1.022
"56";"2016-03-01 00:56:00";4.2
"57";"2016-03-01 00:57:00";1.646
"58";"2016-03-01 00:58:00";1.362
"59";"2016-03-01 00:59:00";3.349
"60";"2016-03-01 01:00:00";1.476
"61";"2016-03-01 01:01:00";0.965
"62";"2016-03-01 01:02:00";1.135
"63";"2016-03-01 01:03:00";5.789
"64";"2016-03-01 01:04:00";6.187
"65";"2016-03-01 01:05:00";1.476
"66";"2016-03-01 01:06:00";2.043
"67";"2016-03-01 01:07:00";1.816
"68";"2016-03-01 01:08:00";1.419
"69";"2016-03-01 01:09:00";1.589
"70";"2016-03-01 01:10:00";5.789
"71";"2016-03-01 01:11:00";3.405
"72";"2016-03-01 01:12:00";0.738
"73";"2016-03-01 01:13:00";3.178
"74";"2016-03-01 01:14:00";3.632
"75";"2016-03-01 01:15:00";1.135
"76";"2016-03-01 01:16:00";3.632
"77";"2016-03-01 01:17:00";3.803
"78";"2016-03-01 01:18:00";1.249
"79";"2016-03-01 01:19:00";1.362
"80";"2016-03-01 01:20:00";5.789
"81";"2016-03-01 01:21:00";6.187
"82";"2016-03-01 01:22:00";1.135
"83";"2016-03-01 01:23:00";5.619
"84";"2016-03-01 01:24:00";3.292
"85";"2016-03-01 01:25:00";1.419
"86";"2016-03-01 01:26:00";3.292
"87";"2016-03-01 01:27:00";3.405
"88";"2016-03-01 01:28:00";1.362
"89";"2016-03-01 01:29:00";1.362
"90";"2016-03-01 01:30:00";1.419
"91";"2016-03-01 01:31:00";3.405
"92";"2016-03-01 01:32:00";3.632
"93";"2016-03-01 01:33:00";0.908
"94";"2016-03-01 01:34:00";1.476
"95";"2016-03-01 01:35:00";3.008
"96";"2016-03-01 01:36:00";0.795
"97";"2016-03-01 01:37:00";0.681
"98";"2016-03-01 01:38:00";4.427
"99";"2016-03-01 01:39:00";0.795
"100";"2016-03-01 01:40:00";3.122
"101";"2016-03-01 01:41:00";3.065
"102";"2016-03-01 01:42:00";5.335
"103";"2016-03-01 01:43:00";5.505
"104";"2016-03-01 01:44:00";5.789
"105";"2016-03-01 01:45:00";3.576
"106";"2016-03-01 01:46:00";6.187
"107";"2016-03-01 01:47:00";1.192
"108";"2016-03-01 01:48:00";0.908
"109";"2016-03-01 01:49:00";3.235
"110";"2016-03-01 01:50:00";1.93
"111";"2016-03-01 01:51:00";1.249
"112";"2016-03-01 01:52:00";3.803
"113";"2016-03-01 01:53:00";3.519
"114";"2016-03-01 01:54:00";3.576
"115";"2016-03-01 01:55:00";1.022
"116";"2016-03-01 01:56:00";1.532
"117";"2016-03-01 01:57:00";1.589
"118";"2016-03-01 01:58:00";3.916
"119";"2016-03-01 01:59:00";1.532
"120";"2016-03-01 02:00:00";2.724
"121";"2016-03-01 02:01:00";4.143
"122";"2016-03-01 02:02:00";4.03
"123";"2016-03-01 02:03:00";3.746
"124";"2016-03-01 02:04:00";1.873
"125";"2016-03-01 02:05:00";4.427
"126";"2016-03-01 02:06:00";2.724
"127";"2016-03-01 02:07:00";2.327
"128";"2016-03-01 02:08:00";7.662
"129";"2016-03-01 02:09:00";7.265
"130";"2016-03-01 02:10:00";4.881
"131";"2016-03-01 02:11:00";4.995
"132";"2016-03-01 02:12:00";2.724
"133";"2016-03-01 02:13:00";7.378
"134";"2016-03-01 02:14:00";1.986
"135";"2016-03-01 02:15:00";4.2
"136";"2016-03-01 02:16:00";4.2
"137";"2016-03-01 02:17:00";4.484
"138";"2016-03-01 02:18:00";4.143
"139";"2016-03-01 02:19:00";4.427
"140";"2016-03-01 02:20:00";1.816
"141";"2016-03-01 02:21:00";1.759
"142";"2016-03-01 02:22:00";1.249
