"date";"value"
"1";"2017-08-01 00:01:00";3.19
"2";"2017-08-01 00:02:00";3.638
"3";"2017-08-01 00:03:00";2.574
"4";"2017-08-01 00:04:00";5.093
"5";"2017-08-01 00:05:00";5.82
"6";"2017-08-01 00:06:00";4.701
"7";"2017-08-01 00:07:00";3.47
"8";"2017-08-01 00:08:00";3.022
"9";"2017-08-01 00:09:00";2.966
"10";"2017-08-01 00:10:00";3.694
"11";"2017-08-01 00:11:00";3.694
"12";"2017-08-01 00:12:00";4.421
"13";"2017-08-01 00:13:00";1.959
"14";"2017-08-01 00:14:00";4.757
"15";"2017-08-01 00:15:00";6.436
"16";"2017-08-01 00:16:00";3.918
"17";"2017-08-01 00:17:00";4.365
"18";"2017-08-01 00:18:00";3.974
"19";"2017-08-01 00:19:00";3.974
"20";"2017-08-01 00:20:00";1.567
"21";"2017-08-01 00:21:00";4.086
"22";"2017-08-01 00:22:00";3.358
"23";"2017-08-01 00:23:00";3.47
"24";"2017-08-01 00:24:00";3.078
"25";"2017-08-01 00:25:00";3.022
"26";"2017-08-01 00:26:00";5.149
"27";"2017-08-01 00:27:00";2.351
"28";"2017-08-01 00:28:00";2.91
"29";"2017-08-01 00:29:00";2.63
"30";"2017-08-01 00:30:00";5.149
"31";"2017-08-01 00:31:00";3.358
"32";"2017-08-01 00:32:00";1.455
"33";"2017-08-01 00:33:00";3.582
"34";"2017-08-01 00:34:00";6.94
"35";"2017-08-01 00:35:00";8.28
"36";"2017-08-01 00:36:00";3.246
"37";"2017-08-01 00:37:00";5.093
"38";"2017-08-01 00:38:00";7.276
"39";"2017-08-01 00:39:00";0.28
"40";"2017-08-01 00:40:00";3.022
"41";"2017-08-01 00:41:00";2.91
"42";"2017-08-01 00:42:00";2.63
"43";"2017-08-01 00:43:00";6.044
"44";"2017-08-01 00:44:00";3.806
"45";"2017-08-01 00:45:00";7.108
"46";"2017-08-01 00:46:00";3.638
"47";"2017-08-01 00:47:00";6.1
"48";"2017-08-01 00:48:00";5.653
"49";"2017-08-01 00:49:00";3.134
"50";"2017-08-01 00:50:00";5.093
"51";"2017-08-01 00:51:00";3.414
"52";"2017-08-01 00:52:00";3.022
"53";"2017-08-01 00:53:00";5.597
"54";"2017-08-01 00:54:00";5.093
"55";"2017-08-01 00:55:00";0.784
"56";"2017-08-01 00:56:00";5.765
"57";"2017-08-01 00:57:00";3.134
"58";"2017-08-01 00:58:00";5.261
"59";"2017-08-01 00:59:00";2.742
"60";"2017-08-01 01:00:00";7.612
"61";"2017-08-01 01:01:00";3.358
"62";"2017-08-01 01:02:00";2.854
"63";"2017-08-01 01:03:00";3.526
"64";"2017-08-01 01:04:00";5.541
"65";"2017-08-01 01:05:00";3.974
"66";"2017-08-01 01:06:00";3.862
"67";"2017-08-01 01:07:00";2.798
"68";"2017-08-01 01:08:00";5.485
"69";"2017-08-01 01:09:00";5.597
"70";"2017-08-01 01:10:00";3.75
"71";"2017-08-01 01:11:00";5.653
"72";"2017-08-01 01:12:00";3.358
"73";"2017-08-01 01:13:00";7.332
"74";"2017-08-01 01:14:00";9.79
"75";"2017-08-01 01:15:00";3.526
"76";"2017-08-01 01:16:00";3.582
"77";"2017-08-01 01:17:00";1.287
"78";"2017-08-01 01:18:00";5.765
"79";"2017-08-01 01:19:00";3.694
"80";"2017-08-01 01:20:00";6.492
"81";"2017-08-01 01:21:00";3.974
"82";"2017-08-01 01:22:00";6.212
"83";"2017-08-01 01:23:00";4.645
"84";"2017-08-01 01:24:00";5.709
"85";"2017-08-01 01:25:00";1.343
"86";"2017-08-01 01:26:00";3.414
"87";"2017-08-01 01:27:00";8.34
"88";"2017-08-01 01:28:00";6.436
"89";"2017-08-01 01:29:00";5.821
"90";"2017-08-01 01:30:00";6.324
"91";"2017-08-01 01:31:00";4.813
"92";"2017-08-01 01:32:00";3.974
"93";"2017-08-01 01:33:00";2.91
"94";"2017-08-01 01:34:00";5.709
"95";"2017-08-01 01:35:00";6.044
"96";"2017-08-01 01:36:00";5.485
"97";"2017-08-01 01:37:00";3.918
"98";"2017-08-01 01:38:00";3.246
"99";"2017-08-01 01:39:00";0.616
"100";"2017-08-01 01:40:00";5.429
"101";"2017-08-01 01:41:00";3.246
"102";"2017-08-01 01:42:00";5.988
"103";"2017-08-01 01:43:00";3.75
"104";"2017-08-01 01:44:00";2.854
"105";"2017-08-01 01:45:00";3.638
"106";"2017-08-01 01:46:00";3.75
"107";"2017-08-01 01:47:00";3.582
"108";"2017-08-01 01:48:00";5.821
"109";"2017-08-01 01:49:00";5.876
"110";"2017-08-01 01:50:00";3.694
"111";"2017-08-01 01:51:00";3.638
"112";"2017-08-01 01:52:00";3.134
"113";"2017-08-01 01:53:00";2.854
"114";"2017-08-01 01:54:00";1.287
"115";"2017-08-01 01:55:00";5.932
"116";"2017-08-01 01:56:00";3.862
"117";"2017-08-01 01:57:00";3.974
"118";"2017-08-01 01:58:00";4.253
"119";"2017-08-01 01:59:00";4.253
"120";"2017-08-01 02:00:00";4.981
"121";"2017-08-01 02:01:00";3.918
"122";"2017-08-01 02:02:00";5.988
"123";"2017-08-01 02:03:00";6.1
"124";"2017-08-01 02:04:00";3.302
"125";"2017-08-01 02:05:00";3.302
"126";"2017-08-01 02:06:00";1.007
"127";"2017-08-01 02:07:00";5.653
"128";"2017-08-01 02:08:00";3.47
"129";"2017-08-01 02:09:00";0.895
"130";"2017-08-01 02:10:00";5.205
"131";"2017-08-01 02:11:00";5.429
"132";"2017-08-01 02:12:00";3.918
"133";"2017-08-01 02:13:00";1.175
"134";"2017-08-01 02:14:00";1.399
"135";"2017-08-01 02:15:00";7.276
"136";"2017-08-01 02:16:00";5.541
"137";"2017-08-01 02:17:00";3.806
"138";"2017-08-01 02:18:00";3.022
"139";"2017-08-01 02:19:00";3.582
"140";"2017-08-01 02:20:00";6.156
"141";"2017-08-01 02:21:00";3.022
"142";"2017-08-01 02:22:00";3.582
