"date";"value"
"1";"2017-01-01 00:01:00";4.214
"2";"2017-01-01 00:02:00";4.271
"3";"2017-01-01 00:03:00";4.271
"4";"2017-01-01 00:04:00";2.79
"5";"2017-01-01 00:05:00";6.719
"6";"2017-01-01 00:06:00";7.061
"7";"2017-01-01 00:07:00";1.367
"8";"2017-01-01 00:08:00";6.719
"9";"2017-01-01 00:09:00";1.594
"10";"2017-01-01 00:10:00";1.822
"11";"2017-01-01 00:11:00";1.424
"12";"2017-01-01 00:12:00";6.89
"13";"2017-01-01 00:13:00";1.367
"14";"2017-01-01 00:14:00";4.043
"15";"2017-01-01 00:15:00";4.271
"16";"2017-01-01 00:16:00";6.719
"17";"2017-01-01 00:17:00";1.594
"18";"2017-01-01 00:18:00";4.271
"19";"2017-01-01 00:19:00";4.214
"20";"2017-01-01 00:20:00";3.986
"21";"2017-01-01 00:21:00";3.986
"22";"2017-01-01 00:22:00";6.662
"23";"2017-01-01 00:23:00";4.043
"24";"2017-01-01 00:24:00";9.28
"25";"2017-01-01 00:25:00";4.043
"26";"2017-01-01 00:26:00";1.367
"27";"2017-01-01 00:27:00";4.157
"28";"2017-01-01 00:28:00";3.986
"29";"2017-01-01 00:29:00";1.367
"30";"2017-01-01 00:30:00";1.367
"31";"2017-01-01 00:31:00";1.936
"32";"2017-01-01 00:32:00";4.043
"33";"2017-01-01 00:33:00";4.043
"34";"2017-01-01 00:34:00";2.107
"35";"2017-01-01 00:35:00";1.367
"36";"2017-01-01 00:36:00";6.548
"37";"2017-01-01 00:37:00";3.986
"38";"2017-01-01 00:38:00";4.271
"39";"2017-01-01 00:39:00";4.043
"40";"2017-01-01 00:40:00";4.043
"41";"2017-01-01 00:41:00";4.043
"42";"2017-01-01 00:42:00";1.367
"43";"2017-01-01 00:43:00";3.189
"44";"2017-01-01 00:44:00";6.719
"45";"2017-01-01 00:45:00";4.043
"46";"2017-01-01 00:46:00";4.1
"47";"2017-01-01 00:47:00";6.719
"48";"2017-01-01 00:48:00";1.594
"49";"2017-01-01 00:49:00";1.367
"50";"2017-01-01 00:50:00";1.594
"51";"2017-01-01 00:51:00";4.043
"52";"2017-01-01 00:52:00";4.043
"53";"2017-01-01 00:53:00";1.537
"54";"2017-01-01 00:54:00";9.22
"55";"2017-01-01 00:55:00";4.043
"56";"2017-01-01 00:56:00";6.719
"57";"2017-01-01 00:57:00";4.043
"58";"2017-01-01 00:58:00";6.947
"59";"2017-01-01 00:59:00";4.043
"60";"2017-01-01 01:00:00";6.776
"61";"2017-01-01 01:01:00";4.043
"62";"2017-01-01 01:02:00";3.986
"63";"2017-01-01 01:03:00";3.986
"64";"2017-01-01 01:04:00";4.214
"65";"2017-01-01 01:05:00";5.182
"66";"2017-01-01 01:06:00";4.271
"67";"2017-01-01 01:07:00";6.719
"68";"2017-01-01 01:08:00";1.424
"69";"2017-01-01 01:09:00";1.367
"70";"2017-01-01 01:10:00";4.043
"71";"2017-01-01 01:11:00";1.367
"72";"2017-01-01 01:12:00";6.719
"73";"2017-01-01 01:13:00";4.043
"74";"2017-01-01 01:14:00";4.271
"75";"2017-01-01 01:15:00";4.043
"76";"2017-01-01 01:16:00";3.986
"77";"2017-01-01 01:17:00";1.367
"78";"2017-01-01 01:18:00";4.043
"79";"2017-01-01 01:19:00";4.043
"80";"2017-01-01 01:20:00";4.726
"81";"2017-01-01 01:21:00";1.367
"82";"2017-01-01 01:22:00";1.367
"83";"2017-01-01 01:23:00";1.424
"84";"2017-01-01 01:24:00";4.043
"85";"2017-01-01 01:25:00";6.719
"86";"2017-01-01 01:26:00";4.043
"87";"2017-01-01 01:27:00";1.424
"88";"2017-01-01 01:28:00";1.367
"89";"2017-01-01 01:29:00";6.719
"90";"2017-01-01 01:30:00";6.719
"91";"2017-01-01 01:31:00";1.367
"92";"2017-01-01 01:32:00";4.043
"93";"2017-01-01 01:33:00";1.367
"94";"2017-01-01 01:34:00";4.043
"95";"2017-01-01 01:35:00";4.271
"96";"2017-01-01 01:36:00";1.594
"97";"2017-01-01 01:37:00";4.043
"98";"2017-01-01 01:38:00";6.662
"99";"2017-01-01 01:39:00";3.986
"100";"2017-01-01 01:40:00";6.719
"101";"2017-01-01 01:41:00";1.367
"102";"2017-01-01 01:42:00";1.367
"103";"2017-01-01 01:43:00";1.48
"104";"2017-01-01 01:44:00";1.367
"105";"2017-01-01 01:45:00";2.221
"106";"2017-01-01 01:46:00";4.043
"107";"2017-01-01 01:47:00";4.043
"108";"2017-01-01 01:48:00";6.605
"109";"2017-01-01 01:49:00";1.367
"110";"2017-01-01 01:50:00";1.367
"111";"2017-01-01 01:51:00";6.719
"112";"2017-01-01 01:52:00";4.043
"113";"2017-01-01 01:53:00";1.367
"114";"2017-01-01 01:54:00";4.043
"115";"2017-01-01 01:55:00";6.719
"116";"2017-01-01 01:56:00";3.986
"117";"2017-01-01 01:57:00";4.043
"118";"2017-01-01 01:58:00";1.367
"119";"2017-01-01 01:59:00";1.48
"120";"2017-01-01 02:00:00";3.929
"121";"2017-01-01 02:01:00";1.367
"122";"2017-01-01 02:02:00";4.043
"123";"2017-01-01 02:03:00";1.367
"124";"2017-01-01 02:04:00";4.1
"125";"2017-01-01 02:05:00";6.264
"126";"2017-01-01 02:06:00";3.986
"127";"2017-01-01 02:07:00";3.986
"128";"2017-01-01 02:08:00";4.043
"129";"2017-01-01 02:09:00";6.719
"130";"2017-01-01 02:10:00";1.367
"131";"2017-01-01 02:11:00";4.043
"132";"2017-01-01 02:12:00";6.662
"133";"2017-01-01 02:13:00";1.367
"134";"2017-01-01 02:14:00";4.043
"135";"2017-01-01 02:15:00";1.594
