"date";"value"
"1";"2017-01-01 00:00:00";3.633
"2";"2017-01-01 00:01:00";4.655
"3";"2017-01-01 00:02:00";4.712
"4";"2017-01-01 00:03:00";4.257
"5";"2017-01-01 00:04:00";3.747
"6";"2017-01-01 00:05:00";1.533
"7";"2017-01-01 00:06:00";1.646
"8";"2017-01-01 00:07:00";3.803
"9";"2017-01-01 00:08:00";3.52
"10";"2017-01-01 00:09:00";1.135
"11";"2017-01-01 00:10:00";1.362
"12";"2017-01-01 00:11:00";3.86
"13";"2017-01-01 00:12:00";3.52
"14";"2017-01-01 00:13:00";3.69
"15";"2017-01-01 00:14:00";3.633
"16";"2017-01-01 00:15:00";1.135
"17";"2017-01-01 00:16:00";0.908
"18";"2017-01-01 00:17:00";1.249
"19";"2017-01-01 00:18:00";1.135
"20";"2017-01-01 00:19:00";3.406
"21";"2017-01-01 00:20:00";3.292
"22";"2017-01-01 00:21:00";2.327
"23";"2017-01-01 00:22:00";1.249
"24";"2017-01-01 00:23:00";3.576
"25";"2017-01-01 00:24:00";3.52
"26";"2017-01-01 00:25:00";3.463
"27";"2017-01-01 00:26:00";0.908
"28";"2017-01-01 00:27:00";3.349
"29";"2017-01-01 00:28:00";0.965
"30";"2017-01-01 00:29:00";3.406
"31";"2017-01-01 00:30:00";1.135
"32";"2017-01-01 00:31:00";1.192
"33";"2017-01-01 00:32:00";1.135
"34";"2017-01-01 00:33:00";3.52
"35";"2017-01-01 00:34:00";3.633
"36";"2017-01-01 00:35:00";3.406
"37";"2017-01-01 00:36:00";3.633
"38";"2017-01-01 00:37:00";0.908
"39";"2017-01-01 00:38:00";1.362
"40";"2017-01-01 00:39:00";1.135
"41";"2017-01-01 00:40:00";3.349
"42";"2017-01-01 00:41:00";3.974
"43";"2017-01-01 00:42:00";3.86
"44";"2017-01-01 00:43:00";3.633
"45";"2017-01-01 00:44:00";3.179
"46";"2017-01-01 00:45:00";3.52
"47";"2017-01-01 00:46:00";1.022
"48";"2017-01-01 00:47:00";3.803
"49";"2017-01-01 00:48:00";1.476
"50";"2017-01-01 00:49:00";1.135
"51";"2017-01-01 00:50:00";3.633
"52";"2017-01-01 00:51:00";3.633
"53";"2017-01-01 00:52:00";3.974
"54";"2017-01-01 00:53:00";3.86
"55";"2017-01-01 00:54:00";3.576
"56";"2017-01-01 00:55:00";1.476
"57";"2017-01-01 00:56:00";3.576
"58";"2017-01-01 00:57:00";3.633
"59";"2017-01-01 00:58:00";3.747
"60";"2017-01-01 00:59:00";3.747
"61";"2017-01-01 01:00:00";1.022
"62";"2017-01-01 01:01:00";3.633
"63";"2017-01-01 01:02:00";1.135
"64";"2017-01-01 01:03:00";3.463
"65";"2017-01-01 01:04:00";1.135
"66";"2017-01-01 01:05:00";1.306
"67";"2017-01-01 01:06:00";4.03
"68";"2017-01-01 01:07:00";3.917
"69";"2017-01-01 01:08:00";1.419
"70";"2017-01-01 01:09:00";3.747
"71";"2017-01-01 01:10:00";1.249
"72";"2017-01-01 01:11:00";3.236
"73";"2017-01-01 01:12:00";5.733
"74";"2017-01-01 01:13:00";1.93
"75";"2017-01-01 01:14:00";3.633
"76";"2017-01-01 01:15:00";1.135
"77";"2017-01-01 01:16:00";3.86
"78";"2017-01-01 01:17:00";2.384
"79";"2017-01-01 01:18:00";3.69
"80";"2017-01-01 01:19:00";3.974
"81";"2017-01-01 01:20:00";1.306
"82";"2017-01-01 01:21:00";0.795
"83";"2017-01-01 01:22:00";3.917
"84";"2017-01-01 01:23:00";3.406
"85";"2017-01-01 01:24:00";1.249
"86";"2017-01-01 01:25:00";1.022
"87";"2017-01-01 01:26:00";0.795
"88";"2017-01-01 01:27:00";3.86
"89";"2017-01-01 01:28:00";2.725
"90";"2017-01-01 01:29:00";1.022
"91";"2017-01-01 01:30:00";3.69
"92";"2017-01-01 01:31:00";3.633
"93";"2017-01-01 01:32:00";3.292
"94";"2017-01-01 01:33:00";3.52
"95";"2017-01-01 01:34:00";1.362
"96";"2017-01-01 01:35:00";3.52
"97";"2017-01-01 01:36:00";3.406
"98";"2017-01-01 01:37:00";3.236
"99";"2017-01-01 01:38:00";6.131
"100";"2017-01-01 01:39:00";3.633
"101";"2017-01-01 01:40:00";4.201
"102";"2017-01-01 01:41:00";3.633
"103";"2017-01-01 01:42:00";3.633
"104";"2017-01-01 01:43:00";1.362
"105";"2017-01-01 01:44:00";1.249
"106";"2017-01-01 01:45:00";1.703
"107";"2017-01-01 01:46:00";1.533
"108";"2017-01-01 01:47:00";3.633
"109";"2017-01-01 01:48:00";3.803
"110";"2017-01-01 01:49:00";3.917
"111";"2017-01-01 01:50:00";4.03
"112";"2017-01-01 01:51:00";3.633
"113";"2017-01-01 01:52:00";1.135
"114";"2017-01-01 01:53:00";1.476
"115";"2017-01-01 01:54:00";4.087
"116";"2017-01-01 01:55:00";6.017
"117";"2017-01-01 01:56:00";1.533
"118";"2017-01-01 01:57:00";4.201
"119";"2017-01-01 01:58:00";3.52
"120";"2017-01-01 01:59:00";3.633
"121";"2017-01-01 02:00:00";4.655
"122";"2017-01-01 02:01:00";1.192
"123";"2017-01-01 02:02:00";1.476
"124";"2017-01-01 02:03:00";1.362
"125";"2017-01-01 02:04:00";3.292
"126";"2017-01-01 02:05:00";1.022
"127";"2017-01-01 02:06:00";1.022
"128";"2017-01-01 02:07:00";3.179
"129";"2017-01-01 02:08:00";3.463
"130";"2017-01-01 02:09:00";3.633
"131";"2017-01-01 02:10:00";1.362
"132";"2017-01-01 02:11:00";1.419
"133";"2017-01-01 02:12:00";3.86
"134";"2017-01-01 02:13:00";4.201
"135";"2017-01-01 02:14:00";3.86
"136";"2017-01-01 02:15:00";3.803
"137";"2017-01-01 02:16:00";3.52
"138";"2017-01-01 02:17:00";1.362
"139";"2017-01-01 02:18:00";1.249
"140";"2017-01-01 02:19:00";3.52
"141";"2017-01-01 02:20:00";3.974
"142";"2017-01-01 02:21:00";1.476
"143";"2017-01-01 02:22:00";3.803
"144";"2017-01-01 02:23:00";4.201
"145";"2017-01-01 02:24:00";3.86
"146";"2017-01-01 02:25:00";3.803
"147";"2017-01-01 02:26:00";4.087
"148";"2017-01-01 02:27:00";3.917
"149";"2017-01-01 02:28:00";1.249
"150";"2017-01-01 02:29:00";3.349
"151";"2017-01-01 02:30:00";6.017
"152";"2017-01-01 02:31:00";0.908
"153";"2017-01-01 02:32:00";0.908
"154";"2017-01-01 02:33:00";0.681
"155";"2017-01-01 02:34:00";0.851
"156";"2017-01-01 02:35:00";3.747
"157";"2017-01-01 02:36:00";3.576
"158";"2017-01-01 02:37:00";1.079
"159";"2017-01-01 02:38:00";3.52
"160";"2017-01-01 02:39:00";1.703
"161";"2017-01-01 02:40:00";3.463
"162";"2017-01-01 02:41:00";3.86
"163";"2017-01-01 02:42:00";3.747
"164";"2017-01-01 02:43:00";1.646
"165";"2017-01-01 02:44:00";3.463
"166";"2017-01-01 02:45:00";1.135
"167";"2017-01-01 02:46:00";4.087
"168";"2017-01-01 02:47:00";1.476
"169";"2017-01-01 02:48:00";4.03
"170";"2017-01-01 02:49:00";1.362
"171";"2017-01-01 02:50:00";5.96
"172";"2017-01-01 02:51:00";1.589
"173";"2017-01-01 02:52:00";1.873
"174";"2017-01-01 02:53:00";4.428
"175";"2017-01-01 02:54:00";3.463
"176";"2017-01-01 02:55:00";2.157
"177";"2017-01-01 02:56:00";1.589
"178";"2017-01-01 02:57:00";4.087
"179";"2017-01-01 02:58:00";3.52
"180";"2017-01-01 02:59:00";3.86
"181";"2017-01-01 03:00:00";3.917
"182";"2017-01-01 03:01:00";3.633
"183";"2017-01-01 03:02:00";1.362
"184";"2017-01-01 03:03:00";1.022
"185";"2017-01-01 03:04:00";3.86
"186";"2017-01-01 03:05:00";3.86
"187";"2017-01-01 03:06:00";1.476
"188";"2017-01-01 03:07:00";3.122
"189";"2017-01-01 03:08:00";3.803
"190";"2017-01-01 03:09:00";3.349
"191";"2017-01-01 03:10:00";3.633
"192";"2017-01-01 03:11:00";3.52
"193";"2017-01-01 03:12:00";3.406
"194";"2017-01-01 03:13:00";3.292
"195";"2017-01-01 03:14:00";0.681
"196";"2017-01-01 03:15:00";3.463
"197";"2017-01-01 03:16:00";3.69
"198";"2017-01-01 03:17:00";3.576
"199";"2017-01-01 03:18:00";3.69
"200";"2017-01-01 03:19:00";3.349
"201";"2017-01-01 03:20:00";3.633
"202";"2017-01-01 03:21:00";3.69
"203";"2017-01-01 03:22:00";4.03
"204";"2017-01-01 03:23:00";3.576
"205";"2017-01-01 03:24:00";0.965
"206";"2017-01-01 03:25:00";3.803
"207";"2017-01-01 03:26:00";1.703
"208";"2017-01-01 03:27:00";3.86
"209";"2017-01-01 03:28:00";3.974
"210";"2017-01-01 03:29:00";1.135
"211";"2017-01-01 03:30:00";4.144
"212";"2017-01-01 03:31:00";1.135
"213";"2017-01-01 03:32:00";3.803
"214";"2017-01-01 03:33:00";4.314
"215";"2017-01-01 03:34:00";1.76
"216";"2017-01-01 03:35:00";1.703
"217";"2017-01-01 03:36:00";3.236
"218";"2017-01-01 03:37:00";3.747
"219";"2017-01-01 03:38:00";3.292
"220";"2017-01-01 03:39:00";1.249
"221";"2017-01-01 03:40:00";1.135
"222";"2017-01-01 03:41:00";3.349
"223";"2017-01-01 03:42:00";3.52
"224";"2017-01-01 03:43:00";3.52
"225";"2017-01-01 03:44:00";1.362
"226";"2017-01-01 03:45:00";3.576
"227";"2017-01-01 03:46:00";3.52
"228";"2017-01-01 03:47:00";1.362
"229";"2017-01-01 03:48:00";0.908
"230";"2017-01-01 03:49:00";0.908
"231";"2017-01-01 03:50:00";3.179
"232";"2017-01-01 03:51:00";1.135
