"date";"value"
"1";"2017-07-01 00:01:00";3.067
"2";"2017-07-01 00:02:00";5.509
"3";"2017-07-01 00:03:00";3.124
"4";"2017-07-01 00:04:00";5.509
"5";"2017-07-01 00:05:00";5.566
"6";"2017-07-01 00:06:00";3.067
"7";"2017-07-01 00:07:00";7.951
"8";"2017-07-01 00:08:00";3.351
"9";"2017-07-01 00:09:00";3.237
"10";"2017-07-01 00:10:00";3.124
"11";"2017-07-01 00:11:00";7.951
"12";"2017-07-01 00:12:00";0.795
"13";"2017-07-01 00:13:00";0.682
"14";"2017-07-01 00:14:00";3.067
"15";"2017-07-01 00:15:00";5.622
"16";"2017-07-01 00:16:00";3.18
"17";"2017-07-01 00:17:00";3.067
"18";"2017-07-01 00:18:00";3.294
"19";"2017-07-01 00:19:00";3.067
"20";"2017-07-01 00:20:00";3.067
"21";"2017-07-01 00:21:00";3.123
"22";"2017-07-01 00:22:00";3.067
"23";"2017-07-01 00:23:00";7.951
"24";"2017-07-01 00:24:00";3.123
"25";"2017-07-01 00:25:00";3.124
"26";"2017-07-01 00:26:00";8.01
"27";"2017-07-01 00:27:00";0.795
"28";"2017-07-01 00:28:00";5.565
"29";"2017-07-01 00:29:00";0.681
"30";"2017-07-01 00:30:00";5.509
"31";"2017-07-01 00:31:00";3.123
"32";"2017-07-01 00:32:00";5.565
"33";"2017-07-01 00:33:00";3.01
"34";"2017-07-01 00:34:00";7.95
"35";"2017-07-01 00:35:00";5.452
"36";"2017-07-01 00:36:00";0.909
"37";"2017-07-01 00:37:00";7.78
"38";"2017-07-01 00:38:00";1.647
"39";"2017-07-01 00:39:00";7.212
"40";"2017-07-01 00:40:00";4.884
"41";"2017-07-01 00:41:00";6.814
"42";"2017-07-01 00:42:00";1.42
"43";"2017-07-01 00:43:00";8.4
"44";"2017-07-01 00:44:00";4.316
"45";"2017-07-01 00:45:00";3.521
"46";"2017-07-01 00:46:00";3.861
"47";"2017-07-01 00:47:00";1.704
"48";"2017-07-01 00:48:00";8.97
"49";"2017-07-01 00:49:00";3.35
"50";"2017-07-01 00:50:00";3.578
"51";"2017-07-01 00:51:00";5.508
"52";"2017-07-01 00:52:00";0.909
"53";"2017-07-01 00:53:00";3.407
"54";"2017-07-01 00:54:00";0.852
"55";"2017-07-01 00:55:00";0.909
"56";"2017-07-01 00:56:00";3.123
"57";"2017-07-01 00:57:00";0.681
"58";"2017-07-01 00:58:00";0.795
"59";"2017-07-01 00:59:00";3.123
"60";"2017-07-01 01:00:00";0.681
"61";"2017-07-01 01:01:00";0.681
"62";"2017-07-01 01:02:00";3.066
"63";"2017-07-01 01:03:00";10.34
"64";"2017-07-01 01:04:00";3.123
"65";"2017-07-01 01:05:00";5.565
"66";"2017-07-01 01:06:00";3.066
"67";"2017-07-01 01:07:00";0.681
"68";"2017-07-01 01:08:00";7.95
"69";"2017-07-01 01:09:00";0.681
"70";"2017-07-01 01:10:00";3.066
"71";"2017-07-01 01:11:00";7.893
"72";"2017-07-01 01:12:00";3.748
"73";"2017-07-01 01:13:00";5.508
"74";"2017-07-01 01:14:00";5.338
"75";"2017-07-01 01:15:00";3.521
"76";"2017-07-01 01:16:00";6.133
"77";"2017-07-01 01:17:00";8.69
"78";"2017-07-01 01:18:00";3.464
"79";"2017-07-01 01:19:00";10.45
"80";"2017-07-01 01:20:00";4.202
"81";"2017-07-01 01:21:00";5.963
"82";"2017-07-01 01:22:00";6.928
"83";"2017-07-01 01:23:00";6.417
"84";"2017-07-01 01:24:00";7.95
"85";"2017-07-01 01:25:00";5.792
"86";"2017-07-01 01:26:00";3.123
"87";"2017-07-01 01:27:00";0.681
"88";"2017-07-01 01:28:00";0.681
"89";"2017-07-01 01:29:00";5.565
"90";"2017-07-01 01:30:00";5.508
"91";"2017-07-01 01:31:00";3.067
"92";"2017-07-01 01:32:00";3.123
"93";"2017-07-01 01:33:00";0.681
"94";"2017-07-01 01:34:00";3.123
"95";"2017-07-01 01:35:00";3.123
"96";"2017-07-01 01:36:00";5.508
"97";"2017-07-01 01:37:00";5.508
"98";"2017-07-01 01:38:00";3.123
"99";"2017-07-01 01:39:00";3.237
"100";"2017-07-01 01:40:00";0.681
"101";"2017-07-01 01:41:00";3.066
"102";"2017-07-01 01:42:00";5.508
"103";"2017-07-01 01:43:00";3.123
"104";"2017-07-01 01:44:00";0.681
"105";"2017-07-01 01:45:00";3.066
"106";"2017-07-01 01:46:00";3.123
"107";"2017-07-01 01:47:00";3.066
"108";"2017-07-01 01:48:00";5.508
"109";"2017-07-01 01:49:00";7.723
"110";"2017-07-01 01:50:00";5.451
"111";"2017-07-01 01:51:00";3.066
"112";"2017-07-01 01:52:00";0.681
"113";"2017-07-01 01:53:00";3.066
"114";"2017-07-01 01:54:00";3.066
"115";"2017-07-01 01:55:00";5.508
"116";"2017-07-01 01:56:00";3.066
"117";"2017-07-01 01:57:00";5.565
"118";"2017-07-01 01:58:00";3.123
"119";"2017-07-01 01:59:00";3.123
"120";"2017-07-01 02:00:00";4.94
"121";"2017-07-01 02:01:00";3.691
"122";"2017-07-01 02:02:00";5.622
"123";"2017-07-01 02:03:00";3.123
"124";"2017-07-01 02:04:00";3.066
"125";"2017-07-01 02:05:00";0.681
"126";"2017-07-01 02:06:00";3.123
"127";"2017-07-01 02:07:00";3.123
"128";"2017-07-01 02:08:00";2.726
"129";"2017-07-01 02:09:00";5.565
"130";"2017-07-01 02:10:00";3.123
"131";"2017-07-01 02:11:00";3.123
"132";"2017-07-01 02:12:00";3.123
"133";"2017-07-01 02:13:00";3.123
"134";"2017-07-01 02:14:00";3.578
"135";"2017-07-01 02:15:00";3.578
"136";"2017-07-01 02:16:00";3.123
"137";"2017-07-01 02:17:00";8.23
"138";"2017-07-01 02:18:00";3.578
"139";"2017-07-01 02:19:00";6.417
"140";"2017-07-01 02:20:00";4.032
"141";"2017-07-01 02:21:00";1.079
"142";"2017-07-01 02:22:00";6.474
"143";"2017-07-01 02:23:00";3.918
"144";"2017-07-01 02:24:00";4.032
"145";"2017-07-01 02:25:00";3.35
"146";"2017-07-01 02:26:00";3.123
"147";"2017-07-01 02:27:00";3.123
"148";"2017-07-01 02:28:00";0.795
"149";"2017-07-01 02:29:00";8.01
"150";"2017-07-01 02:30:00";3.123
"151";"2017-07-01 02:31:00";3.123
"152";"2017-07-01 02:32:00";3.123
"153";"2017-07-01 02:33:00";3.123
"154";"2017-07-01 02:34:00";3.123
"155";"2017-07-01 02:35:00";5.565
"156";"2017-07-01 02:36:00";3.18
"157";"2017-07-01 02:37:00";3.123
"158";"2017-07-01 02:38:00";3.123
"159";"2017-07-01 02:39:00";3.123
"160";"2017-07-01 02:40:00";3.123
"161";"2017-07-01 02:41:00";3.407
"162";"2017-07-01 02:42:00";3.123
"163";"2017-07-01 02:43:00";3.123
"164";"2017-07-01 02:44:00";3.123
"165";"2017-07-01 02:45:00";3.918
"166";"2017-07-01 02:46:00";3.294
"167";"2017-07-01 02:47:00";5.792
"168";"2017-07-01 02:48:00";3.123
"169";"2017-07-01 02:49:00";3.123
"170";"2017-07-01 02:50:00";1.249
"171";"2017-07-01 02:51:00";3.521
