"date";"value"
"1";"2017-07-01 00:01:00";4.044
"2";"2017-07-01 00:02:00";6.721
"3";"2017-07-01 00:03:00";1.367
"4";"2017-07-01 00:04:00";1.367
"5";"2017-07-01 00:05:00";1.367
"6";"2017-07-01 00:06:00";4.158
"7";"2017-07-01 00:07:00";4.158
"8";"2017-07-01 00:08:00";4.044
"9";"2017-07-01 00:09:00";4.215
"10";"2017-07-01 00:10:00";3.987
"11";"2017-07-01 00:11:00";4.101
"12";"2017-07-01 00:12:00";6.721
"13";"2017-07-01 00:13:00";4.272
"14";"2017-07-01 00:14:00";4.272
"15";"2017-07-01 00:15:00";4.329
"16";"2017-07-01 00:16:00";4.386
"17";"2017-07-01 00:17:00";6.892
"18";"2017-07-01 00:18:00";6.721
"19";"2017-07-01 00:19:00";4.044
"20";"2017-07-01 00:20:00";9.34
"21";"2017-07-01 00:21:00";4.101
"22";"2017-07-01 00:22:00";6.721
"23";"2017-07-01 00:23:00";4.101
"24";"2017-07-01 00:24:00";3.987
"25";"2017-07-01 00:25:00";6.835
"26";"2017-07-01 00:26:00";4.044
"27";"2017-07-01 00:27:00";6.778
"28";"2017-07-01 00:28:00";4.044
"29";"2017-07-01 00:29:00";6.778
"30";"2017-07-01 00:30:00";4.101
"31";"2017-07-01 00:31:00";6.949
"32";"2017-07-01 00:32:00";4.158
"33";"2017-07-01 00:33:00";2.449
"34";"2017-07-01 00:34:00";4.158
"35";"2017-07-01 00:35:00";4.101
"36";"2017-07-01 00:36:00";5.525
"37";"2017-07-01 00:37:00";6.949
"38";"2017-07-01 00:38:00";1.424
"39";"2017-07-01 00:39:00";1.424
"40";"2017-07-01 00:40:00";4.044
"41";"2017-07-01 00:41:00";4.158
"42";"2017-07-01 00:42:00";6.778
"43";"2017-07-01 00:43:00";4.329
"44";"2017-07-01 00:44:00";4.044
"45";"2017-07-01 00:45:00";4.044
"46";"2017-07-01 00:46:00";6.949
"47";"2017-07-01 00:47:00";4.044
"48";"2017-07-01 00:48:00";6.721
"49";"2017-07-01 00:49:00";4.101
"50";"2017-07-01 00:50:00";3.418
"51";"2017-07-01 00:51:00";4.044
"52";"2017-07-01 00:52:00";4.272
"53";"2017-07-01 00:53:00";7.405
"54";"2017-07-01 00:54:00";4.443
"55";"2017-07-01 00:55:00";2.506
"56";"2017-07-01 00:56:00";4.614
"57";"2017-07-01 00:57:00";5.183
