"date";"value"
"1";"2017-03-01 00:01:00";1.765
"2";"2017-03-01 00:02:00";1.765
"3";"2017-03-01 00:03:00";1.48
"4";"2017-03-01 00:04:00";6.719
"5";"2017-03-01 00:05:00";3.986
"6";"2017-03-01 00:06:00";1.48
"7";"2017-03-01 00:07:00";1.424
"8";"2017-03-01 00:08:00";4.271
"9";"2017-03-01 00:09:00";6.719
"10";"2017-03-01 00:10:00";4.043
"11";"2017-03-01 00:11:00";1.367
"12";"2017-03-01 00:12:00";3.986
"13";"2017-03-01 00:13:00";1.253
"14";"2017-03-01 00:14:00";1.367
"15";"2017-03-01 00:15:00";1.48
"16";"2017-03-01 00:16:00";3.986
"17";"2017-03-01 00:17:00";3.986
"18";"2017-03-01 00:18:00";1.424
"19";"2017-03-01 00:19:00";6.605
"20";"2017-03-01 00:20:00";1.424
"21";"2017-03-01 00:21:00";3.872
"22";"2017-03-01 00:22:00";3.929
"23";"2017-03-01 00:23:00";3.929
"24";"2017-03-01 00:24:00";4.1
"25";"2017-03-01 00:25:00";3.872
"26";"2017-03-01 00:26:00";4.043
"27";"2017-03-01 00:27:00";4.1
"28";"2017-03-01 00:28:00";1.367
"29";"2017-03-01 00:29:00";6.662
"30";"2017-03-01 00:30:00";1.367
"31";"2017-03-01 00:31:00";1.367
"32";"2017-03-01 00:32:00";4.043
"33";"2017-03-01 00:33:00";6.605
"34";"2017-03-01 00:34:00";1.367
"35";"2017-03-01 00:35:00";1.31
"36";"2017-03-01 00:36:00";4.157
"37";"2017-03-01 00:37:00";4.1
"38";"2017-03-01 00:38:00";6.662
"39";"2017-03-01 00:39:00";6.605
"40";"2017-03-01 00:40:00";1.253
"41";"2017-03-01 00:41:00";3.986
"42";"2017-03-01 00:42:00";4.1
"43";"2017-03-01 00:43:00";1.367
"44";"2017-03-01 00:44:00";3.986
"45";"2017-03-01 00:45:00";3.872
"46";"2017-03-01 00:46:00";3.986
"47";"2017-03-01 00:47:00";1.367
"48";"2017-03-01 00:48:00";1.367
"49";"2017-03-01 00:49:00";1.594
"50";"2017-03-01 00:50:00";3.986
"51";"2017-03-01 00:51:00";3.986
"52";"2017-03-01 00:52:00";6.548
"53";"2017-03-01 00:53:00";3.986
"54";"2017-03-01 00:54:00";1.31
"55";"2017-03-01 00:55:00";1.31
"56";"2017-03-01 00:56:00";3.929
"57";"2017-03-01 00:57:00";1.31
"58";"2017-03-01 00:58:00";1.48
"59";"2017-03-01 00:59:00";1.31
"60";"2017-03-01 01:00:00";6.662
"61";"2017-03-01 01:01:00";6.605
"62";"2017-03-01 01:02:00";3.986
"63";"2017-03-01 01:03:00";1.367
"64";"2017-03-01 01:04:00";1.253
"65";"2017-03-01 01:05:00";3.986
"66";"2017-03-01 01:06:00";2.164
"67";"2017-03-01 01:07:00";6.89
"68";"2017-03-01 01:08:00";1.594
"69";"2017-03-01 01:09:00";4.441
"70";"2017-03-01 01:10:00";6.719
"71";"2017-03-01 01:11:00";1.708
"72";"2017-03-01 01:12:00";1.537
"73";"2017-03-01 01:13:00";5.125
"74";"2017-03-01 01:14:00";4.612
"75";"2017-03-01 01:15:00";5.011
"76";"2017-03-01 01:16:00";5.125
"77";"2017-03-01 01:17:00";2.733
"78";"2017-03-01 01:18:00";2.847
"79";"2017-03-01 01:19:00";2.392
"80";"2017-03-01 01:20:00";2.107
"81";"2017-03-01 01:21:00";4.555
"82";"2017-03-01 01:22:00";1.936
"83";"2017-03-01 01:23:00";3.986
"84";"2017-03-01 01:24:00";4.1
"85";"2017-03-01 01:25:00";3.986
"86";"2017-03-01 01:26:00";1.31
"87";"2017-03-01 01:27:00";1.537
"88";"2017-03-01 01:28:00";1.367
"89";"2017-03-01 01:29:00";3.303
"90";"2017-03-01 01:30:00";3.929
"91";"2017-03-01 01:31:00";4.043
"92";"2017-03-01 01:32:00";1.253
"93";"2017-03-01 01:33:00";1.31
"94";"2017-03-01 01:34:00";1.367
"95";"2017-03-01 01:35:00";1.31
"96";"2017-03-01 01:36:00";3.986
"97";"2017-03-01 01:37:00";1.424
"98";"2017-03-01 01:38:00";1.31
"99";"2017-03-01 01:39:00";3.929
"100";"2017-03-01 01:40:00";1.31
"101";"2017-03-01 01:41:00";3.929
"102";"2017-03-01 01:42:00";3.758
"103";"2017-03-01 01:43:00";3.986
"104";"2017-03-01 01:44:00";4.214
"105";"2017-03-01 01:45:00";4.043
"106";"2017-03-01 01:46:00";3.986
"107";"2017-03-01 01:47:00";1.424
"108";"2017-03-01 01:48:00";1.31
"109";"2017-03-01 01:49:00";4.1
"110";"2017-03-01 01:50:00";1.537
"111";"2017-03-01 01:51:00";1.367
"112";"2017-03-01 01:52:00";1.367
"113";"2017-03-01 01:53:00";3.929
"114";"2017-03-01 01:54:00";4.1
"115";"2017-03-01 01:55:00";1.367
"116";"2017-03-01 01:56:00";3.929
"117";"2017-03-01 01:57:00";4.1
"118";"2017-03-01 01:58:00";1.48
"119";"2017-03-01 01:59:00";1.936
"120";"2017-03-01 02:00:00";1.367
"121";"2017-03-01 02:01:00";1.367
"122";"2017-03-01 02:02:00";1.765
"123";"2017-03-01 02:03:00";1.537
"124";"2017-03-01 02:04:00";1.367
"125";"2017-03-01 02:05:00";1.31
"126";"2017-03-01 02:06:00";6.548
"127";"2017-03-01 02:07:00";1.367
"128";"2017-03-01 02:08:00";1.424
"129";"2017-03-01 02:09:00";1.31
"130";"2017-03-01 02:10:00";3.986
"131";"2017-03-01 02:11:00";3.929
"132";"2017-03-01 02:12:00";1.367
"133";"2017-03-01 02:13:00";1.48
"134";"2017-03-01 02:14:00";4.1
"135";"2017-03-01 02:15:00";1.48
"136";"2017-03-01 02:16:00";3.929
"137";"2017-03-01 02:17:00";1.936
"138";"2017-03-01 02:18:00";3.929
"139";"2017-03-01 02:19:00";3.986
"140";"2017-03-01 02:20:00";4.271
"141";"2017-03-01 02:21:00";3.929
"142";"2017-03-01 02:22:00";1.48
"143";"2017-03-01 02:23:00";4.954
"144";"2017-03-01 02:24:00";3.986
"145";"2017-03-01 02:25:00";1.253
"146";"2017-03-01 02:26:00";1.367
"147";"2017-03-01 02:27:00";3.986
"148";"2017-03-01 02:28:00";4.043
"149";"2017-03-01 02:29:00";1.31
"150";"2017-03-01 02:30:00";1.48
"151";"2017-03-01 02:31:00";1.367
"152";"2017-03-01 02:32:00";4.328
"153";"2017-03-01 02:33:00";1.367
"154";"2017-03-01 02:34:00";1.367
"155";"2017-03-01 02:35:00";1.48
"156";"2017-03-01 02:36:00";1.31
"157";"2017-03-01 02:37:00";1.424
"158";"2017-03-01 02:38:00";6.605
"159";"2017-03-01 02:39:00";1.31
"160";"2017-03-01 02:40:00";1.48
"161";"2017-03-01 02:41:00";1.367
"162";"2017-03-01 02:42:00";1.31
"163";"2017-03-01 02:43:00";3.986
"164";"2017-03-01 02:44:00";4.441
"165";"2017-03-01 02:45:00";6.833
"166";"2017-03-01 02:46:00";1.367
"167";"2017-03-01 02:47:00";1.31
"168";"2017-03-01 02:48:00";1.31
"169";"2017-03-01 02:49:00";3.986
"170";"2017-03-01 02:50:00";1.367
"171";"2017-03-01 02:51:00";1.48
"172";"2017-03-01 02:52:00";4.043
"173";"2017-03-01 02:53:00";4.1
"174";"2017-03-01 02:54:00";3.929
"175";"2017-03-01 02:55:00";6.662
"176";"2017-03-01 02:56:00";1.424
"177";"2017-03-01 02:57:00";1.424
"178";"2017-03-01 02:58:00";6.662
"179";"2017-03-01 02:59:00";1.765
"180";"2017-03-01 03:00:00";6.548
"181";"2017-03-01 03:01:00";1.367
"182";"2017-03-01 03:02:00";2.961
"183";"2017-03-01 03:03:00";3.986
"184";"2017-03-01 03:04:00";1.367
"185";"2017-03-01 03:05:00";3.872
"186";"2017-03-01 03:06:00";1.537
"187";"2017-03-01 03:07:00";1.48
"188";"2017-03-01 03:08:00";1.367
"189";"2017-03-01 03:09:00";1.48
"190";"2017-03-01 03:10:00";1.48
"191";"2017-03-01 03:11:00";1.31
"192";"2017-03-01 03:12:00";4.043
"193";"2017-03-01 03:13:00";4.043
"194";"2017-03-01 03:14:00";1.594
"195";"2017-03-01 03:15:00";3.929
"196";"2017-03-01 03:16:00";4.043
"197";"2017-03-01 03:17:00";4.1
"198";"2017-03-01 03:18:00";4.157
"199";"2017-03-01 03:19:00";1.367
"200";"2017-03-01 03:20:00";3.986
"201";"2017-03-01 03:21:00";6.662
"202";"2017-03-01 03:22:00";3.986
"203";"2017-03-01 03:23:00";1.367
"204";"2017-03-01 03:24:00";3.986
"205";"2017-03-01 03:25:00";3.929
"206";"2017-03-01 03:26:00";1.367
"207";"2017-03-01 03:27:00";3.986
"208";"2017-03-01 03:28:00";6.491
"209";"2017-03-01 03:29:00";1.367
"210";"2017-03-01 03:30:00";6.491
"211";"2017-03-01 03:31:00";1.48
"212";"2017-03-01 03:32:00";1.367
"213";"2017-03-01 03:33:00";1.367
"214";"2017-03-01 03:34:00";3.986
"215";"2017-03-01 03:35:00";3.986
"216";"2017-03-01 03:36:00";1.31
"217";"2017-03-01 03:37:00";1.48
"218";"2017-03-01 03:38:00";6.605
"219";"2017-03-01 03:39:00";1.48
"220";"2017-03-01 03:40:00";3.986
"221";"2017-03-01 03:41:00";1.367
"222";"2017-03-01 03:42:00";6.605
"223";"2017-03-01 03:43:00";6.605
"224";"2017-03-01 03:44:00";1.31
"225";"2017-03-01 03:45:00";1.48
"226";"2017-03-01 03:46:00";1.31
"227";"2017-03-01 03:47:00";3.872
"228";"2017-03-01 03:48:00";3.929
"229";"2017-03-01 03:49:00";1.367
"230";"2017-03-01 03:50:00";1.48
"231";"2017-03-01 03:51:00";1.537
"232";"2017-03-01 03:52:00";1.31
"233";"2017-03-01 03:53:00";4.271
"234";"2017-03-01 03:54:00";3.587
"235";"2017-03-01 03:55:00";1.196
"236";"2017-03-01 03:56:00";4.043
"237";"2017-03-01 03:57:00";3.986
"238";"2017-03-01 03:58:00";4.043
"239";"2017-03-01 03:59:00";1.31
"240";"2017-03-01 04:00:00";1.367
"241";"2017-03-01 04:01:00";1.367
"242";"2017-03-01 04:02:00";6.491
"243";"2017-03-01 04:03:00";1.31
"244";"2017-03-01 04:04:00";3.929
"245";"2017-03-01 04:05:00";6.548
"246";"2017-03-01 04:06:00";1.367
"247";"2017-03-01 04:07:00";1.367
"248";"2017-03-01 04:08:00";1.31
"249";"2017-03-01 04:09:00";1.367
"250";"2017-03-01 04:10:00";1.367
"251";"2017-03-01 04:11:00";1.424
"252";"2017-03-01 04:12:00";1.424
"253";"2017-03-01 04:13:00";1.708
"254";"2017-03-01 04:14:00";1.367
"255";"2017-03-01 04:15:00";1.481
"256";"2017-03-01 04:16:00";4.1
"257";"2017-03-01 04:17:00";1.537
"258";"2017-03-01 04:18:00";4.1
"259";"2017-03-01 04:19:00";1.708
"260";"2017-03-01 04:20:00";1.936
"261";"2017-03-01 04:21:00";4.214
"262";"2017-03-01 04:22:00";3.53
"263";"2017-03-01 04:23:00";2.05
"264";"2017-03-01 04:24:00";1.822
"265";"2017-03-01 04:25:00";4.441
"266";"2017-03-01 04:26:00";1.31
"267";"2017-03-01 04:27:00";1.708
"268";"2017-03-01 04:28:00";1.31
"269";"2017-03-01 04:29:00";5.409
"270";"2017-03-01 04:30:00";3.986
"271";"2017-03-01 04:31:00";4.328
"272";"2017-03-01 04:32:00";1.936
"273";"2017-03-01 04:33:00";4.1
"274";"2017-03-01 04:34:00";4.1
"275";"2017-03-01 04:35:00";3.986
"276";"2017-03-01 04:36:00";1.31
"277";"2017-03-01 04:37:00";1.481
"278";"2017-03-01 04:38:00";6.662
"279";"2017-03-01 04:39:00";3.986
"280";"2017-03-01 04:40:00";1.31
"281";"2017-03-01 04:41:00";4.157
"282";"2017-03-01 04:42:00";1.594
"283";"2017-03-01 04:43:00";1.367
"284";"2017-03-01 04:44:00";4.1
"285";"2017-03-01 04:45:00";4.1
"286";"2017-03-01 04:46:00";1.367
"287";"2017-03-01 04:47:00";1.48
"288";"2017-03-01 04:48:00";1.993
"289";"2017-03-01 04:49:00";3.986
"290";"2017-03-01 04:50:00";4.328
"291";"2017-03-01 04:51:00";4.043
"292";"2017-03-01 04:52:00";6.605
"293";"2017-03-01 04:53:00";1.651
"294";"2017-03-01 04:54:00";9.22
"295";"2017-03-01 04:55:00";1.367
"296";"2017-03-01 04:56:00";4.214
"297";"2017-03-01 04:57:00";1.367
"298";"2017-03-01 04:58:00";1.367
"299";"2017-03-01 04:59:00";1.253
"300";"2017-03-01 05:00:00";4.043
"301";"2017-03-01 05:01:00";3.929
"302";"2017-03-01 05:02:00";6.605
"303";"2017-03-01 05:03:00";1.367
"304";"2017-03-01 05:04:00";1.367
"305";"2017-03-01 05:05:00";1.31
"306";"2017-03-01 05:06:00";1.367
"307";"2017-03-01 05:07:00";1.196
"308";"2017-03-01 05:08:00";4.043
"309";"2017-03-01 05:09:00";3.929
"310";"2017-03-01 05:10:00";3.986
"311";"2017-03-01 05:11:00";1.367
"312";"2017-03-01 05:12:00";1.253
"313";"2017-03-01 05:13:00";3.986
"314";"2017-03-01 05:14:00";3.986
"315";"2017-03-01 05:15:00";1.31
"316";"2017-03-01 05:16:00";1.367
"317";"2017-03-01 05:17:00";1.822
"318";"2017-03-01 05:18:00";4.043
"319";"2017-03-01 05:19:00";1.424
"320";"2017-03-01 05:20:00";4.271
"321";"2017-03-01 05:21:00";1.651
"322";"2017-03-01 05:22:00";1.594
"323";"2017-03-01 05:23:00";1.481
"324";"2017-03-01 05:24:00";1.31
"325";"2017-03-01 05:25:00";5.695
"326";"2017-03-01 05:26:00";4.1
"327";"2017-03-01 05:27:00";1.765
"328";"2017-03-01 05:28:00";1.594
"329";"2017-03-01 05:29:00";4.1
"330";"2017-03-01 05:30:00";3.872
"331";"2017-03-01 05:31:00";1.253
"332";"2017-03-01 05:32:00";1.31
"333";"2017-03-01 05:33:00";1.31
"334";"2017-03-01 05:34:00";1.424
"335";"2017-03-01 05:35:00";3.986
"336";"2017-03-01 05:36:00";4.328
"337";"2017-03-01 05:37:00";6.606
"338";"2017-03-01 05:38:00";1.367
"339";"2017-03-01 05:39:00";1.424
"340";"2017-03-01 05:40:00";4.043
"341";"2017-03-01 05:41:00";3.986
"342";"2017-03-01 05:42:00";3.929
"343";"2017-03-01 05:43:00";1.367
"344";"2017-03-01 05:44:00";1.481
"345";"2017-03-01 05:45:00";1.253
"346";"2017-03-01 05:46:00";1.367
"347";"2017-03-01 05:47:00";3.986
"348";"2017-03-01 05:48:00";1.708
"349";"2017-03-01 05:49:00";1.424
"350";"2017-03-01 05:50:00";3.986
"351";"2017-03-01 05:51:00";3.986
"352";"2017-03-01 05:52:00";6.548
"353";"2017-03-01 05:53:00";6.662
"354";"2017-03-01 05:54:00";6.549
"355";"2017-03-01 05:55:00";3.986
"356";"2017-03-01 05:56:00";4.157
"357";"2017-03-01 05:57:00";3.986
"358";"2017-03-01 05:58:00";7.004
"359";"2017-03-01 05:59:00";1.481
"360";"2017-03-01 06:00:00";2.278
"361";"2017-03-01 06:01:00";5.751
"362";"2017-03-01 06:02:00";5.466
"363";"2017-03-01 06:03:00";8.48
"364";"2017-03-01 06:04:00";4.043
"365";"2017-03-01 06:05:00";3.986
"366";"2017-03-01 06:06:00";4.214
"367";"2017-03-01 06:07:00";12.53
"368";"2017-03-01 06:08:00";5.296
"369";"2017-03-01 06:09:00";6.833
"370";"2017-03-01 06:10:00";7.631
"371";"2017-03-01 06:11:00";6.492
"372";"2017-03-01 06:12:00";11.16
"373";"2017-03-01 06:13:00";8.43
"374";"2017-03-01 06:14:00";6.606
"375";"2017-03-01 06:15:00";9.34
"376";"2017-03-01 06:16:00";6.833
"377";"2017-03-01 06:17:00";9.28
"378";"2017-03-01 06:18:00";7.744
"379";"2017-03-01 06:19:00";7.858
"380";"2017-03-01 06:20:00";7.972
"381";"2017-03-01 06:21:00";12.3
"382";"2017-03-01 06:22:00";11.73
"383";"2017-03-01 06:23:00";12.81
"384";"2017-03-01 06:24:00";11.1
"385";"2017-03-01 06:25:00";11.05
"386";"2017-03-01 06:26:00";15.09
"387";"2017-03-01 06:27:00";12.98
"388";"2017-03-01 06:28:00";15.37
"389";"2017-03-01 06:29:00";16.46
"390";"2017-03-01 06:30:00";17.6
"391";"2017-03-01 06:31:00";16.11
"392";"2017-03-01 06:32:00";18.96
"393";"2017-03-01 06:33:00";17.42
"394";"2017-03-01 06:34:00";20.33
"395";"2017-03-01 06:35:00";23.06
"396";"2017-03-01 06:36:00";22.61
"397";"2017-03-01 06:37:00";19.02
"398";"2017-03-01 06:38:00";22.83
"399";"2017-03-01 06:39:00";22.72
"400";"2017-03-01 06:40:00";28.53
"401";"2017-03-01 06:41:00";34.11
"402";"2017-03-01 06:42:00";43.79
"403";"2017-03-01 06:43:00";57.74
"404";"2017-03-01 06:44:00";61.44
"405";"2017-03-01 06:45:00";66.74
"406";"2017-03-01 06:46:00";72.43
"407";"2017-03-01 06:47:00";71.58
"408";"2017-03-01 06:48:00";79.44
"409";"2017-03-01 06:49:00";88.2
"410";"2017-03-01 06:50:00";79.27
"411";"2017-03-01 06:51:00";87.8
"412";"2017-03-01 06:52:00";109
"413";"2017-03-01 06:53:00";111
"414";"2017-03-01 06:54:00";115
"415";"2017-03-01 06:55:00";117.5
"416";"2017-03-01 06:56:00";119.7
"417";"2017-03-01 06:57:00";127.9
"418";"2017-03-01 06:58:00";116
"419";"2017-03-01 06:59:00";99.9
"420";"2017-03-01 07:00:00";90.1
"421";"2017-03-01 07:01:00";91.7
"422";"2017-03-01 07:02:00";90.3
"423";"2017-03-01 07:03:00";93.7
"424";"2017-03-01 07:04:00";96
"425";"2017-03-01 07:05:00";92.6
"426";"2017-03-01 07:06:00";86.6
"427";"2017-03-01 07:07:00";91.8
"428";"2017-03-01 07:08:00";94.6
"429";"2017-03-01 07:09:00";86.9
"430";"2017-03-01 07:10:00";86.8
"431";"2017-03-01 07:11:00";83.2
"432";"2017-03-01 07:12:00";79.15
"433";"2017-03-01 07:13:00";83.1
"434";"2017-03-01 07:14:00";85.8
"435";"2017-03-01 07:15:00";86.3
"436";"2017-03-01 07:16:00";92.4
"437";"2017-03-01 07:17:00";107.3
"438";"2017-03-01 07:18:00";139.4
"439";"2017-03-01 07:19:00";206.2
"440";"2017-03-01 07:20:00";269
"441";"2017-03-01 07:21:00";288
"442";"2017-03-01 07:22:00";292.2
"443";"2017-03-01 07:23:00";208
"444";"2017-03-01 07:24:00";160.6
"445";"2017-03-01 07:25:00";165.5
"446";"2017-03-01 07:26:00";173
"447";"2017-03-01 07:27:00";177
"448";"2017-03-01 07:28:00";179.4
"449";"2017-03-01 07:29:00";209.9
"450";"2017-03-01 07:30:00";306.6
"451";"2017-03-01 07:31:00";387.6
"452";"2017-03-01 07:32:00";381.6
"453";"2017-03-01 07:33:00";368.2
"454";"2017-03-01 07:34:00";380.2
"455";"2017-03-01 07:35:00";378.1
"456";"2017-03-01 07:36:00";380.7
"457";"2017-03-01 07:37:00";382.1
"458";"2017-03-01 07:38:00";383.4
"459";"2017-03-01 07:39:00";398.8
"460";"2017-03-01 07:40:00";411
"461";"2017-03-01 07:41:00";421.4
"462";"2017-03-01 07:42:00";431.6
"463";"2017-03-01 07:43:00";431.8
"464";"2017-03-01 07:44:00";429.1
"465";"2017-03-01 07:45:00";425.8
"466";"2017-03-01 07:46:00";417.5
"467";"2017-03-01 07:47:00";409.2
"468";"2017-03-01 07:48:00";404.8
"469";"2017-03-01 07:49:00";399.8
"470";"2017-03-01 07:50:00";394
"471";"2017-03-01 07:51:00";387.1
"472";"2017-03-01 07:52:00";385.5
"473";"2017-03-01 07:53:00";385.7
"474";"2017-03-01 07:54:00";385.9
"475";"2017-03-01 07:55:00";384.2
"476";"2017-03-01 07:56:00";377.2
