POSTE;DATE;T;FF;DD;U;GLO
97418110;2011010100;24.6;4.7;130;67;0
97418110;2011010101;24.4;4.5;130;64;0
97418110;2011010102;24.4;5.0;120;68;0
97418110;2011010103;24.3;4.9;130;65;0
97418110;2011010104;23.9;4.4;130;63;0
97418110;2011010105;23.7;4.0;130;58;0
97418110;2011010106;22.8;3.8;120;60;0
97418110;2011010107;25.8;5.7;110;58;47
97418110;2011010108;27.7;6.9;110;57;133
97418110;2011010109;29.0;7.5;100;55;216
97418110;2011010110;29.9;8.9;80;56;289
97418110;2011010111;29.6;10.4;70;58;343
97418110;2011010112;29.8;8.2;80;58;384
97418110;2011010113;29.9;7.5;70;56;394
97418110;2011010114;29.1;6.7;70;61;350
97418110;2011010115;28.2;5.4;60;62;124
97418110;2011010116;27.9;6.0;70;67;114
97418110;2011010117;27.8;6.7;80;68;72
97418110;2011010118;27.4;6.7;80;68;48
97418110;2011010119;26.7;5.5;100;70;11
97418110;2011010120;25.8;4.2;110;73;0
97418110;2011010121;25.6;4.0;110;73;0
97418110;2011010122;25.3;4.9;130;73;0
97418110;2011010123;25.0;5.3;110;70;0
97418110;2011010200;25.5;6.4;130;71;0
97418110;2011010201;24.7;3.5;110;70;0
97418110;2011010202;24.4;4.4;120;71;0
97418110;2011010203;24.0;3.8;120;71;0
97418110;2011010204;23.3;2.0;160;74;0
97418110;2011010205;23.8;4.7;120;72;0
97418110;2011010206;23.8;4.3;110;75;0
97418110;2011010207;26.5;7.3;110;66;45
97418110;2011010208;27.9;7.4;100;64;128
97418110;2011010209;28.8;8.3;100;62;208
97418110;2011010210;29.4;9.8;80;60;257
97418110;2011010211;29.8;10.2;70;60;334
97418110;2011010212;29.9;10.2;80;60;353
97418110;2011010213;29.8;10.4;70;61;385
97418110;2011010214;29.7;9.5;70;62;344
97418110;2011010215;30.2;9.1;80;55;282
97418110;2011010216;29.4;7.6;100;55;270
97418110;2011010217;28.1;7.7;110;57;105
97418110;2011010218;27.5;6.8;110;65;28
97418110;2011010219;27.0;5.7;110;68;2
97418110;2011010220;26.7;3.1;110;68;0
97418110;2011010221;26.7;5.0;120;65;0
97418110;2011010222;26.1;4.2;100;68;0
97418110;2011010223;25.2;4.5;110;70;0
97418110;2011010300;25.0;2.7;100;73;0
97418110;2011010301;25.3;3.5;130;67;0
97418110;2011010302;25.5;5.2;110;65;0
97418110;2011010303;24.9;4.9;110;70;0
97418110;2011010304;24.8;4.9;110;71;0
97418110;2011010305;24.7;4.6;100;69;0
97418110;2011010306;24.1;3.3;120;73;0
97418110;2011010307;26.5;4.4;110;72;36
97418110;2011010308;27.9;6.4;100;67;127
97418110;2011010309;29.5;7.9;80;60;211
97418110;2011010310;29.7;8.9;80;63;285
97418110;2011010311;29.1;8.1;70;69;342
97418110;2011010312;28.2;7.4;80;69;119
97418110;2011010313;29.2;7.9;80;67;256
97418110;2011010314;28.0;8.0;90;68;92
97418110;2011010315;28.1;7.0;120;63;126
97418110;2011010316;29.6;7.5;90;52;256
97418110;2011010317;29.1;6.8;90;56;164
97418110;2011010318;27.5;6.2;110;65;67
97418110;2011010319;26.7;5.1;110;69;16
97418110;2011010320;26.2;5.5;120;67;0
97418110;2011010321;25.9;5.0;80;63;0
97418110;2011010322;25.2;5.9;90;67;0
97418110;2011010323;25.0;4.0;130;66;0
97418110;2011010400;25.2;4.5;110;66;0
97418110;2011010401;25.0;5.1;110;65;0
97418110;2011010402;24.7;4.8;110;68;0
97418110;2011010403;24.3;2.2;150;68;0
97418110;2011010404;23.4;1.8;170;69;0
97418110;2011010405;23.6;1.8;160;70;0
97418110;2011010406;22.8;3.9;170;71;0
97418110;2011010407;25.6;0.9;160;65;44
97418110;2011010408;26.2;3.7;120;66;46
97418110;2011010409;27.5;5.6;100;63;92
97418110;2011010410;29.6;7.8;90;55;219
97418110;2011010411;29.4;8.5;70;61;341
97418110;2011010412;28.8;8.3;70;63;309
97418110;2011010413;28.1;6.4;70;68;100
