POSTE;DATE;T;FF2;DD2;U;GLO
97416415;2011010100;;;;;0
97416415;2011010101;;;;;0
97416415;2011010102;;;;;0
97416415;2011010103;21,5;0,0;;;0
97416415;2011010104;20,7;0,0;;;0
97416415;2011010105;22,0;1,0;;;0
97416415;2011010106;22,2;0,0;;;1
97416415;2011010107;24,4;0,0;;;11
97416415;2011010108;28,4;0,0;;;107
97416415;2011010109;29,1;1,0;;;173
97416415;2011010110;29,8;1,0;;;240
97416415;2011010111;30,5;1,0;;;289
97416415;2011010112;31,5;1,0;;;338
97416415;2011010113;31,2;2,0;;;377
97416415;2011010114;29,5;2,0;;;328
97416415;2011010115;30,8;3,0;;;268
97416415;2011010116;30,3;2,0;;;271
97416415;2011010117;27,9;2,0;;;142
97416415;2011010118;26,6;2,0;;;36
97416415;2011010119;26,0;2,0;;;10
97416415;2011010120;25,9;1,0;;;0
97416415;2011010121;25,6;2,0;;;0
97416415;2011010122;25,2;1,0;;;0
97416415;2011010123;24,4;0,0;;;0
97416415;2011010200;23,3;0,0;;;0
97416415;2011010201;22,2;0,0;;;0
97416415;2011010202;21,8;0,0;;;0
97416415;2011010203;21,1;0,0;;;0
97416415;2011010204;21,7;0,0;;;0
97416415;2011010205;21,8;0,0;;;0
97416415;2011010206;22,2;0,0;;;1
97416415;2011010207;24,7;0,0;;;11
97416415;2011010208;27,8;2,0;;;104
97416415;2011010209;29,0;3,0;;;171
97416415;2011010210;28,6;4,0;;;233
97416415;2011010211;29,7;4,0;;;289
97416415;2011010212;29,3;4,0;;;334
97416415;2011010213;29,3;4,0;;;357
97416415;2011010214;29,4;3,0;;;347
97416415;2011010215;29,6;3,0;;;313
97416415;2011010216;29,9;3,0;;;252
97416415;2011010217;28,7;3,0;;;178
97416415;2011010218;27,0;3,0;;;78
97416415;2011010219;26,1;2,0;;;26
97416415;2011010220;25,6;2,0;;;0
97416415;2011010221;25,0;1,0;;;0
97416415;2011010222;25,2;1,0;;;0
97416415;2011010223;24,8;1,0;;;0
97416415;2011010300;23,1;0,0;;;0
97416415;2011010301;21,9;0,0;;;0
97416415;2011010302;21,7;0,0;;;0
97416415;2011010303;21,3;0,0;;;0
97416415;2011010304;21,0;0,0;;;0
97416415;2011010305;20,6;0,0;;;0
97416415;2011010306;21,5;0,0;;;1
97416415;2011010307;25,3;0,0;;;11
