POSTE;DATE;T;FF2;DD2;U;GLO
97413545;2011010100;22.3;0.0;80;;0
97413545;2011010101;21.9;1.0;100;;0
97413545;2011010102;22.3;1.0;;;0
97413545;2011010103;21.5;0.0;90;;0
97413545;2011010104;21.3;1.0;90;;0
97413545;2011010105;21.4;1.0;;;0
97413545;2011010106;21.5;1.0;;;2
97413545;2011010107;23.8;1.0;100;;37
97413545;2011010108;26.4;0.0;160;;137
97413545;2011010109;26.2;0.0;360;;172
97413545;2011010110;27.4;0.0;330;;179
97413545;2011010111;31.5;0.0;260;;219
97413545;2011010112;31.2;0.0;240;;271
97413545;2011010113;27.4;1.0;240;;174
97413545;2011010114;28.4;0.0;240;;107
97413545;2011010115;28.9;1.0;230;;236
97413545;2011010116;27.8;1.0;240;;106
97413545;2011010117;26.1;0.0;;;48
97413545;2011010118;26.2;2.0;140;;50
97413545;2011010119;24.9;3.0;140;;31
97413545;2011010120;24.3;1.0;;;0
97413545;2011010121;23.5;0.0;230;;0
97413545;2011010122;23.9;0.0;;;0
97413545;2011010123;22.8;1.0;;;0
97413545;2011010200;22.6;1.0;;;0
97413545;2011010201;22.0;1.0;;;0
97413545;2011010202;21.9;1.0;100;;0
97413545;2011010203;21.8;1.0;100;;0
97413545;2011010204;21.4;0.0;100;;0
97413545;2011010205;21.6;0.0;100;;0
97413545;2011010206;21.6;1.0;;;1
97413545;2011010207;24.5;0.0;;;36
97413545;2011010208;26.8;0.0;260;;133
97413545;2011010209;29.5;0.0;250;;219
97413545;2011010210;27.1;0.0;240;;145
97413545;2011010211;30.6;3.0;150;;297
97413545;2011010212;31.1;1.0;330;;235
97413545;2011010213;29.7;1.0;350;;265
97413545;2011010214;28.0;0.0;240;;212
97413545;2011010215;29.4;0.0;;;128
97413545;2011010216;30.1;0.0;230;;193
97413545;2011010217;29.0;0.0;350;;68
97413545;2011010218;27.5;2.0;140;;88
97413545;2011010219;25.6;2.0;140;;35
97413545;2011010220;24.7;2.0;140;;0
97413545;2011010221;24.9;0.0;20;;0
97413545;2011010222;24.9;0.0;30;;0
97413545;2011010223;24.8;0.0;70;;0
97413545;2011010300;23.8;0.0;;;0
97413545;2011010301;22.9;0.0;80;;0
97413545;2011010302;22.7;1.0;;;0
97413545;2011010303;22.2;0.0;90;;0
97413545;2011010304;22.1;1.0;100;;0
97413545;2011010305;22.2;1.0;100;;0
97413545;2011010306;22.4;1.0;110;;2
97413545;2011010307;24.7;0.0;100;;33
97413545;2011010308;28.1;0.0;250;;133
97413545;2011010309;28.8;0.0;30;;185
97413545;2011010310;27.2;2.0;150;;126
97413545;2011010311;29.4;4.0;160;;316
97413545;2011010312;29.2;4.0;150;;374
97413545;2011010313;29.8;3.0;140;;278
97413545;2011010314;29.8;3.0;160;;321
97413545;2011010315;29.1;2.0;190;;202
97413545;2011010316;29.3;3.0;170;;260
97413545;2011010317;27.8;4.0;140;;152
97413545;2011010318;27.3;2.0;140;;64
97413545;2011010319;26.8;2.0;;;19
97413545;2011010320;26.7;1.0;;;0
97413545;2011010321;24.9;0.0;;;0
97413545;2011010322;23.3;1.0;110;;0
97413545;2011010323;23.1;0.0;70;;0
97413545;2011010400;22.5;0.0;90;;0
97413545;2011010401;22.9;0.0;70;;0
97413545;2011010402;23.1;1.0;70;;0
97413545;2011010403;22.7;1.0;;;0
97413545;2011010404;22.1;1.0;100;;0
97413545;2011010405;22.5;0.0;;;0
97413545;2011010406;22.7;1.0;90;;2
97413545;2011010407;24.9;0.0;60;;25
97413545;2011010408;26.3;0.0;240;;79
97413545;2011010409;29.1;0.0;0;;130
97413545;2011010410;28.3;0.0;330;;202
97413545;2011010411;22.3;0.0;50;;58
97413545;2011010412;27.9;1.0;200;;261
97413545;2011010413;26.1;3.0;160;;224
97413545;2011010414;27.0;2.0;170;;167
97413545;2011010415;28.3;4.0;150;;291
97413545;2011010416;28.3;3.0;160;;254
97413545;2011010417;28.3;3.0;160;;229
97413545;2011010418;27.9;1.0;140;;156
97413545;2011010419;25.2;1.0;;;31
97413545;2011010420;25.1;1.0;;;0
97413545;2011010421;23.1;0.0;90;;0
97413545;2011010422;22.9;1.0;;;0
97413545;2011010423;22.0;1.0;90;;0
97413545;2011010500;21.9;1.0;;;0
97413545;2011010501;21.9;1.0;90;;0
97413545;2011010502;21.9;1.0;90;;0
97413545;2011010503;21.7;0.0;90;;0
97413545;2011010504;21.4;0.0;90;;0
97413545;2011010505;21.7;0.0;100;;0
97413545;2011010506;21.9;1.0;;;2
97413545;2011010507;23.9;0.0;100;;32
97413545;2011010508;26.8;0.0;180;;133
97413545;2011010509;29.1;1.0;210;;216
97413545;2011010510;28.9;2.0;170;;292
97413545;2011010511;28.1;3.0;170;;294
97413545;2011010512;30.0;3.0;150;;340
97413545;2011010513;28.3;2.0;160;;313
97413545;2011010514;27.5;0.0;0;;96
97413545;2011010515;26.5;0.0;50;;103
97413545;2011010516;23.4;2.0;;;150
97413545;2011010517;25.4;0.0;0;;81
97413545;2011010518;26.5;1.0;230;;110
97413545;2011010519;24.8;1.0;;;33
97413545;2011010520;23.2;0.0;;;0
97413545;2011010521;22.3;1.0;;;0
97413545;2011010522;21.7;1.0;100;;0
97413545;2011010523;22.0;1.0;90;;0
97413545;2011010600;21.8;1.0;;;0
97413545;2011010601;21.6;1.0;100;;0
