"V1";"V2";"V3";"V4";"V5"
"1";"FDnum_Avg";"1466078248";"Cilaos Piscine";"0";"0"
"2";"Hamount_Avg";"1466078248";"Cilaos Piscine";"2013-06-24T15:14:00Z";"2016-11-28T10:19:00Z"
"3";"RECORD";"1466078248";"Cilaos Piscine";"2013-06-24T15:14:00Z";"2016-11-28T10:19:00Z"
"4";"RH_Avg";"1466078248";"Cilaos Piscine";"2013-06-24T15:14:00Z";"2016-11-28T10:19:00Z"
"5";"Patm_Avg";"1466078248";"Cilaos Piscine";"2013-06-24T15:14:00Z";"2016-11-28T10:19:00Z"
"6";"WD_MeanUnitVector";"1466078248";"Cilaos Piscine";"2013-06-24T15:14:00Z";"2013-10-14T10:22:00Z"
"7";"WS_Mean";"1466078248";"Cilaos Piscine";"2013-06-24T15:14:00Z";"2016-11-28T10:19:00Z"
"8";"WD_StdDev";"1466078248";"Cilaos Piscine";"2013-06-24T15:14:00Z";"2016-11-28T10:19:00Z"
"9";"Rain_Avg";"1466078248";"Cilaos Piscine";"2013-06-24T15:14:00Z";"2016-11-28T10:19:00Z"
"10";"battVolt_Avg";"1466078248";"Cilaos Piscine";"2013-06-24T15:14:00Z";"2016-11-28T10:19:00Z"
"11";"FG_Avg";"1466078248";"Cilaos Piscine";"2013-06-24T15:14:00Z";"2016-11-28T10:19:00Z"
"12";"FGnum_Avg";"1466078248";"Cilaos Piscine";"0";"0"
"13";"FD_Avg";"1466078248";"Cilaos Piscine";"2013-06-24T15:14:00Z";"2016-11-28T10:19:00Z"
"14";"TinDL_Avg";"1466078248";"Cilaos Piscine";"2013-06-24T15:14:00Z";"2016-11-28T10:19:00Z"
"15";"WD_MeanVector";"1466078248";"Cilaos Piscine";"2013-10-14T10:28:00Z";"2016-11-28T10:19:00Z"
"16";"Tenc_Avg";"1466078248";"Cilaos Piscine";"2013-06-24T15:14:00Z";"2016-11-28T10:19:00Z"
"17";"Text_Avg";"1466078248";"Cilaos Piscine";"2013-06-24T15:14:00Z";"2016-11-28T10:19:00Z"
"18";"Patm_Avg";"1465986548";"Saint Leu";"2012-10-11T11:30:00Z";"2018-02-12T09:59:00Z"
"19";"FD_Avg";"1465986548";"Saint Leu";"2012-10-11T11:30:00Z";"2018-02-12T09:59:00Z"
"20";"battVolt_Avg";"1465986548";"Saint Leu";"2012-10-11T11:30:00Z";"2018-02-12T09:59:00Z"
"21";"Rain_Avg";"1465986548";"Saint Leu";"2012-10-11T11:30:00Z";"2018-02-12T09:59:00Z"
"22";"Text_Avg";"1465986548";"Saint Leu";"2012-10-11T11:30:00Z";"2018-02-12T09:59:00Z"
"23";"TinDL_Avg";"1465986548";"Saint Leu";"2012-10-11T11:30:00Z";"2018-02-12T09:59:00Z"
"24";"WD_StdDev";"1465986548";"Saint Leu";"2012-10-11T11:30:00Z";"2018-02-12T09:59:00Z"
"25";"FG_Avg";"1465986548";"Saint Leu";"2012-10-11T11:30:00Z";"2018-02-12T09:59:00Z"
"26";"Hamount_Avg";"1465986548";"Saint Leu";"2012-10-11T11:30:00Z";"2018-02-12T09:59:00Z"
"27";"RECORD";"1465986548";"Saint Leu";"2012-10-11T11:30:00Z";"2018-02-12T09:59:00Z"
"28";"Tenc_Avg";"1465986548";"Saint Leu";"2012-10-11T11:30:00Z";"2018-02-12T09:59:00Z"
"29";"RH_Avg";"1465986548";"Saint Leu";"2012-10-11T11:30:00Z";"2018-02-12T09:59:00Z"
"30";"WS_Mean";"1465986548";"Saint Leu";"2012-10-11T11:30:00Z";"2018-02-12T09:59:00Z"
"31";"FDnum_Avg";"1465986548";"Saint Leu";"2012-10-11T11:30:00Z";"2018-02-12T09:59:00Z"
"32";"WD_MeanUnitVector";"1465986548";"Saint Leu";"2012-10-11T11:30:00Z";"2018-02-12T09:59:00Z"
"33";"FGnum_Avg";"1465986548";"Saint Leu";"2012-10-11T11:30:00Z";"2018-02-12T09:59:00Z"
"34";"FD_Avg";"1466078374";"Cilaos Thermes";"2012-12-17T11:58:00Z";"2013-03-29T09:47:00Z"
"35";"FDnum_Avg";"1466078374";"Cilaos Thermes";"0";"0"
"36";"FGnum_Avg";"1466078374";"Cilaos Thermes";"0";"0"
"37";"WS_Mean";"1466078374";"Cilaos Thermes";"2012-12-17T11:58:00Z";"2013-03-29T09:47:00Z"
"38";"WD_StdDev";"1466078374";"Cilaos Thermes";"2012-12-17T11:58:00Z";"2013-03-29T09:47:00Z"
"39";"TinDL_Avg";"1466078374";"Cilaos Thermes";"2012-12-17T11:58:00Z";"2013-03-29T09:47:00Z"
"40";"Hamount_Avg";"1466078374";"Cilaos Thermes";"2012-12-17T11:58:00Z";"2013-03-29T09:47:00Z"
"41";"Patm_Avg";"1466078374";"Cilaos Thermes";"2012-12-17T11:58:00Z";"2013-03-29T09:47:00Z"
"42";"Tenc_Avg";"1466078374";"Cilaos Thermes";"2012-12-17T11:58:00Z";"2013-03-29T09:47:00Z"
"43";"battVolt_Avg";"1466078374";"Cilaos Thermes";"2012-12-17T11:58:00Z";"2013-03-29T09:47:00Z"
"44";"RECORD";"1466078374";"Cilaos Thermes";"2012-12-17T11:58:00Z";"2013-03-29T09:47:00Z"
"45";"RH_Avg";"1466078374";"Cilaos Thermes";"2012-12-17T11:58:00Z";"2013-03-29T09:47:00Z"
"46";"Text_Avg";"1466078374";"Cilaos Thermes";"2012-12-17T11:58:00Z";"2013-03-29T09:47:00Z"
"47";"WD_MeanVector";"1466078374";"Cilaos Thermes";"2012-12-17T11:58:00Z";"2013-03-29T09:47:00Z"
"48";"Rain_Avg";"1466078374";"Cilaos Thermes";"2012-12-17T11:58:00Z";"2013-03-29T09:47:00Z"
"49";"FG_Avg";"1466078374";"Cilaos Thermes";"2012-12-17T11:58:00Z";"2013-03-29T09:47:00Z"
"50";"FGnum_Avg";"1465986253";"Saint Andre";"2012-10-11T10:35:00Z";"2018-01-03T14:29:00Z"
"51";"Tenc_Avg";"1465986253";"Saint Andre";"2012-10-11T10:34:00Z";"2018-01-03T14:29:00Z"
"52";"TinDL_Avg";"1465986253";"Saint Andre";"2012-10-11T10:34:00Z";"2018-01-03T14:29:00Z"
"53";"RH_Avg";"1465986253";"Saint Andre";"2012-10-11T10:34:00Z";"2018-01-03T14:29:00Z"
"54";"FDnum_Avg";"1465986253";"Saint Andre";"2012-10-11T10:35:00Z";"2018-01-03T14:29:00Z"
"55";"Hamount_Avg";"1465986253";"Saint Andre";"2012-10-11T10:34:00Z";"2018-01-03T14:29:00Z"
"56";"Text_Avg";"1465986253";"Saint Andre";"2012-10-11T10:34:00Z";"2018-01-03T14:29:00Z"
"57";"battVolt_Avg";"1465986253";"Saint Andre";"2012-10-11T10:34:00Z";"2018-01-03T14:29:00Z"
"58";"WD_MeanUnitVector";"1465986253";"Saint Andre";"2012-10-11T10:34:00Z";"2018-01-03T14:29:00Z"
"59";"FG_Avg";"1465986253";"Saint Andre";"2012-10-11T10:34:00Z";"2018-01-03T14:29:00Z"
"60";"Rain_Avg";"1465986253";"Saint Andre";"2012-10-11T10:34:00Z";"2018-01-03T14:29:00Z"
"61";"Patm_Avg";"1465986253";"Saint Andre";"2012-10-11T10:34:00Z";"2018-01-03T14:29:00Z"
"62";"FD_Avg";"1465986253";"Saint Andre";"2012-10-11T10:34:00Z";"2018-01-03T14:29:00Z"
"63";"RECORD";"1465986253";"Saint Andre";"2012-10-11T10:34:00Z";"2018-01-03T14:29:00Z"
"64";"WD_StdDev";"1465986253";"Saint Andre";"2012-10-11T10:34:00Z";"2018-01-03T14:29:00Z"
"65";"WS_Mean";"1465986253";"Saint Andre";"2012-10-11T10:34:00Z";"2018-01-03T14:29:00Z"
"66";"WD_StdDev";"1465989663";"Saint Pierre";"2012-10-11T10:33:00Z";"2018-02-12T09:59:00Z"
"67";"FG_Avg";"1465989663";"Saint Pierre";"2012-10-11T10:33:00Z";"2018-02-12T09:59:00Z"
"68";"Patm_Avg";"1465989663";"Saint Pierre";"2012-10-11T10:33:00Z";"2018-02-12T09:59:00Z"
"69";"FD_Avg";"1465989663";"Saint Pierre";"2012-10-11T10:33:00Z";"2018-02-12T09:59:00Z"
"70";"Text_Avg";"1465989663";"Saint Pierre";"2012-10-11T10:33:00Z";"2018-02-12T09:59:00Z"
"71";"TinDL_Avg";"1465989663";"Saint Pierre";"2012-10-11T10:33:00Z";"2018-02-12T09:59:00Z"
"72";"RECORD";"1465989663";"Saint Pierre";"2012-10-11T10:33:00Z";"2018-02-12T09:59:00Z"
"73";"WS_Mean";"1465989663";"Saint Pierre";"2012-10-11T10:33:00Z";"2018-02-12T09:59:00Z"
"74";"RH_Avg";"1465989663";"Saint Pierre";"2012-10-11T10:33:00Z";"2018-02-12T09:59:00Z"
"75";"WD_MeanUnitVector";"1465989663";"Saint Pierre";"2012-10-11T10:33:00Z";"2018-02-12T09:59:00Z"
"76";"battVolt_Avg";"1465989663";"Saint Pierre";"2012-10-11T10:33:00Z";"2018-02-12T09:59:00Z"
"77";"Hamount_Avg";"1465989663";"Saint Pierre";"2012-10-11T10:33:00Z";"2018-02-12T09:59:00Z"
"78";"FGnum_Avg";"1465989663";"Saint Pierre";"2012-10-11T10:34:00Z";"2018-02-12T09:59:00Z"
"79";"FDnum_Avg";"1465989663";"Saint Pierre";"2012-10-11T10:34:00Z";"2018-02-12T09:59:00Z"
"80";"Rain_Avg";"1465989663";"Saint Pierre";"2012-10-11T10:33:00Z";"2018-02-12T09:59:00Z"
"81";"Tenc_Avg";"1465989663";"Saint Pierre";"2012-10-11T10:33:00Z";"2018-02-12T09:59:00Z"
"82";"Text_Avg";"1495781086";"Cratere Bory";"2016-07-11T10:15:00Z";"2017-03-08T15:29:00Z"
"83";"RH_Avg";"1495781086";"Cratere Bory";"2016-07-11T10:15:00Z";"2017-03-08T15:29:00Z"
"84";"Rain_Avg";"1495781086";"Cratere Bory";"2016-07-11T10:15:00Z";"2017-03-08T15:29:00Z"
"85";"WD_StdDev";"1495781086";"Cratere Bory";"2016-07-11T10:15:00Z";"2017-03-08T15:29:00Z"
"86";"WS_Mean";"1495781086";"Cratere Bory";"2016-07-11T10:15:00Z";"2017-03-08T15:29:00Z"
"87";"Patm_Avg";"1495781086";"Cratere Bory";"2016-07-11T10:15:00Z";"2017-03-08T15:29:00Z"
"88";"SPN1_GHI_Avg";"1495781086";"Cratere Bory";"2016-07-11T10:15:00Z";"2017-03-08T15:29:00Z"
"89";"Thermoc_PTemp_Avg";"1495781086";"Cratere Bory";"2016-07-11T10:15:00Z";"2017-03-08T15:29:00Z"
"90";"RECORD";"1495781086";"Cratere Bory";"2016-07-11T10:15:00Z";"2017-03-08T15:29:00Z"
"91";"SPN1_DHI_Avg";"1495781086";"Cratere Bory";"2016-07-11T10:15:00Z";"2017-03-08T15:29:00Z"
"92";"Thermoc_Temp_Avg";"1495781086";"Cratere Bory";"2016-07-11T10:15:00Z";"2017-03-08T15:29:00Z"
"93";"WD_MeanUnitVector";"1495781086";"Cratere Bory";"2016-07-11T10:15:00Z";"2017-03-08T15:29:00Z"
"94";"batt_volt_Min";"1495781086";"Cratere Bory";"2016-07-11T10:15:00Z";"2017-03-08T15:29:00Z"
"95";"UE_526_Avg";"1494480630";"Rodrigues";"2017-10-16T09:25:00Z";"2017-10-16T09:43:00Z"
"96";"T_527_Avg";"1494480630";"Rodrigues";"2017-10-16T09:25:00Z";"2017-10-16T09:43:00Z"
"97";"IR_027_Avg";"1494480630";"Rodrigues";"2017-10-16T09:25:00Z";"2017-10-16T09:43:00Z"
"98";"T_218_Avg";"1494480630";"Rodrigues";"2017-10-16T09:25:00Z";"2017-10-16T09:43:00Z"
"99";"UA_526_Avg";"1494480630";"Rodrigues";"2017-10-16T09:25:00Z";"2017-10-16T09:43:00Z"
"100";"DNI_025_Avg";"1494480630";"Rodrigues";"2017-10-16T09:25:00Z";"2017-10-16T09:43:00Z"
"101";"DHI_021_Avg";"1494480630";"Rodrigues";"2017-10-16T09:25:00Z";"2017-10-16T09:43:00Z"
"102";"UVA_026_Avg";"1494480630";"Rodrigues";"2017-10-16T09:25:00Z";"2017-10-16T09:43:00Z"
"103";"U_018_Min";"1494480630";"Rodrigues";"2017-10-16T09:25:00Z";"2017-10-16T09:43:00Z"
"104";"UVE_026_Avg";"1494480630";"Rodrigues";"2017-10-16T09:25:00Z";"2017-10-16T09:43:00Z"
"105";"GHI_020_Avg";"1494480630";"Rodrigues";"2017-10-16T09:25:00Z";"2017-10-16T09:43:00Z"
"106";"U_302_Avg";"1494480630";"Rodrigues";"2017-09-06T12:57:00Z";"2018-02-10T08:11:00Z"
"107";"I_102_Avg";"1494480630";"Rodrigues";"2017-05-09T15:00:00Z";"2018-02-10T08:11:00Z"
"108";"ClearSkyCoeff_Calc";"1494480630";"0";"2017-07-25T07:00:00Z";"2018-02-09T17:59:00Z"
"109";"DP_015_Avg";"1494480630";"Rodrigues";"2017-05-09T15:00:00Z";"2018-02-12T10:32:00Z"
"110";"RECORD";"1494480630";"Rodrigues";"2017-05-09T15:00:00Z";"2018-02-12T10:32:00Z"
"111";"RH_015_Avg";"1494480630";"Rodrigues";"2017-05-09T15:00:00Z";"2018-02-12T10:32:00Z"
"112";"DHI_005_Avg";"1494480630";"Rodrigues";"2017-05-09T15:00:00Z";"2018-02-12T10:32:00Z"
"113";"I_202_Avg";"1494480630";"Rodrigues";"2017-05-09T15:00:00Z";"2018-02-12T10:32:00Z"
"114";"Ind_030_Avg";"1494480630";"Rodrigues";"2017-05-09T15:00:00Z";"2018-02-12T10:32:00Z"
"115";"P_015_Avg";"1494480630";"Rodrigues";"2017-05-09T15:00:00Z";"2018-02-12T10:32:00Z"
"116";"U_530_Avg";"1494480630";"Rodrigues";"2017-05-09T15:00:00Z";"2018-02-12T10:32:00Z"
"117";"U_102_Avg";"1494480630";"Rodrigues";"2017-05-09T15:00:00Z";"2018-02-12T10:32:00Z"
"118";"T_015_Avg";"1494480630";"Rodrigues";"2017-05-09T15:00:00Z";"2018-02-12T10:32:00Z"
"119";"Rain_015";"1494480630";"Rodrigues";"2017-05-09T15:00:00Z";"2018-02-12T10:32:00Z"
"120";"WS_015_Mean";"1494480630";"Rodrigues";"2017-05-09T15:00:00Z";"2018-02-12T10:32:00Z"
"121";"T_102_Avg";"1494480630";"Rodrigues";"2017-05-09T15:00:00Z";"2018-02-12T10:32:00Z"
"122";"WD_015_StdDev";"1494480630";"Rodrigues";"2017-05-09T15:00:00Z";"2018-02-12T10:32:00Z"
