"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8"
"1";"FDnum_Avg";"1466078248";"Cilaos Piscine";"0";"0";"-21.136158";"55.47416";"0"
"2";"Hamount_Avg";"1466078248";"Cilaos Piscine";"2013-06-24T15:14:00Z";"2016-11-28T10:19:00Z";"-21.136158";"55.47416";"0"
"3";"RECORD";"1466078248";"Cilaos Piscine";"2013-06-24T15:14:00Z";"2016-11-28T10:19:00Z";"-21.136158";"55.47416";"0"
"4";"RH_Avg";"1466078248";"Cilaos Piscine";"2013-06-24T15:14:00Z";"2016-11-28T10:19:00Z";"-21.136158";"55.47416";"0"
"5";"Patm_Avg";"1466078248";"Cilaos Piscine";"2013-06-24T15:14:00Z";"2016-11-28T10:19:00Z";"-21.136158";"55.47416";"0"
"6";"WD_MeanUnitVector";"1466078248";"Cilaos Piscine";"2013-06-24T15:14:00Z";"2013-10-14T10:22:00Z";"-21.136158";"55.47416";"0"
"7";"WS_Mean";"1466078248";"Cilaos Piscine";"2013-06-24T15:14:00Z";"2016-11-28T10:19:00Z";"-21.136158";"55.47416";"0"
"8";"WD_StdDev";"1466078248";"Cilaos Piscine";"2013-06-24T15:14:00Z";"2016-11-28T10:19:00Z";"-21.136158";"55.47416";"0"
"9";"Rain_Avg";"1466078248";"Cilaos Piscine";"2013-06-24T15:14:00Z";"2016-11-28T10:19:00Z";"-21.136158";"55.47416";"0"
"10";"battVolt_Avg";"1466078248";"Cilaos Piscine";"2013-06-24T15:14:00Z";"2016-11-28T10:19:00Z";"-21.136158";"55.47416";"0"
"11";"FG_Avg";"1466078248";"Cilaos Piscine";"2013-06-24T15:14:00Z";"2016-11-28T10:19:00Z";"-21.136158";"55.47416";"0"
"12";"FGnum_Avg";"1466078248";"Cilaos Piscine";"0";"0";"-21.136158";"55.47416";"0"
"13";"FD_Avg";"1466078248";"Cilaos Piscine";"2013-06-24T15:14:00Z";"2016-11-28T10:19:00Z";"-21.136158";"55.47416";"0"
"14";"TinDL_Avg";"1466078248";"Cilaos Piscine";"2013-06-24T15:14:00Z";"2016-11-28T10:19:00Z";"-21.136158";"55.47416";"0"
"15";"WD_MeanVector";"1466078248";"Cilaos Piscine";"2013-10-14T10:28:00Z";"2016-11-28T10:19:00Z";"-21.136158";"55.47416";"0"
"16";"Tenc_Avg";"1466078248";"Cilaos Piscine";"2013-06-24T15:14:00Z";"2016-11-28T10:19:00Z";"-21.136158";"55.47416";"0"
"17";"Text_Avg";"1466078248";"Cilaos Piscine";"2013-06-24T15:14:00Z";"2016-11-28T10:19:00Z";"-21.136158";"55.47416";"0"
"18";"WD_StdDev";"1465986548";"Saint Leu";"2012-10-11T11:30:00Z";"2018-03-04T12:29:00Z";"-21.200642";"55.302332";"0"
"19";"FG_Avg";"1465986548";"Saint Leu";"2012-10-11T11:30:00Z";"2018-03-04T12:29:00Z";"-21.200642";"55.302332";"0"
"20";"Hamount_Avg";"1465986548";"Saint Leu";"2012-10-11T11:30:00Z";"2018-03-04T12:29:00Z";"-21.200642";"55.302332";"0"
"21";"WS_Mean";"1465986548";"Saint Leu";"2012-10-11T11:30:00Z";"2018-03-04T12:29:00Z";"-21.200642";"55.302332";"0"
"22";"FDnum_Avg";"1465986548";"Saint Leu";"2012-10-11T11:30:00Z";"2018-03-04T12:29:00Z";"-21.200642";"55.302332";"0"
"23";"Patm_Avg";"1465986548";"Saint Leu";"2012-10-11T11:30:00Z";"2018-03-04T12:29:00Z";"-21.200642";"55.302332";"0"
"24";"FD_Avg";"1465986548";"Saint Leu";"2012-10-11T11:30:00Z";"2018-03-04T12:29:00Z";"-21.200642";"55.302332";"0"
"25";"battVolt_Avg";"1465986548";"Saint Leu";"2012-10-11T11:30:00Z";"2018-03-04T12:29:00Z";"-21.200642";"55.302332";"0"
"26";"Rain_Avg";"1465986548";"Saint Leu";"2012-10-11T11:30:00Z";"2018-03-04T12:29:00Z";"-21.200642";"55.302332";"0"
"27";"Text_Avg";"1465986548";"Saint Leu";"2012-10-11T11:30:00Z";"2018-03-04T12:29:00Z";"-21.200642";"55.302332";"0"
"28";"TinDL_Avg";"1465986548";"Saint Leu";"2012-10-11T11:30:00Z";"2018-03-04T12:29:00Z";"-21.200642";"55.302332";"0"
"29";"RH_Avg";"1465986548";"Saint Leu";"2012-10-11T11:30:00Z";"2018-03-04T12:29:00Z";"-21.200642";"55.302332";"0"
"30";"WD_MeanUnitVector";"1465986548";"Saint Leu";"2012-10-11T11:30:00Z";"2018-03-04T12:29:00Z";"-21.200642";"55.302332";"0"
"31";"FGnum_Avg";"1465986548";"Saint Leu";"2012-10-11T11:30:00Z";"2018-03-04T12:29:00Z";"-21.200642";"55.302332";"0"
"32";"RECORD";"1465986548";"Saint Leu";"2012-10-11T11:30:00Z";"2018-03-04T12:29:00Z";"-21.200642";"55.302332";"0"
"33";"Tenc_Avg";"1465986548";"Saint Leu";"2012-10-11T11:30:00Z";"2018-03-04T12:29:00Z";"-21.200642";"55.302332";"0"
"34";"FD_Avg";"1466078374";"Cilaos Thermes";"2012-12-17T11:58:00Z";"2013-03-29T09:47:00Z";"-21.12894";"55.47332";"0"
"35";"FDnum_Avg";"1466078374";"Cilaos Thermes";"0";"0";"-21.12894";"55.47332";"0"
"36";"FGnum_Avg";"1466078374";"Cilaos Thermes";"0";"0";"-21.12894";"55.47332";"0"
"37";"WS_Mean";"1466078374";"Cilaos Thermes";"2012-12-17T11:58:00Z";"2013-03-29T09:47:00Z";"-21.12894";"55.47332";"0"
"38";"WD_StdDev";"1466078374";"Cilaos Thermes";"2012-12-17T11:58:00Z";"2013-03-29T09:47:00Z";"-21.12894";"55.47332";"0"
"39";"TinDL_Avg";"1466078374";"Cilaos Thermes";"2012-12-17T11:58:00Z";"2013-03-29T09:47:00Z";"-21.12894";"55.47332";"0"
"40";"Hamount_Avg";"1466078374";"Cilaos Thermes";"2012-12-17T11:58:00Z";"2013-03-29T09:47:00Z";"-21.12894";"55.47332";"0"
"41";"Patm_Avg";"1466078374";"Cilaos Thermes";"2012-12-17T11:58:00Z";"2013-03-29T09:47:00Z";"-21.12894";"55.47332";"0"
"42";"Tenc_Avg";"1466078374";"Cilaos Thermes";"2012-12-17T11:58:00Z";"2013-03-29T09:47:00Z";"-21.12894";"55.47332";"0"
"43";"battVolt_Avg";"1466078374";"Cilaos Thermes";"2012-12-17T11:58:00Z";"2013-03-29T09:47:00Z";"-21.12894";"55.47332";"0"
"44";"RECORD";"1466078374";"Cilaos Thermes";"2012-12-17T11:58:00Z";"2013-03-29T09:47:00Z";"-21.12894";"55.47332";"0"
"45";"RH_Avg";"1466078374";"Cilaos Thermes";"2012-12-17T11:58:00Z";"2013-03-29T09:47:00Z";"-21.12894";"55.47332";"0"
"46";"Text_Avg";"1466078374";"Cilaos Thermes";"2012-12-17T11:58:00Z";"2013-03-29T09:47:00Z";"-21.12894";"55.47332";"0"
"47";"WD_MeanVector";"1466078374";"Cilaos Thermes";"2012-12-17T11:58:00Z";"2013-03-29T09:47:00Z";"-21.12894";"55.47332";"0"
"48";"Rain_Avg";"1466078374";"Cilaos Thermes";"2012-12-17T11:58:00Z";"2013-03-29T09:47:00Z";"-21.12894";"55.47332";"0"
"49";"FG_Avg";"1466078374";"Cilaos Thermes";"2012-12-17T11:58:00Z";"2013-03-29T09:47:00Z";"-21.12894";"55.47332";"0"
"50";"FGnum_Avg";"1465986253";"Saint Andre";"2012-10-11T10:35:00Z";"2018-01-03T14:29:00Z";"-20.962797";"55.622433";"0"
"51";"Tenc_Avg";"1465986253";"Saint Andre";"2012-10-11T10:34:00Z";"2018-01-03T14:29:00Z";"-20.962797";"55.622433";"0"
"52";"TinDL_Avg";"1465986253";"Saint Andre";"2012-10-11T10:34:00Z";"2018-01-03T14:29:00Z";"-20.962797";"55.622433";"0"
"53";"RH_Avg";"1465986253";"Saint Andre";"2012-10-11T10:34:00Z";"2018-01-03T14:29:00Z";"-20.962797";"55.622433";"0"
"54";"FDnum_Avg";"1465986253";"Saint Andre";"2012-10-11T10:35:00Z";"2018-01-03T14:29:00Z";"-20.962797";"55.622433";"0"
"55";"Hamount_Avg";"1465986253";"Saint Andre";"2012-10-11T10:34:00Z";"2018-01-03T14:29:00Z";"-20.962797";"55.622433";"0"
"56";"Text_Avg";"1465986253";"Saint Andre";"2012-10-11T10:34:00Z";"2018-01-03T14:29:00Z";"-20.962797";"55.622433";"0"
"57";"battVolt_Avg";"1465986253";"Saint Andre";"2012-10-11T10:34:00Z";"2018-01-03T14:29:00Z";"-20.962797";"55.622433";"0"
"58";"WD_MeanUnitVector";"1465986253";"Saint Andre";"2012-10-11T10:34:00Z";"2018-01-03T14:29:00Z";"-20.962797";"55.622433";"0"
"59";"FG_Avg";"1465986253";"Saint Andre";"2012-10-11T10:34:00Z";"2018-01-03T14:29:00Z";"-20.962797";"55.622433";"0"
"60";"Rain_Avg";"1465986253";"Saint Andre";"2012-10-11T10:34:00Z";"2018-01-03T14:29:00Z";"-20.962797";"55.622433";"0"
"61";"Patm_Avg";"1465986253";"Saint Andre";"2012-10-11T10:34:00Z";"2018-01-03T14:29:00Z";"-20.962797";"55.622433";"0"
"62";"FD_Avg";"1465986253";"Saint Andre";"2012-10-11T10:34:00Z";"2018-01-03T14:29:00Z";"-20.962797";"55.622433";"0"
"63";"RECORD";"1465986253";"Saint Andre";"2012-10-11T10:34:00Z";"2018-01-03T14:29:00Z";"-20.962797";"55.622433";"0"
"64";"WD_StdDev";"1465986253";"Saint Andre";"2012-10-11T10:34:00Z";"2018-01-03T14:29:00Z";"-20.962797";"55.622433";"0"
"65";"WS_Mean";"1465986253";"Saint Andre";"2012-10-11T10:34:00Z";"2018-01-03T14:29:00Z";"-20.962797";"55.622433";"0"
"66";"TinDL_Avg";"1465989663";"Saint Pierre";"2012-10-11T10:33:00Z";"2018-03-04T12:29:00Z";"-21.313922";"55.451069";"0"
"67";"FGnum_Avg";"1465989663";"Saint Pierre";"2012-10-11T10:34:00Z";"2018-03-04T12:29:00Z";"-21.313922";"55.451069";"0"
"68";"FDnum_Avg";"1465989663";"Saint Pierre";"2012-10-11T10:34:00Z";"2018-03-04T12:29:00Z";"-21.313922";"55.451069";"0"
"69";"WD_StdDev";"1465989663";"Saint Pierre";"2012-10-11T10:33:00Z";"2018-03-04T12:29:00Z";"-21.313922";"55.451069";"0"
"70";"FG_Avg";"1465989663";"Saint Pierre";"2012-10-11T10:33:00Z";"2018-03-04T12:29:00Z";"-21.313922";"55.451069";"0"
"71";"Patm_Avg";"1465989663";"Saint Pierre";"2012-10-11T10:33:00Z";"2018-03-04T12:29:00Z";"-21.313922";"55.451069";"0"
"72";"FD_Avg";"1465989663";"Saint Pierre";"2012-10-11T10:33:00Z";"2018-03-04T12:29:00Z";"-21.313922";"55.451069";"0"
"73";"Text_Avg";"1465989663";"Saint Pierre";"2012-10-11T10:33:00Z";"2018-03-04T12:29:00Z";"-21.313922";"55.451069";"0"
"74";"WD_MeanUnitVector";"1465989663";"Saint Pierre";"2012-10-11T10:33:00Z";"2018-03-04T12:29:00Z";"-21.313922";"55.451069";"0"
"75";"battVolt_Avg";"1465989663";"Saint Pierre";"2012-10-11T10:33:00Z";"2018-03-04T12:29:00Z";"-21.313922";"55.451069";"0"
"76";"Hamount_Avg";"1465989663";"Saint Pierre";"2012-10-11T10:33:00Z";"2018-03-04T12:29:00Z";"-21.313922";"55.451069";"0"
"77";"Rain_Avg";"1465989663";"Saint Pierre";"2012-10-11T10:33:00Z";"2018-03-04T12:29:00Z";"-21.313922";"55.451069";"0"
"78";"Tenc_Avg";"1465989663";"Saint Pierre";"2012-10-11T10:33:00Z";"2018-03-04T12:29:00Z";"-21.313922";"55.451069";"0"
