POSTE;DATE;T;FF;DD;U;GLO
97424410;2011010100;16.0;0.0;0;;0
97424410;2011010101;14.8;0.0;0;;0
97424410;2011010102;13.5;0.0;0;;0
97424410;2011010103;12.7;0.0;0;;0
97424410;2011010104;11.6;0.0;0;;0
97424410;2011010105;11.0;0.0;0;;0
97424410;2011010106;10.5;0.0;0;;1
97424410;2011010107;11.0;0.0;0;;7
97424410;2011010108;20.0;1.0;220;;118
97424410;2011010109;23.1;2.0;230;;217
97424410;2011010110;24.9;2.0;200;;291
97424410;2011010111;25.5;2.0;210;;350
97424410;2011010112;26.2;3.0;210;;395
97424410;2011010113;23.3;3.0;230;;205
97424410;2011010114;22.1;2.0;200;;95
97424410;2011010115;22.5;2.0;230;;82
97424410;2011010116;21.6;2.0;240;;92
97424410;2011010117;21.4;2.0;210;;77
97424410;2011010118;19.8;2.0;270;;57
97424410;2011010119;18.7;1.0;260;;9
97424410;2011010120;18.5;0.0;0;;0
97424410;2011010121;18.5;0.0;0;;0
97424410;2011010122;18.3;1.0;80;;0
97424410;2011010123;17.6;1.0;50;;0
97424410;2011010200;15.9;0.0;0;;0
97424410;2011010201;15.4;0.0;0;;0
97424410;2011010202;14.8;0.0;0;;0
97424410;2011010203;14.1;0.0;0;;0
97424410;2011010204;13.8;0.0;0;;0
97424410;2011010205;13.4;0.0;0;;0
97424410;2011010206;13.2;0.0;0;;1
97424410;2011010207;13.8;0.0;0;;8
97424410;2011010208;21.4;1.0;190;;119
97424410;2011010209;24.0;2.0;220;;208
97424410;2011010210;25.3;3.0;200;;290
97424410;2011010211;24.9;3.0;230;;276
97424410;2011010212;25.8;2.0;200;;204
97424410;2011010213;27.0;4.0;220;;387
97424410;2011010214;26.8;2.0;240;;409
97424410;2011010215;26.2;2.0;220;;313
97424410;2011010216;26.2;3.0;220;;216
97424410;2011010217;24.5;3.0;210;;206
97424410;2011010218;21.7;2.0;240;;97
97424410;2011010219;19.9;1.0;270;;6
97424410;2011010220;18.6;1.0;260;;0
97424410;2011010221;18.6;0.0;0;;0
97424410;2011010222;18.7;0.0;0;;0
97424410;2011010223;18.5;0.0;0;;0
97424410;2011010300;18.4;0.0;0;;0
97424410;2011010301;17.6;0.0;0;;0
97424410;2011010302;17.0;0.0;0;;0
97424410;2011010303;15.8;0.0;0;;0
97424410;2011010304;15.3;0.0;0;;0
97424410;2011010305;14.6;0.0;0;;0
97424410;2011010306;14.2;0.0;0;;1
97424410;2011010307;14.6;0.0;0;;8
97424410;2011010308;21.2;2.0;190;;107
97424410;2011010309;23.5;2.0;230;;209
