POSTE;DATE;T;FF;DD;U;GLO
97407520;2011010100;24,7;1,0;150;;0
97407520;2011010101;24,3;1,0;130;;0
97407520;2011010102;24,3;2,0;90;;0
97407520;2011010103;24,4;2,0;110;;0
97407520;2011010104;24,2;2,0;110;;0
97407520;2011010105;24,1;3,0;120;;0
97407520;2011010106;24,0;3,0;120;;1
97407520;2011010107;26,0;2,0;120;;32
97407520;2011010108;28,4;2,0;180;;116
97407520;2011010109;29,3;2,0;340;;206
97407520;2011010110;30,0;4,0;250;;281
97407520;2011010111;29,8;5,0;240;;341
97407520;2011010112;30,0;5,0;220;;362
97407520;2011010113;30,0;4,0;220;;391
97407520;2011010114;29,2;5,0;220;;222
97407520;2011010115;29,2;5,0;220;;286
97407520;2011010116;29,0;4,0;240;;168
97407520;2011010117;28,8;2,0;270;;110
97407520;2011010118;28,1;2,0;360;;25
97407520;2011010119;27,6;3,0;30;;12
97407520;2011010120;26,5;3,0;60;;0
97407520;2011010121;26,6;2,0;60;;0
97407520;2011010122;26,4;1,0;70;;0
97407520;2011010123;25,6;1,0;80;;0
97407520;2011010200;24,9;1,0;90;;0
97407520;2011010201;24,8;1,0;160;;0
97407520;2011010202;24,4;1,0;140;;0
97407520;2011010203;24,5;1,0;90;;0
97407520;2011010204;24,6;2,0;90;;0
97407520;2011010205;24,2;2,0;100;;0
97407520;2011010206;23,6;1,0;130;;1
97407520;2011010207;25,8;2,0;140;;30
97407520;2011010208;27,6;1,0;240;;104
97407520;2011010209;28,7;3,0;250;;187
97407520;2011010210;29,9;2,0;330;;267
97407520;2011010211;30,0;4,0;280;;281
97407520;2011010212;30,4;2,0;250;;315
97407520;2011010213;29,7;5,0;40;;176
97407520;2011010214;32,3;3,0;20;;242
97407520;2011010215;31,6;5,0;40;;309
97407520;2011010216;29,2;4,0;30;;115
97407520;2011010217;28,9;3,0;350;;49
97407520;2011010218;28,1;6,0;220;;21
97407520;2011010219;27,4;5,0;260;;17
97407520;2011010220;27,6;2,0;300;;0
97407520;2011010221;26,7;4,0;50;;0
97407520;2011010222;27,0;4,0;40;;0
97407520;2011010223;26,8;2,0;40;;0
97407520;2011010300;26,3;1,0;170;;0
97407520;2011010301;25,3;0,0;0;;0
97407520;2011010302;25,0;2,0;50;;0
97407520;2011010303;25,1;2,0;180;;0
97407520;2011010304;24,3;2,0;70;;0
97407520;2011010305;24,4;2,0;130;;0
97407520;2011010306;24,3;2,0;120;;1
97407520;2011010307;26,5;2,0;110;;32
97407520;2011010308;28,2;2,0;230;;111
97407520;2011010309;29,3;3,0;250;;194
97407520;2011010310;30,4;3,0;280;;273
97407520;2011010311;30,7;4,0;340;;335
97407520;2011010312;30,7;6,0;30;;374
97407520;2011010313;31,6;3,0;320;;381
97407520;2011010314;31,8;5,0;30;;337
97407520;2011010315;30,9;6,0;30;;286
97407520;2011010316;29,6;3,0;10;;102
97407520;2011010317;29,6;4,0;280;;170
97407520;2011010318;28,5;5,0;250;;44
97407520;2011010319;27,8;4,0;290;;14
97407520;2011010320;27,0;3,0;20;;0
97407520;2011010321;26,5;1,0;120;;0
97407520;2011010322;26,0;1,0;160;;0
97407520;2011010323;25,6;1,0;30;;0
97407520;2011010400;24,8;1,0;160;;0
97407520;2011010401;25,0;1,0;80;;0
97407520;2011010402;24,8;1,0;100;;0
97407520;2011010403;24,5;1,0;120;;0
97407520;2011010404;24,1;2,0;110;;0
97407520;2011010405;24,3;2,0;90;;0
97407520;2011010406;24,4;3,0;60;;1
97407520;2011010407;25,5;2,0;60;;19
97407520;2011010408;26,5;2,0;50;;39
97407520;2011010409;28,8;2,0;250;;102
97407520;2011010410;30,5;3,0;270;;268
97407520;2011010411;30,6;3,0;320;;310
97407520;2011010412;29,7;2,0;280;;309
97407520;2011010413;30,7;1,0;70;;143
97407520;2011010414;31,5;3,0;260;;259
97407520;2011010415;28,9;4,0;230;;269
97407520;2011010416;29,3;3,0;250;;186
97407520;2011010417;29,2;2,0;350;;164
97407520;2011010418;27,4;2,0;90;;91
97407520;2011010419;24,3;4,0;60;;52
97407520;2011010420;24,0;2,0;80;;1
97407520;2011010421;24,2;1,0;60;;0
97407520;2011010422;23,9;1,0;130;;0
97407520;2011010423;23,4;2,0;130;;0
97407520;2011010500;23,4;1,0;100;;0
97407520;2011010501;23,2;2,0;130;;0
97407520;2011010502;23,3;2,0;80;;0
97407520;2011010503;23,7;2,0;90;;0
97407520;2011010504;23,5;2,0;90;;0
97407520;2011010505;23,1;2,0;130;;0
