POSTE;DATE;T;FF;DD;U;GLO
97402240;2011010100;20,1;5,0;160;;0
97402240;2011010101;20,5;5,0;170;;0
97402240;2011010102;20,4;4,0;180;;0
97402240;2011010103;20,3;4,0;180;;0
97402240;2011010104;20,2;4,0;170;;0
97402240;2011010105;19,9;5,0;180;;0
97402240;2011010106;20,5;5,0;170;;2
97402240;2011010107;23,1;4,0;150;;51
97402240;2011010108;24,9;5,0;150;;137
97402240;2011010109;25,8;5,0;100;;218
97402240;2011010110;26,0;5,0;110;;265
97402240;2011010111;26,9;6,0;80;;283
97402240;2011010112;26,7;5,0;80;;337
97402240;2011010113;26,3;5,0;100;;326
97402240;2011010114;25,7;6,0;90;;243
97402240;2011010115;25,5;4,0;80;;279
97402240;2011010116;24,7;4,0;110;;111
97402240;2011010117;23,5;4,0;100;;95
97402240;2011010118;22,6;3,0;130;;34
97402240;2011010119;21,5;3,0;150;;10
97402240;2011010120;21,1;4,0;160;;0
97402240;2011010121;20,9;3,0;160;;0
97402240;2011010122;20,5;4,0;150;;0
97402240;2011010123;20,9;3,0;150;;0
97402240;2011010200;21,0;4,0;170;;0
97402240;2011010201;20,6;4,0;160;;0
97402240;2011010202;20,4;4,0;180;;0
97402240;2011010203;20,6;4,0;190;;0
97402240;2011010204;20,4;4,0;160;;0
97402240;2011010205;20,4;3,0;160;;0
97402240;2011010206;20,1;4,0;170;;2
97402240;2011010207;23,3;5,0;140;;48
97402240;2011010208;24,3;4,0;150;;101
97402240;2011010209;25,3;5,0;110;;151
97402240;2011010210;26,1;6,0;110;;263
97402240;2011010211;25,0;6,0;100;;273
97402240;2011010212;26,0;6,0;110;;293
97402240;2011010213;24,8;5,0;130;;186
97402240;2011010214;23,9;5,0;120;;123
97402240;2011010215;23,1;4,0;120;;68
97402240;2011010216;23,2;3,0;130;;56
97402240;2011010217;23,2;3,0;120;;51
97402240;2011010218;22,6;4,0;130;;31
97402240;2011010219;22,0;2,0;150;;5
97402240;2011010220;21,5;3,0;170;;0
97402240;2011010221;21,6;2,0;190;;0
97402240;2011010222;21,1;1,0;190;;0
97402240;2011010223;20,3;4,0;170;;0
97402240;2011010300;20,7;2,0;170;;0
97402240;2011010301;20,2;4,0;160;;0
97402240;2011010302;20,0;4,0;180;;0
97402240;2011010303;20,1;4,0;190;;0
97402240;2011010304;20,1;4,0;190;;0
97402240;2011010305;19,9;3,0;170;;0
97402240;2011010306;20,0;4,0;190;;1
97402240;2011010307;22,1;4,0;150;;26
97402240;2011010308;23,4;4,0;130;;86
97402240;2011010309;25,3;6,0;110;;154
97402240;2011010310;23,5;5,0;100;;115
97402240;2011010311;24,2;6,0;120;;130
97402240;2011010312;23,0;5,0;90;;90
97402240;2011010313;22,5;2,0;170;;50
97402240;2011010314;21,6;4,0;150;;74
97402240;2011010315;20,9;5,0;190;;76
97402240;2011010316;23,0;2,0;160;;140
97402240;2011010317;23,5;3,0;160;;183
97402240;2011010318;21,8;3,0;150;;54
97402240;2011010319;21,2;3,0;180;;12
97402240;2011010320;20,8;4,0;180;;0
97402240;2011010321;20,6;3,0;180;;0
97402240;2011010322;20,2;5,0;170;;0
97402240;2011010323;20,0;4,0;170;;0
97402240;2011010400;20,2;4,0;170;;0
97402240;2011010401;19,6;3,0;200;;0
97402240;2011010402;19,5;3,0;190;;0
97402240;2011010403;18,7;3,0;230;;0
97402240;2011010404;19,2;4,0;190;;0
97402240;2011010405;19,5;3,0;200;;0
97402240;2011010406;19,1;4,0;180;;2
97402240;2011010407;20,1;1,0;250;;33
97402240;2011010408;21,8;3,0;150;;48
97402240;2011010409;23,5;4,0;100;;113
97402240;2011010410;25,3;5,0;100;;206
97402240;2011010411;26,3;6,0;90;;286
97402240;2011010412;26,6;5,0;90;;334
97402240;2011010413;28,1;4,0;80;;371
97402240;2011010414;23,5;2,0;120;;132
97402240;2011010415;23,9;3,0;90;;82
97402240;2011010416;24,5;4,0;70;;133
97402240;2011010417;22,7;5,0;120;;40
97402240;2011010418;22,1;3,0;140;;19
97402240;2011010419;20,9;2,0;160;;7
97402240;2011010420;20,5;4,0;180;;0
97402240;2011010421;20,2;3,0;190;;0
97402240;2011010422;20,4;4,0;180;;0
97402240;2011010423;20,2;4,0;190;;0
97402240;2011010500;19,9;3,0;190;;0
97402240;2011010501;19,5;5,0;180;;0
97402240;2011010502;19,6;4,0;180;;0
97402240;2011010503;19,6;4,0;170;;0
97402240;2011010504;19,9;4,0;190;;0
97402240;2011010505;19,0;3,0;200;;0
97402240;2011010506;18,8;3,0;210;;1
97402240;2011010507;21,4;1,0;260;;46
97402240;2011010508;25,4;2,0;120;;132
97402240;2011010509;26,4;4,0;110;;213
97402240;2011010510;27,1;4,0;60;;281
97402240;2011010511;27,2;4,0;70;;329
97402240;2011010512;27,4;5,0;80;;332
97402240;2011010513;25,9;5,0;70;;322
97402240;2011010514;25,7;4,0;100;;254
97402240;2011010515;23,5;2,0;130;;65
97402240;2011010516;23,3;3,0;140;;72
97402240;2011010517;23,2;3,0;110;;75
97402240;2011010518;19,6;6,0;210;;24
97402240;2011010519;19,6;2,0;240;;7
97402240;2011010520;19,4;3,0;210;;0
97402240;2011010521;20,0;2,0;210;;0
97402240;2011010522;19,7;5,0;130;;0
97402240;2011010523;20,3;4,0;200;;0
97402240;2011010600;20,3;3,0;170;;0
97402240;2011010601;20,0;4,0;200;;0
97402240;2011010602;19,7;3,0;180;;0
97402240;2011010603;19,4;4,0;200;;0
97402240;2011010604;19,0;3,0;200;;0
97402240;2011010605;18,7;2,0;230;;0
97402240;2011010606;18,8;3,0;200;;1
97402240;2011010607;22,4;2,0;140;;46
97402240;2011010608;24,8;3,0;120;;129
97402240;2011010609;25,9;4,0;100;;211
97402240;2011010610;26,8;4,0;90;;287
97402240;2011010611;27,1;4,0;90;;354
97402240;2011010612;27,1;5,0;100;;355
97402240;2011010613;25,6;4,0;60;;288
97402240;2011010614;25,7;4,0;80;;179
97402240;2011010615;23,9;5,0;110;;111
97402240;2011010616;23,4;3,0;140;;71
97402240;2011010617;22,1;4,0;220;;51
97402240;2011010618;20,5;4,0;260;;29
97402240;2011010619;19,8;4,0;260;;8
