POSTE;DATE;T;FF;DD;U;GLO
97416463;2011010100;24.0;2.0;40;70;
97416463;2011010101;23.4;3.0;60;66;
97416463;2011010102;22.8;3.0;20;65;
97416463;2011010103;22.8;3.0;30;69;
97416463;2011010104;21.7;4.0;10;69;
97416463;2011010105;22.4;4.0;30;65;
97416463;2011010106;22.4;4.0;10;60;
97416463;2011010107;26.0;2.0;30;47;
97416463;2011010108;27.8;2.0;230;54;
97416463;2011010109;29.0;3.0;280;55;
97416463;2011010110;29.4;3.0;180;53;
97416463;2011010111;29.6;5.0;160;58;
97416463;2011010112;31.6;7.0;130;52;
97416463;2011010113;30.4;9.0;130;56;
97416463;2011010114;29.8;8.0;140;57;
97416463;2011010115;30.0;8.0;140;57;
97416463;2011010116;30.0;8.0;140;53;
97416463;2011010117;28.4;8.0;140;64;
97416463;2011010118;27.3;8.0;140;70;
97416463;2011010119;26.8;8.0;130;71;
97416463;2011010120;26.8;7.0;120;71;
97416463;2011010121;26.5;7.0;120;75;
97416463;2011010122;26.1;5.0;120;74;
97416463;2011010123;25.6;3.0;110;69;
97416463;2011010200;25.2;2.0;60;69;
97416463;2011010201;24.2;2.0;50;71;
97416463;2011010202;23.9;3.0;30;70;
97416463;2011010203;23.5;2.0;40;69;
97416463;2011010204;23.0;3.0;70;68;
97416463;2011010205;23.2;2.0;80;67;
97416463;2011010206;23.8;2.0;80;68;
97416463;2011010207;26.3;3.0;100;59;
97416463;2011010208;28.1;8.0;130;68;
97416463;2011010209;29.0;10.0;130;64;
97416463;2011010210;29.2;11.0;130;61;
97416463;2011010211;29.6;11.0;140;57;
97416463;2011010212;30.1;10.0;140;58;
97416463;2011010213;30.4;10.0;140;58;
97416463;2011010214;30.4;9.0;140;57;
97416463;2011010215;29.6;10.0;140;58;
97416463;2011010216;29.7;10.0;130;61;
97416463;2011010217;28.1;11.0;140;64;
97416463;2011010218;27.9;10.0;130;65;
97416463;2011010219;26.8;9.0;120;67;
97416463;2011010220;26.5;9.0;130;69;
97416463;2011010221;26.4;6.0;120;68;
97416463;2011010222;26.1;6.0;120;66;
97416463;2011010223;25.8;7.0;120;72;
97416463;2011010300;25.7;6.0;110;65;
97416463;2011010301;24.4;2.0;100;68;
97416463;2011010302;23.8;2.0;60;70;
97416463;2011010303;23.9;2.0;60;67;
97416463;2011010304;23.1;2.0;60;71;
97416463;2011010305;22.8;2.0;50;71;
97416463;2011010306;22.6;2.0;60;73;
97416463;2011010307;26.8;4.0;110;61;
97416463;2011010308;28.5;7.0;130;66;
97416463;2011010309;29.3;8.0;130;64;
97416463;2011010310;29.8;9.0;130;62;
97416463;2011010311;30.0;9.0;140;61;
97416463;2011010312;30.0;10.0;140;61;
97416463;2011010313;30.2;9.0;140;56;
97416463;2011010314;30.3;9.0;140;56;
97416463;2011010315;30.4;10.0;140;58;
97416463;2011010316;29.3;10.0;140;59;
97416463;2011010317;29.6;9.0;130;59;
97416463;2011010318;27.7;9.0;130;69;
97416463;2011010319;27.1;8.0;130;71;
97416463;2011010320;26.6;8.0;130;72;
97416463;2011010321;26.3;7.0;120;70;
97416463;2011010322;24.7;3.0;100;65;
97416463;2011010323;26.2;7.0;120;65;
97416463;2011010400;24.1;2.0;70;66;
97416463;2011010401;23.6;2.0;40;68;
97416463;2011010402;23.0;1.0;40;64;
97416463;2011010403;23.1;3.0;40;63;
97416463;2011010404;23.9;2.0;50;60;
97416463;2011010405;23.2;2.0;40;62;
97416463;2011010406;24.5;4.0;40;52;
97416463;2011010407;26.4;1.0;120;51;
97416463;2011010408;28.8;6.0;140;58;
97416463;2011010409;28.6;8.0;120;63;
97416463;2011010410;29.4;9.0;140;61;
97416463;2011010411;30.3;9.0;130;56;
97416463;2011010412;29.7;9.0;150;60;
97416463;2011010413;30.3;8.0;140;57;
97416463;2011010414;30.3;8.0;140;57;
97416463;2011010415;30.1;9.0;140;57;
97416463;2011010416;29.0;9.0;140;65;
97416463;2011010417;28.9;9.0;140;67;
97416463;2011010418;27.3;9.0;130;70;
97416463;2011010419;26.5;9.0;130;78;
97416463;2011010420;26.3;8.0;120;74;
97416463;2011010421;25.9;7.0;120;76;
97416463;2011010422;25.5;4.0;90;69;
97416463;2011010423;24.2;2.0;360;69;
97416463;2011010500;24.0;3.0;30;71;
97416463;2011010501;23.8;2.0;30;68;
97416463;2011010502;23.8;3.0;40;63;
97416463;2011010503;23.6;3.0;50;63;
97416463;2011010504;23.6;3.0;40;62;
97416463;2011010505;22.7;3.0;30;67;
97416463;2011010506;22.7;3.0;30;68;
97416463;2011010507;26.1;3.0;30;57;
97416463;2011010508;28.5;2.0;150;51;
97416463;2011010509;28.6;5.0;150;63;
97416463;2011010510;29.1;7.0;140;61;
97416463;2011010511;29.9;8.0;140;59;
97416463;2011010512;30.4;8.0;140;59;
97416463;2011010513;29.8;8.0;140;60;
97416463;2011010514;29.9;7.0;150;62;
97416463;2011010515;30.1;7.0;140;59;
97416463;2011010516;29.4;7.0;140;64;
97416463;2011010517;28.9;6.0;140;63;
97416463;2011010518;28.1;7.0;140;69;
97416463;2011010519;27.0;6.0;130;73;
97416463;2011010520;26.5;6.0;120;72;
97416463;2011010521;26.4;5.0;120;68;
97416463;2011010522;25.8;3.0;100;68;
97416463;2011010523;24.7;2.0;70;65;
97416463;2011010600;24.0;2.0;10;70;
97416463;2011010601;23.7;2.0;40;70;
97416463;2011010602;23.5;2.0;30;69;
97416463;2011010603;23.8;3.0;40;67;
97416463;2011010604;23.2;3.0;20;66;
97416463;2011010605;23.7;3.0;40;62;
97416463;2011010606;23.8;3.0;40;61;
97416463;2011010607;26.6;2.0;50;53;
97416463;2011010608;27.9;2.0;170;63;
97416463;2011010609;28.5;2.0;190;61;
97416463;2011010610;29.6;5.0;140;63;
97416463;2011010611;29.9;7.0;140;63;
97416463;2011010612;29.9;8.0;150;62;
97416463;2011010613;30.3;8.0;140;62;
97416463;2011010614;30.3;8.0;140;56;
97416463;2011010615;30.3;8.0;140;58;
97416463;2011010616;28.6;8.0;140;67;
97416463;2011010617;28.1;7.0;140;66;
97416463;2011010618;27.5;6.0;140;68;
97416463;2011010619;27.2;3.0;20;69;
97416463;2011010620;26.9;5.0;110;70;
97416463;2011010621;26.4;3.0;160;74;
97416463;2011010622;24.9;3.0;60;63;
97416463;2011010623;24.1;4.0;360;65;
